Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2015.0
Annual,Percentage,From 55 to 64 years,Females,Greece,0.0,0.0
Annual,Percentage,From 55 to 64 years,Females,Spain,6.6,3.3
Annual,Percentage,From 55 to 64 years,Females,European Union - 27 countries (from 2020),5.0,5.4
Annual,Percentage,From 55 to 64 years,Females,European Union - 28 countries (2013-2020),5.0,5.6
Annual,Percentage,From 55 to 64 years,Females,Finland,8.8,10.5
Annual,Percentage,From 55 to 64 years,Females,France,6.9,12.4
Annual,Percentage,From 55 to 64 years,Females,Croatia,2.7,5.1
Annual,Percentage,From 55 to 64 years,Females,Hungary,3.0,0.4
Annual,Percentage,From 55 to 64 years,Females,Ireland,2.8,9.1
Annual,Percentage,From 55 to 64 years,Females,Italy,0.6,3.2
Annual,Percentage,From 55 to 64 years,Females,Lithuania,1.7,5.2
Annual,Percentage,From 55 to 64 years,Females,Luxembourg,10.6,6.1
Annual,Percentage,From 55 to 64 years,Females,Latvia,6.6,3.0
Annual,Percentage,From 55 to 64 years,Females,Malta,0.0,10.4
Annual,Percentage,From 55 to 64 years,Females,Netherlands,7.2,11.1
Annual,Percentage,From 55 to 64 years,Females,Poland,0.0,0.0
Annual,Percentage,From 55 to 64 years,Females,Portugal,3.4,1.0
Annual,Percentage,From 55 to 64 years,Females,Romania,0.0,5.4
Annual,Percentage,From 55 to 64 years,Females,Sweden,3.6,11.6
Annual,Percentage,From 55 to 64 years,Females,Slovenia,6.1,6.0
Annual,Percentage,From 55 to 64 years,Females,Slovakia,0.0,0.4
Annual,Percentage,From 55 to 64 years,Females,United Kingdom,5.3,7.1
Annual,Percentage,From 55 to 64 years,Males,Austria,8.8,3.1
Annual,Percentage,From 55 to 64 years,Males,Belgium,8.7,8.5
Annual,Percentage,From 55 to 64 years,Males,Bulgaria,2.6,0.0
Annual,Percentage,From 55 to 64 years,Males,Cyprus,1.9,0.0
Annual,Percentage,From 55 to 64 years,Males,Czechia,5.6,3.8
Annual,Percentage,From 55 to 64 years,Males,Germany,4.7,5.4
Annual,Percentage,From 55 to 64 years,Males,Denmark,2.3,6.6
Annual,Percentage,From 55 to 64 years,Males,Estonia,0.0,0.9
Annual,Percentage,From 55 to 64 years,Males,Greece,4.6,1.1
Annual,Percentage,From 55 to 64 years,Males,Spain,4.0,2.1
Annual,Percentage,From 55 to 64 years,Males,European Union - 27 countries (from 2020),4.1,4.4
Annual,Percentage,From 55 to 64 years,Males,European Union - 28 countries (2013-2020),3.6,4.3
Annual,Percentage,From 55 to 64 years,Males,Finland,2.2,4.8
Annual,Percentage,From 55 to 64 years,Males,France,9.8,10.5
Annual,Percentage,From 55 to 64 years,Males,Croatia,3.6,2.9
Annual,Percentage,From 55 to 64 years,Males,Hungary,1.0,0.0
Annual,Percentage,From 55 to 64 years,Males,Ireland,4.0,7.8
Annual,Percentage,From 55 to 64 years,Males,Italy,0.0,1.7
Annual,Percentage,From 55 to 64 years,Males,Lithuania,2.0,3.2
Annual,Percentage,From 55 to 64 years,Males,Luxembourg,6.1,10.7
Annual,Percentage,From 55 to 64 years,Males,Latvia,6.2,8.5
Annual,Percentage,From 55 to 64 years,Males,Malta,1.6,8.9
Annual,Percentage,From 55 to 64 years,Males,Netherlands,2.5,9.4
Annual,Percentage,From 55 to 64 years,Males,Poland,4.5,0.8
Annual,Percentage,From 55 to 64 years,Males,Portugal,3.6,1.1
Annual,Percentage,From 55 to 64 years,Males,Romania,0.0,1.8
Annual,Percentage,From 55 to 64 years,Males,Sweden,4.8,3.9
Annual,Percentage,From 55 to 64 years,Males,Slovenia,6.8,1.0
Annual,Percentage,From 55 to 64 years,Males,Slovakia,1.3,1.1
Annual,Percentage,From 55 to 64 years,Males,United Kingdom,0.6,3.3
Annual,Percentage,From 55 to 64 years,Total,Austria,9.0,4.4
Annual,Percentage,From 55 to 64 years,Total,Belgium,9.4,8.6
Annual,Percentage,From 55 to 64 years,Total,Bulgaria,1.4,0.0
Annual,Percentage,From 55 to 64 years,Total,Cyprus,1.2,0.0
Annual,Percentage,From 55 to 64 years,Total,Czechia,7.4,2.9
Annual,Percentage,From 55 to 64 years,Total,Germany,5.3,4.5
Annual,Percentage,From 55 to 64 years,Total,Denmark,6.5,7.4
Annual,Percentage,From 55 to 64 years,Total,Estonia,2.1,2.5
Annual,Percentage,From 55 to 64 years,Total,Greece,3.0,0.6
Annual,Percentage,From 55 to 64 years,Total,Spain,5.0,2.6
Annual,Percentage,From 55 to 64 years,Total,European Union - 27 countries (from 2020),4.5,4.9
Annual,Percentage,From 55 to 64 years,Total,European Union - 28 countries (2013-2020),4.2,4.9
Annual,Percentage,From 55 to 64 years,Total,Finland,5.6,7.9
Annual,Percentage,From 55 to 64 years,Total,France,8.4,11.5
Annual,Percentage,From 55 to 64 years,Total,Croatia,3.3,3.9
Annual,Percentage,From 55 to 64 years,Total,Hungary,1.9,0.2
Annual,Percentage,From 55 to 64 years,Total,Ireland,3.6,8.3
Annual,Percentage,From 55 to 64 years,Total,Italy,0.2,2.4
Annual,Percentage,From 55 to 64 years,Total,Lithuania,1.8,4.4
Annual,Percentage,From 55 to 64 years,Total,Luxembourg,7.7,9.0
Annual,Percentage,From 55 to 64 years,Total,Latvia,6.4,5.2
Annual,Percentage,From 55 to 64 years,Total,Malta,1.3,9.3
Annual,Percentage,From 55 to 64 years,Total,Netherlands,4.3,10.2
Annual,Percentage,From 55 to 64 years,Total,Poland,2.9,0.5
Annual,Percentage,From 55 to 64 years,Total,Portugal,3.5,1.1
Annual,Percentage,From 55 to 64 years,Total,Romania,0.0,3.3
Annual,Percentage,From 55 to 64 years,Total,Sweden,4.2,8.1
Annual,Percentage,From 55 to 64 years,Total,Slovenia,6.5,3.2
Annual,Percentage,From 55 to 64 years,Total,Slovakia,0.9,0.8
Annual,Percentage,From 55 to 64 years,Total,United Kingdom,2.7,5.0
