Time frequency,Environment indicator,Materials,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Raw material consumption,Total,Tonnes per capita,Croatia,:,:,:,:,:,:,:,:,20.771 i,15.861 i,12.775 i,13.251 i,12.071 i,12.627 i,11.413 i,12.092 i,12.098 i,12.821 i,13.318 i,14.029 i,13.4 i,13.971 i,14.072 i,14.712 i
Annual,Raw material consumption,Total,Tonnes per capita,Hungary,:,:,:,:,:,:,:,:,12.236 i,10.733 i,8.99 i,8.84 i,7.779 i,9.089 i,12.195 i,11.952 i,11.636 i,13.324 i,15.405 i,16.378 i,14.303 i,14.164 i,13.948 i,15.34 i
Annual,Raw material consumption,Total,Tonnes per capita,Ireland,:,:,:,:,:,:,:,:,30.9 i,19.447 i,14.915 i,13.983 i,14.806 i,16.29 i,15.935 i,14.01 i,16.585 i,16.365 i,16.863 i,23.458 i,19.269 i,13.767 i,14.201 i,11.958 i
Annual,Raw material consumption,Total,Tonnes per capita,Italy,:,:,:,:,:,:,:,:,17.417 i,15.616 i,14.407 i,14.485 i,11.771 i,10.586 i,10.236 i,10.112 i,10.254 i,9.91 i,10.131 i,10.105 i,9.316 i,10.479 i,10.3 i,10.164 i
Annual,Raw material consumption,Total,Tonnes per capita,Lithuania,:,:,:,:,:,:,:,:,18.271,12.166,13.795,15.941,14.597,17.394,17.292,16.533,17.912,20.176,20.067,20.438,21.743,23.15,22.187 i,23.037 i
Annual,Raw material consumption,Total,Tonnes per capita,Luxembourg,31.163,29.986,33.888,34.234,35.68,36.696,37.092,37.432,38.845,35.095,32.489,32.76,29.759,30.676,29.842,33.638,30.891,32.427,28.335,27.068,27.395,27.551,31.71,32.05 i
Annual,Raw material consumption,Total,Tonnes per capita,Latvia,7.78,8.662,9.925,11.305,12.504,14.467,16.575,18.22,16.253,10.157,11.654,14.446,13.607,15.259 i,15.103 i,15.797 i,14.315 i,16.747 i,17.242 i,17.558 i,17.098 i,18.886 i,19.316 i,19.636 i
Annual,Raw material consumption,Total,Tonnes per capita,Malta,:,:,:,:,:,:,:,:,17.487,16.558,13.776,13.589,11.734,12.622,11.761,13.999,12.004,10.8,10.013,10.991,11.095,9.367,10.213 i,5.998 i
Annual,Raw material consumption,Total,Tonnes per capita,Netherlands,:,:,:,:,:,:,:,:,13.957 i,11.514 i,11.502 i,12.174 i,10.319 i,9.389 i,9.23,10.803,8.321,7.931,9.001,9.296,9.264,8.651,8.349 i,5.899 i
Annual,Raw material consumption,Total,Tonnes per capita,Poland,:,:,:,:,:,:,:,:,15.954 i,15.361 i,15.67 i,19.611 i,16.441 i,15.536 i,15.468 i,15.161 i,15.502 i,16.832 i,17.297 i,16.563 i,16.303 i,16.755 i,16.909 i,16.603 i
Annual,Raw material consumption,Total,Tonnes per capita,Portugal,:,:,:,:,:,:,:,:,25.164,22.337,19.722,18.221,16.056,13.849,15.371,16.155,15.348,17.147,16.979,17.16,15.41,18.159,15.924 i,16.413 i
Annual,Raw material consumption,Total,Tonnes per capita,Romania,:,:,:,:,:,:,:,:,23.037,17.973,13.743,19.274,17.934,17.717,18.604,22.422,23.004,21.59,23.417,27.96,29.371,30.493,30.37 i,33.126 i
Annual,Raw material consumption,Total,Tonnes per capita,Serbia,:,:,:,:,:,:,:,:,16.305,15.527,14.958,15.228,14.118,14.713,14.462,15.032,16.669,16.449,17.501,19.395,19.172,:,:,:
Annual,Raw material consumption,Total,Tonnes per capita,Sweden,:,:,:,:,:,:,:,:,23.333 i,21.229 i,22.741 i,25.235 i,24.076 i,25.596 i,23.746 i,22.945 i,24.089 i,23.513 i,24.864 i,25.006 i,23.853 i,23.803 i,24.47 i,21.138 i
Annual,Raw material consumption,Total,Tonnes per capita,Slovenia,:,:,:,:,:,:,:,:,25.0,21.152,19.072,18.468,15.632,16.144,17.208,15.97,15.036,16.29,17.929,16.469,16.727,20.701,21.389 i,22.686 i
Annual,Raw material consumption,Total,Tonnes per capita,Slovakia,:,:,:,:,:,:,:,:,19.175 i,14.984 i,14.344 i,14.257 i,11.843 i,12.058 i,12.327 i,13.029 i,13.576 i,13.512 i,14.529 i,13.703 i,13.06 i,12.901 i,13.109 i,12.774 i
