Time frequency,Unit of measure,Sex,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Germany,:,:,:,:,:,:,:,:,20.30 de,19.80 de,18.00 de,18.10 de,16.80 de,15.60 de,17.50 de,16.90 de,16.30 de,15.70 de,15.80 de,15.00 de,:,:,:
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,63.8,63.6,60.9,60.6,60.7,60.4,60.3,61.0,:
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,41.7,36.0,50.1,54.1,50.7,48.5,54.9
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,79.5,79.1,79.4,77.30 e
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",France,:,:,:,:,:,:,:,:,:,:,:,31.8,31.5,30.7,29.5,: m,: m,33.10 b,31.8,30.4,28.8,34.6,34.30 p
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Croatia,:,:,:,:,:,:,:,:,:,:,:,:,21.0,:,:,:,:,20.0,:,23.0,25.8,25.0,24.0
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.98,8.06 p
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,40.20 d,39.90 d,43.20 d,41.20 d,43.05 d,42.40 d,49.90 d,34.10 dp
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,43.1,42.4,41.1,41.9,42.7,40.5,34.1,38.6,34.0
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Liechtenstein,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,42.10 d,50.00 d,49.90 d,52.20 d,53.10 d,56.30 d,48.30 d,48.10 d,55.80 d
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,27.29,31.17 p
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Latvia,:,:,:,:,:,:,:,:,:,6.95,7.57,7.09,7.63,9.64,10.59,10.9,11.8,13.4,16.0,15.0,14.6,18.8,19.1
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,23.72 d,8.63 d,:,6.00 d
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,59.20 d,62.70 d,61.70 d,51.80 d,25.40 bd
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,71.7,73.0,73.2,73.0,73.0,71.8,72.0,70.8,68.4
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Romania,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,1.0,2.7,4.6,5.5,5.8,5.7,5.9,2.8,1.3,2.4
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,65.8
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Slovenia,:,:,:,:,:,:,:,:,:,:,:,52.5,57.9,56.1,56.6,55.1,60.2,58.4,59.9,61.3,60.1,58.6,59.1
Annual,Percentage,Total,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal",Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.62,21.02,22.23,24.67,23.74,22.93,15.86,8.82,15.37
