Time frequency,Unit of measure,Tenure status,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Romania,51.0,49.9,48.6,49.1,47.8,46.7,45.8,45.0,44.2,40.8,39.8,39.3
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Serbia,:,51.7,48.0,51.3,53.3,54.1,50.9,51.0,50.6,49.1,47.6,:
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Sweden,4.2,4.6,3.9,3.2,5.0,4.6,4.6,5.4,4.2,6.2,5.1,5.8
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Slovenia,13.2,12.1,11.1,10.2,9.4,9.5,9.0,8.1,7.3,7.9,6.9,6.4
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Slovakia,36.5,37.6,36.3,35.7,36.8,35.4,35.1,32.2,27.6,28.9,29.3,28.7
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Türkiye,50.5,50.3,50.9,50.0,47.8,47.1,45.8,43.7,42.4,41.3,39.3,39.3
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",United Kingdom,2.0 b,1.6,1.5,1.0,1.3,0.9 b,1.2,:,:,:,:,:
Annual,Percentage,"Tenant, rent at reduced price or free",Albania,:,:,:,:,:,79.4,70.9,88.8,84.9,63.7,:,:
Annual,Percentage,"Tenant, rent at reduced price or free",Austria,15.3,17.1,15.5,17.9,17.3,15.1,9.9,17.0,13.0,22.5,23.1,15.4
Annual,Percentage,"Tenant, rent at reduced price or free",Belgium,2.4,3.7,2.5,4.2,7.8 b,7.5,13.2,10.4 b,10.9,10.4,12.9,11.1
Annual,Percentage,"Tenant, rent at reduced price or free",Bulgaria,58.8,57.8,56.6,50.3,52.0 b,51.1,50.7,54.3,54.9,54.8,51.6,49.8
Annual,Percentage,"Tenant, rent at reduced price or free",Switzerland,7.2,4.1,8.3 b,10.1,11.7,8.4,10.0,6.5,11.4,10.9,7.0,6.2
Annual,Percentage,"Tenant, rent at reduced price or free",Cyprus,3.8,3.5,2.7,1.3,2.3,3.7,0.9,2.1,1.5,2.0,2.3,1.6
Annual,Percentage,"Tenant, rent at reduced price or free",Czechia,31.2,26.0,27.4,25.0,22.9,21.1,18.1,17.3,15.1,16.6,18.7,18.7
Annual,Percentage,"Tenant, rent at reduced price or free",Germany,11.3,10.9,12.1,14.1,14.8,13.1,14.6,18.4,25.2 b,17.8,19.8,20.9
Annual,Percentage,"Tenant, rent at reduced price or free",Denmark,14.7,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
Annual,Percentage,"Tenant, rent at reduced price or free",Euro area - 19 countries  (2015-2022),18.9,19.3,19.0,19.2,19.0,18.0,18.5,19.8,22.8,20.3,:,:
Annual,Percentage,"Tenant, rent at reduced price or free",Euro area – 20 countries (from 2023),:,:,19.2,19.5,19.3,18.3,18.9,20.2,23.1,20.7,20.6,20.6
Annual,Percentage,"Tenant, rent at reduced price or free",Estonia,19.4,23.9,20.1 b,19.4,18.5,19.3,16.0,21.1,19.5,21.7,25.3,27.3
Annual,Percentage,"Tenant, rent at reduced price or free",Greece,34.0,26.7,25.9,28.8,30.4,30.7,26.8,30.3,33.0,30.9,30.4,28.4
