Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
Annual,Number,Non-island regions,Sweden,553.0,964.0,1223.0,1281.0,1286.0,1667.0,1345.0,1323.0,1354.0,1494.0,1810.0,1594.0,1457.0,1420 p
Annual,Number,Non-island regions,Slovenia,:,:,:,:,:,:,:,:,:,:,114.0,148.0,:,:
Annual,Number,Non-island regions,Slovakia,:,:,:,:,:,:,158.0,97.0,:,128.0,196.0,159.0,174.0,:
Annual,Number,Non-mountain regions,Austria,:,:,:,598.0,:,:,:,516.0,:,:,:,719.0,:,:
Annual,Number,Non-mountain regions,Switzerland,61.0,111.0,91.0,45.0,53.0,42.0,106.0,82.0,75.0,55.0,83.0,98.0,58.0,90 p
Annual,Number,Non-mountain regions,Cyprus,1.0,23.0,10.0,42.0,24.0,10.0,6.0,39.0,50.0,31.0,53.0,51.0,27.0,104 p
Annual,Number,Non-mountain regions,Czechia,:,:,:,218.0,236.0,178.0,250.0,:,367.0,471.0,353.0,415.0,534.0,:
Annual,Number,Non-mountain regions,Denmark,:,:,:,:,:,:,:,957.0,1256.0,:,:,:,1489.0,1240 p
Annual,Number,Non-mountain regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,100 p
Annual,Number,Non-mountain regions,Ireland,:,:,:,:,:,200.0,168.0,315.0,:,189.0,194.0,220.0,:,:
Annual,Number,Non-mountain regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-mountain regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-mountain regions,Luxembourg,35.0,80.0,133.0,186.0,460.0,320.0,273.0,205.0,340.0,511.0,717.0,576.0,613.0,441 p
Annual,Number,Non-mountain regions,Latvia,:,:,:,:,:,:,:,25.0,:,:,:,:,59.0,:
Annual,Number,Non-mountain regions,Malta,:,:,:,:,:,:,:,:,7.0,:,205.0,:,332.0,131 p
Annual,Number,Non-mountain regions,Netherlands,:,:,:,:,:,:,:,:,2171.0,:,:,:,:,:
Annual,Number,Non-mountain regions,Poland,:,:,:,:,:,:,:,:,:,:,:,3100.0,:,:
Annual,Number,Non-mountain regions,Sweden,546.0,957.0,1215.0,1275.0,1275.0,1648.0,1341.0,1311.0,1352.0,1494.0,1809.0,:,:,:
Annual,Number,Non-mountain regions,Slovenia,:,:,:,:,:,:,:,8.0,26.0,:,6.0,19.0,:,13 p
Annual,Number,Non-mountain regions,Slovakia,:,:,:,:,93.0,:,110.0,56.0,:,45.0,76.0,72.0,30.0,33 p
Annual,Number,Predominantly rural regions,Switzerland,:,:,37.0,39.0,14.0,17.0,:,12.0,18.0,:,11.0,29.0,21.0,53 p
Annual,Number,Predominantly rural regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Predominantly rural regions,Czechia,:,:,:,48.0,51.0,26.0,71.0,:,78.0,78.0,56.0,62.0,183.0,:
Annual,Number,Predominantly rural regions,Denmark,:,:,:,:,:,:,:,181.0,242.0,:,:,:,248.0,271 p
Annual,Number,Predominantly rural regions,Estonia,:,:,:,:,:,:,:,8.0,:,26.0,:,:,24.0,56 p
Annual,Number,Predominantly rural regions,Ireland,:,:,:,:,:,65.0,93.0,104.0,:,59.0,87.0,59.0,:,:
Annual,Number,Predominantly rural regions,Iceland,2.0,:,:,:,:,:,:,:,:,:,:,:,:,:
