Annual,Thousand passengers,Finland,15191.0,15986.0,16146.0,15964.0,16729.0,16577.0,16341.0,16806.0,17112.0,16739.0,16450.0,16975.0,17226.0,17867.0,18074.0,18264.0,18524.0,18471.0,18884.0,19239.0,19514.0,19231.0,19188.0,7357.0,7089.0,13631.0,14216.0
Annual,Thousand passengers,France,33124.0,30825.0,30436.0,27881.0,27724.0,29110.0,27405.0,27068.0,25804.0,26402.0,27048.0,26813.0,25067.0,27218.0,25552.0,24815.0,25634.0,26638.0,26133.0,24514.0,25093.0,25732.0,24666.0,10445.0,11004.0,19038.0,22211.0
Annual,Thousand passengers,Croatia,:,:,:,14940.0,16833.0,18410.0,19483.0,21519.0,22182.0,23061.0,24611.0,26044.0,26037.0,25124.0,26947.0,26706.0,27355.0,23523.0,27271.0,29661.0,31327.0,32658.0,34142.0,18779.0,27079.0,32966.0,33790.0
Annual,Thousand passengers,Ireland,4380.0,4682.0,4358.0,4218.0,3895.0,3893.0,3747.0,3550.0,3275.0,3207.0,3225.0,3108.0,2878.0,3089.0,2906.0,2758.0,2747.0,2755.0,2751.0,2717.0,2774.0,2751.0,2688.0,814.0,1020.0,2481.0,2867.0
Annual,Thousand passengers,Iceland,:,:,:,318.0,360.0,393.0,407.0,404.0,422.0,433.0,:,:,298.0,638.0,404.0,710.0,751.0,723.0,737.0,544.0,917.0,806.0,827.0,510.0,699.0,1238.0,1056.0
Annual,Thousand passengers,Italy,80181.0,80618.0,85438.0,86376.0,86882.0,82700.0,82576.0,83316.0,78753.0,85984.0,86970.0,90156.0,92707.0,87658.0,81895.0,76735.0,73238.0,72225.0,70268.0,67273.0,73876.0,85382.0,86530.0,55147.0,57916.0,78863.0,85377.0
Annual,Thousand passengers,Lithuania,:,:,:,:,101.0,107.0,135.0,146.0,166.0,190.0,212.0,212.0,205.0,251.0,281.0,286.0,280.0,280.0,286.0,303.0,297.0,323.0,343.0,308.0,312.0,338.0,368.0
Annual,Thousand passengers,Latvia,:,:,:,:,26.0,23.0,118.0,148.0,168.0,278.0,416.0,479.0,621.0,720.0,844.0,885.0,932.0,862.0,661.0,723.0,994.0,1063.0,1072.0,466.0,249.0,371.0,377.0
Annual,Thousand passengers,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,319.0,184.0,108.0,99.0,110.0,119.0,98.0,89.0,0.0,5.0,11.0,:
Annual,Thousand passengers,Malta,:,:,:,:,:,6789.0,6942.0,7250.0,7103.0,7328.0,7802.0,8132.0,7799.0,8300.0,8621.0,8535.0,9347.0,9916.0,10463.0,11468.0,12347.0,13180.0,13591.0,7955.0,9493.0,12644.0,14622.0
Annual,Thousand passengers,Netherlands,1964.0,1840.0,1949.0,2004.0,2041.0,2202.0,2015.0,2012.0,2116.0,2127.0,1871.0,1959.0,1632.0,1994.0,1770.0,1706.0,1738.0,1819.0,1910.0,1906.0,1928.0,1980.0,2010.0,1008.0,857.0,1976.0,1972.0
Annual,Thousand passengers,Norway,:,:,:,:,:,6077.0,4656.0,5787.0,6464.0,6237.0,6298.0,6160.0,5664.0,5755.0,5803.0,5792.0,5748.0,5986.0,6640.0,6168.0,6251.0,6178.0,6403.0,1898.0,1724.0,5711.0,5513.0
Annual,Thousand passengers,Poland,:,:,:,:,4416.0,3304.0,3188.0,2031.0,1640.0,1737.0,2456.0,2647.0,2481.0,2601.0,2528.0,2358.0,2201.0,2224.0,2421.0,2602.0,2585.0,2720.0,2787.0,1905.0,2316.0,2335.0,2252.0
Annual,Thousand passengers,Portugal,34.0,473.0,472.0,534.0,542.0,502.0,616.0,650.0,662.0,686.0,735.0,762.0,833.0,701.0,677.0,565.0,555.0,551.0,583.0,679.0,740.0,757.0,822.0,846.0,1060.0,1382.0,2147.0
Annual,Thousand passengers,Romania,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand passengers,Sweden,40949.0,41749.0,41574.0,36573.0,32350.0,32112.0,32748.0,33318.0,32617.0,32334.0,32662.0,32745.0,31066.0,30185.0,30094.0,29471.0,29146.0,29244.0,29500.0,29800.0,30265.0,30055.0,30523.0,14020.0,16987.0,24914.0,24879.0
Annual,Thousand passengers,Slovenia,:,:,:,:,34.0,42.0,47.0,42.0,35.0,30.0,51.0,50.0,56.0,39.0,36.0,34.0,28.0,27.0,34.0,28.0,31.0,24.0,26.0,0.0,2.0,29.0,28.0
Annual,Thousand passengers,Türkiye,:,:,:,:,:,:,:,:,:,:,:,1498.0,1386.0,1577.0,1842.0,1828.0,2058.0,2150.0,2233.0,1250.0,1377.0,1383.0,1612.0,307.0,289.0,1622.0,2123.0
Annual,Thousand passengers,United Kingdom,36287.0,36884.0,35813.0,33851.0,34516.0,35623.0,33708.0,32837.0,30207.0,29930.0,30465.0,29555.0,28281.0,28824.0,28002.0,26516.0,27472.0,28135.0,27805.0,26887.0,26336.0,26676.0,25503.0,:,:,:,:
