Time frequency,Standard international energy product classification (SIEC),Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Natural gas,United Kingdom,Percentage,Sweden,0.00 i,0.00 i,0.61 i,0.73 i,0.73 i,1.05 i
Annual,Natural gas,United Kingdom,Percentage,Slovenia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Slovakia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Türkiye,0.03 i,0.04 i,0.09 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Ukraine,1.14 i,3.41 i,1.84 i,3.28 i,1.07 i,1.20 i
Annual,Natural gas,United Kingdom,Percentage,United Kingdom,0.51 i,0.96 i,0.57 i,0.55 i,0.34 i,: m
Annual,Natural gas,United Kingdom,Percentage,Kosovo*,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United States,Percentage,Albania,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United States,Percentage,Austria,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Bosnia and Herzegovina,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Belgium,0.00 i,0.00 i,0.03 i,0.29 i,1.79 i,3.96 i
Annual,Natural gas,United States,Percentage,Bulgaria,0.00 i,0.00 i,0.00 i,0.00 i,0.87 i,5.43 i
Annual,Natural gas,United States,Percentage,Cyprus,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United States,Percentage,Czechia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Germany,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.40 i
Annual,Natural gas,United States,Percentage,Denmark,: m,: m,: m,: m,: m,0.00 i
Annual,Natural gas,United States,Percentage,Estonia,0.00 i,0.00 i,0.00 i,0.00 i,0.03 i,0.71 i
Annual,Natural gas,United States,Percentage,Greece,0.00 i,0.08 i,0.17 i,2.14 i,4.82 i,25.70 i
Annual,Natural gas,United States,Percentage,Spain,0.00 i,0.23 i,2.20 i,0.87 i,11.36 i,15.89 i
Annual,Natural gas,United States,Percentage,Finland,0.00 i,0.00 i,0.00 i,0.01 i,0.02 i,0.29 i
Annual,Natural gas,United States,Percentage,France,0.00 i,0.00 i,0.01 i,0.39 i,3.52 i,2.88 i
Annual,Natural gas,United States,Percentage,Georgia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Croatia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Hungary,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Ireland,0.00 i,0.00 i,0.10 i,1.36 i,3.41 i,0.00 i
Annual,Natural gas,United States,Percentage,Iceland,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United States,Percentage,Italy,0.00 i,0.10 i,0.12 i,0.96 i,2.35 i,2.72 i
Annual,Natural gas,United States,Percentage,Liechtenstein,: m,: m,0.01 i,: m,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Lithuania,0.00 i,0.00 i,7.20 i,0.00 i,3.03 i,20.69 i
Annual,Natural gas,United States,Percentage,Luxembourg,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Latvia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Moldova,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Montenegro,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United States,Percentage,North Macedonia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Malta,: m,: m,8.05 i,15.86 i,2.40 i,18.82 i
Annual,Natural gas,United States,Percentage,Netherlands,: m,: m,: m,1.14 i,4.36 i,4.84 i
Annual,Natural gas,United States,Percentage,Norway,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United States,Percentage,Poland,0.00 i,0.00 i,0.60 i,0.55 i,5.49 i,5.80 i
Annual,Natural gas,United States,Percentage,Portugal,0.00 i,1.98 i,8.49 i,8.43 i,21.44 i,18.87 i
Annual,Natural gas,United States,Percentage,Romania,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Serbia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Sweden,0.00 i,0.00 i,0.00 i,0.05 i,0.21 i,0.27 i
Annual,Natural gas,United States,Percentage,Slovenia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.01 i
Annual,Natural gas,United States,Percentage,Slovakia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United States,Percentage,Türkiye,0.00 i,0.52 i,1.39 i,0.89 i,2.70 i,6.22 i
Annual,Natural gas,United States,Percentage,Ukraine,0.00 i,0.01 i,0.05 i,0.15 i,0.45 i,9.32 i
Annual,Natural gas,United States,Percentage,United Kingdom,0.00 i,0.00 i,0.20 i,2.59 i,6.40 i,: m
Annual,Natural gas,United States,Percentage,Kosovo*,: m,: m,: m,: m,: m,: m
