Time frequency,n_activ,unit,geo\TIME_PERIOD,1988.0,1994.0,1999.0,2005.0,2010.0,2015.0,2020.0
Annual,GE3,PPS_AE,NL,10034.0,14312.0,18013 u,19018.0,17470.0,21295.0,21651.0
Annual,GE3,PPS_AE,NO,:,:,:,18849.0,25123.0,24373.0,23461.0
Annual,GE3,PPS_AE,PL,:,:,:,4755.0,7510.0,9404.0,8140.0
Annual,GE3,PPS_AE,PT,6121.0,8420.0,10915.0,12124.0,12418.0,12456.0,12368.0
Annual,GE3,PPS_AE,RO,:,:,:,2665.0,4475.0,6142.0,7964.0
Annual,GE3,PPS_AE,RS,:,:,:,:,:,7126.0,8293.0
Annual,GE3,PPS_AE,SE,:,:,14084.0,:,:,18477.0,:
Annual,GE3,PPS_AE,SI,:,:,:,12399.0,14006.0,14946.0,16294.0
Annual,GE3,PPS_AE,SK,:,:,:,:,8072.0,9819.0,7588.0
Annual,GE3,PPS_AE,TR,:,:,:,3603.0,6109.0,9077.0,7900.0
Annual,GE3,PPS_AE,UK,12108.0,14807.0,20046.0,21444.0,15474.0,16739.0,:
Annual,GE3,PPS_AE,XK,:,:,:,:,:,5505.0,:
Annual,GE3,PPS_HH,AT,:,33595.0,36786.0,44086.0,46522.0,51451.0,47602.0
Annual,GE3,PPS_HH,BE,21518.0,25239.0,43526.0,38635.0,46901.0,50054.0,41012.0
Annual,GE3,PPS_HH,BG,:,:,8014.0,10055.0,11907.0,17595.0,20162.0
Annual,GE3,PPS_HH,CY,:,:,45607.0,56177.0,61664.0,54765.0,52606 e
Annual,GE3,PPS_HH,CZ,:,:,20096.0,22373.0,20829.0,23333.0,23023.0
Annual,GE3,PPS_HH,DE,28046.0,31457.0,36187.0,44393.0,45655.0,50564.0,55903.0
Annual,GE3,PPS_HH,DK,:,31253.0,41848.0,25549.0,46131.0,:,53245 u
Annual,GE3,PPS_HH,EA,:,30741.0,35836.0,42573 e,40763 i,:,:
Annual,GE3,PPS_HH,EA12,:,:,:,42641 e,41341 i,:,:
Annual,GE3,PPS_HH,EA13,:,:,:,42573 e,41296 i,:,:
Annual,GE3,PPS_HH,EA17,:,:,:,:,40900 i,:,:
Annual,GE3,PPS_HH,EA18,:,:,:,:,40763 i,:,:
Annual,GE3,PPS_HH,EE,:,:,11885.0,17348.0,14890.0,20482.0,25773.0
Annual,GE3,PPS_HH,EEA28,:,:,:,39649 e,37785 i,:,:
Annual,GE3,PPS_HH,EEA30_2007,:,:,:,:,36329 i,:,:
Annual,GE3,PPS_HH,EFTA,:,:,:,44424 u,58855 u,:,:
Annual,GE3,PPS_HH,EL,20396.0,23773.0,30834.0,43805.0,42949.0,36439.0,31492.0
Annual,GE3,PPS_HH,ES,:,28963.0,26582.0,35048.0,40058.0,39617.0,35772.0
Annual,GE3,PPS_HH,EU15,:,31489.0,37802.0,43805 e,40690 i,:,:
Annual,GE3,PPS_HH,EU25,:,:,:,39600 e,37564 i,:,:
Annual,GE3,PPS_HH,EU27_2007,:,:,:,37645 e,36106 i,:,:
Annual,GE3,PPS_HH,EU27_2020,:,:,:,:,:,39195 e,38886 i
Annual,GE3,PPS_HH,FI,:,26304.0,29352.0,42085.0,44818.0,53547.0,53799.0
Annual,GE3,PPS_HH,FR,24345.0,32543.0,35591.0,39382.0,38735.0,41094.0,40116 e
Annual,GE3,PPS_HH,HR,:,:,:,25213.0,24008.0,27519.0,31824.0
Annual,GE3,PPS_HH,HU,:,:,12701.0,15651.0,18379.0,22194.0,30149.0
Annual,GE3,PPS_HH,IE,:,38093.0,49165.0,62138.0,51092.0,50633.0,46905.0
Annual,GE3,PPS_HH,IT,25050.0,30829.0,38798.0,44071.0,36875.0,41826.0,37422.0
Annual,GE3,PPS_HH,LT,:,:,9563.0,14834.0,22760.0,25377.0,24419.0
Annual,GE3,PPS_HH,LU,28171.0,46007.0,57781.0,62353.0,60040.0,58962.0,59162.0
Annual,GE3,PPS_HH,LV,:,:,8211.0,17859.0,19474.0,23381.0,24612.0
Annual,GE3,PPS_HH,ME,:,:,:,:,17345.0,19794.0,22062.0
Annual,GE3,PPS_HH,MK,:,:,:,13634.0,14702.0,15395.0,:
Annual,GE3,PPS_HH,MT,:,:,35066.0,46063.0,41755.0,46412.0,44183 e
Annual,GE3,PPS_HH,NL,26060.0,33137.0,42401 u,29368.0,44489.0,50546.0,51499.0
Annual,GE3,PPS_HH,NO,:,:,:,44424.0,58855.0,58465.0,53993.0
Annual,GE3,PPS_HH,PL,:,:,11102.0,13178.0,20467.0,25360.0,21943.0
Annual,GE3,PPS_HH,PT,16714.0,23038.0,27241.0,30179.0,31254.0,30058.0,30695.0
Annual,GE3,PPS_HH,RO,:,:,5187.0,7183.0,11771.0,15187.0,20106.0
Annual,GE3,PPS_HH,RS,:,:,:,:,:,19497.0,23030.0
Annual,GE3,PPS_HH,SE,:,:,33058.0,:,:,42855.0,:
Annual,GE3,PPS_HH,SI,:,:,27053.0,31976.0,34381.0,37674.0,39946.0
Annual,GE3,PPS_HH,SK,:,:,11398.0,:,20399.0,25250.0,19162.0
Annual,GE3,PPS_HH,TR,:,:,:,10335.0,17980.0,26512.0,22903.0
Annual,GE3,PPS_HH,UK,29431.0,35068.0,47469.0,51517.0,36874.0,39635.0,:
Annual,GE3,PPS_HH,XK,:,:,:,:,:,14732.0,:
Annual,TOTAL,PPS_AE,AT,:,14029.0,16480.0,19344.0,21509.0,22645.0,23072.0
Annual,TOTAL,PPS_AE,BE,10466.0,14049.0,16753.0,18831.0,20139.0,22578.0,20128.0
Annual,TOTAL,PPS_AE,BG,:,:,:,4213.0,5644.0,7821.0,8680.0
Annual,TOTAL,PPS_AE,CY,:,:,:,17094.0,24111.0,20199.0,19403 e
Annual,TOTAL,PPS_AE,CZ,:,:,:,6520.0,8328.0,9677.0,10955.0
Annual,TOTAL,PPS_AE,DE,10857.0,13345.0,15558.0,18952.0,19234.0,20992.0,22074.0
Annual,TOTAL,PPS_AE,DK,:,12767.0,15566.0,16199.0,19204.0,20384.0,20601.0
Annual,TOTAL,PPS_AE,EA,:,12647.0,14871.0,17413 e,18128 i,:,:
Annual,TOTAL,PPS_AE,EA12,:,:,:,17439 e,18423 i,:,:
Annual,TOTAL,PPS_AE,EA13,:,:,:,17413 e,18403 i,:,:
Annual,TOTAL,PPS_AE,EA17,:,:,:,:,18200 i,:,:
Annual,TOTAL,PPS_AE,EA18,:,:,:,:,18128 i,:,:
Annual,TOTAL,PPS_AE,EE,:,:,:,6531.0,6755.0,10575.0,11783.0
Annual,TOTAL,PPS_AE,EEA28,:,:,:,16021 e,16508 i,:,:
Annual,TOTAL,PPS_AE,EEA30_2007,:,:,:,:,15900 i,:,:
Annual,TOTAL,PPS_AE,EFTA,:,:,:,19125 u,22820 u,:,:
Annual,TOTAL,PPS_AE,EL,8115.0,9564.0,12955.0,17391.0,17036.0,14483.0,13510.0
Annual,TOTAL,PPS_AE,ES,7459.0,9742.0,10123.0,13940.0,17858.0,18388.0,16998.0
Annual,TOTAL,PPS_AE,EU15,:,12633.0,15316.0,17825 e,17838 i,:,:
Annual,TOTAL,PPS_AE,EU25,:,:,:,15990 e,16442 i,:,:
Annual,TOTAL,PPS_AE,EU27_2007,:,:,:,15225 e,15832 i,:,:
Annual,TOTAL,PPS_AE,EU27_2020,:,:,:,:,:,17303 e,17260 i
Annual,TOTAL,PPS_AE,FI,:,10280.0,11884.0,16082.0,18097.0,20928.0,20519.0
Annual,TOTAL,PPS_AE,FR,9968.0,13738.0,15310.0,17523.0,18085.0,19484.0,19020 e
Annual,TOTAL,PPS_AE,HR,:,:,:,9478.0,9605.0,10986.0,12153.0
Annual,TOTAL,PPS_AE,HU,:,:,:,6241.0,8511.0,10319.0,14245.0
Annual,TOTAL,PPS_AE,IE,:,11245.0,15604.0,20583.0,18950.0,19552.0,19326.0
Annual,TOTAL,PPS_AE,IT,9481.0,12764.0,15897.0,17623.0,17950.0,19171.0,17906.0
Annual,TOTAL,PPS_AE,LT,:,:,:,5892.0,8668.0,10851.0,12723.0
Annual,TOTAL,PPS_AE,LU,14978.0,23255.0,25824.0,32794.0,28621.0,31893.0,32755.0
Annual,TOTAL,PPS_AE,LV,:,:,:,5316.0,6863.0,8883.0,10544.0
Annual,TOTAL,PPS_AE,ME,:,:,:,:,6110.0,8854.0,8288.0
Annual,TOTAL,PPS_AE,MK,:,:,:,5181.0,5454.0,5362.0,:
Annual,TOTAL,PPS_AE,MT,:,:,:,15108.0,14576.0,16111.0,15336 e
Annual,TOTAL,PPS_AE,NL,10074.0,13033.0,16850.0,19018.0,20016.0,21692.0,22128.0
Annual,TOTAL,PPS_AE,NO,:,:,:,19125.0,22820.0,25398.0,23797.0
Annual,TOTAL,PPS_AE,PL,:,:,:,5817.0,8801.0,10692.0,9954.0
Annual,TOTAL,PPS_AE,PT,6133.0,8371.0,10011.0,11674.0,13566.0,14844.0,14924.0
Annual,TOTAL,PPS_AE,RO,:,:,:,2866.0,5385.0,6750.0,8766.0
Annual,TOTAL,PPS_AE,RS,:,:,:,:,:,7978.0,7962.0
Annual,TOTAL,PPS_AE,SE,:,11995.0,14552.0,17414.0,17436.0,19286.0,:
Annual,TOTAL,PPS_AE,SI,:,:,:,13299.0,15273.0,15014.0,15638.0
Annual,TOTAL,PPS_AE,SK,:,:,:,6517.0,8315.0,10550.0,8706.0
Annual,TOTAL,PPS_AE,TR,:,:,:,5341.0,7670.0,11381.0,10188.0
Annual,TOTAL,PPS_AE,UK,10330.0,12654.0,17522.0,20047.0,14779.0,15791.0,:
Annual,TOTAL,PPS_AE,XK,:,:,:,:,:,5513.0,:
Annual,TOTAL,PPS_HH,AT,:,24322.0,26453.0,30167.0,33219.0,34491.0,34729.0
Annual,TOTAL,PPS_HH,BE,16912.0,22716.0,27405.0,30048.0,31264.0,34923.0,30906.0
Annual,TOTAL,PPS_HH,BG,:,:,5562.0,7099.0,9334.0,12517.0,13181.0
Annual,TOTAL,PPS_HH,CY,:,:,29378.0,34208.0,44641.0,35579.0,34177 e
Annual,TOTAL,PPS_HH,CZ,:,:,11302.0,12142.0,13161.0,15055.0,17132.0
Annual,TOTAL,PPS_HH,DE,16815.0,20660.0,23575.0,28501.0,28367.0,30693.0,32116.0
Annual,TOTAL,PPS_HH,DK,:,19185.0,23439.0,24062.0,28560.0,30102.0,30284.0
Annual,TOTAL,PPS_HH,EA,:,21145.0,24291.0,28103 e,28481 i,:,:
Annual,TOTAL,PPS_HH,EA12,:,:,:,28130 e,28876 i,:,:
Annual,TOTAL,PPS_HH,EA13,:,:,:,28103 e,28855 i,:,:
Annual,TOTAL,PPS_HH,EA17,:,:,:,:,28591 i,:,:
Annual,TOTAL,PPS_HH,EA18,:,:,:,:,28481 i,:,:
Annual,TOTAL,PPS_HH,EE,:,:,7144.0,10848.0,10421.0,16382.0,17683.0
Annual,TOTAL,PPS_HH,EEA28,:,:,:,25902 e,26083 i,:,:
Annual,TOTAL,PPS_HH,EEA30_2007,:,:,:,:,25174 i,:,:
Annual,TOTAL,PPS_HH,EFTA,:,:,:,29106 u,34578 u,:,:
Annual,TOTAL,PPS_HH,EL,15465.0,17701.0,23401.0,30975.0,29974.0,24190.0,22530.0
Annual,TOTAL,PPS_HH,ES,15388.0,19586.0,20238.0,26028.0,30884.0,30223.0,27683.0
Annual,TOTAL,PPS_HH,EU15,:,20917.0,24772.0,28608 e,27997 i,:,:
Annual,TOTAL,PPS_HH,EU25,:,:,:,25870 e,25996 i,:,:
Annual,TOTAL,PPS_HH,EU27_2007,:,:,:,24667 e,25082 i,:,:
Annual,TOTAL,PPS_HH,EU27_2020,:,:,:,:,:,26896 e,26540 i
Annual,TOTAL,PPS_HH,FI,:,16014.0,18211.0,24360.0,26998.0,30792.0,28810.0
Annual,TOTAL,PPS_HH,FR,16602.0,22319.0,24597.0,27886.0,27627.0,29667.0,28961 e
Annual,TOTAL,PPS_HH,HR,:,:,:,16840.0,17264.0,20163.0,21902.0
Annual,TOTAL,PPS_HH,HU,:,:,8056.0,10694.0,13504.0,15998.0,21937.0
Annual,TOTAL,PPS_HH,IE,:,22243.0,29749.0,36373.0,33262.0,33814.0,33497.0
Annual,TOTAL,PPS_HH,IT,17119.0,22807.0,27220.0,28782.0,28393.0,29651.0,27283.0
Annual,TOTAL,PPS_HH,LT,:,:,7208.0,9378.0,14730.0,16254.0,17448.0
Annual,TOTAL,PPS_HH,LU,26662.0,38647.0,43247.0,51932.0,45171.0,49838.0,49524.0
Annual,TOTAL,PPS_HH,LV,:,:,5545.0,10589.0,11381.0,14428.0,16576.0
Annual,TOTAL,PPS_HH,ME,:,:,:,:,11831.0,16541.0,14929.0
Annual,TOTAL,PPS_HH,MK,:,:,:,12622.0,11846.0,11690.0,:
Annual,TOTAL,PPS_HH,MT,:,:,20785.0,28605.0,26590.0,27868.0,26528 e
Annual,TOTAL,PPS_HH,NL,16494.0,20314.0,25657.0,29368.0,30288.0,32624.0,33134.0
Annual,TOTAL,PPS_HH,NO,:,:,:,29106.0,34578.0,37330.0,34403.0
Annual,TOTAL,PPS_HH,PL,:,:,8982.0,10594.0,15263.0,18436.0,17178.0
Annual,TOTAL,PPS_HH,PT,11926.0,16311.0,18527.0,20869.0,23357.0,24842.0,24499.0
Annual,TOTAL,PPS_HH,RO,:,:,3907.0,5324.0,9623.0,11422.0,14625.0
Annual,TOTAL,PPS_HH,RS,:,:,:,:,:,14355.0,14285.0
Annual,TOTAL,PPS_HH,SE,:,17994.0,21673.0,25612.0,26366.0,28583.0,:
Annual,TOTAL,PPS_HH,SI,:,:,19815.0,23806.0,25514.0,25762.0,26153.0
Annual,TOTAL,PPS_HH,SK,:,:,10545.0,11855.0,15041.0,19341.0,15692.0
Annual,TOTAL,PPS_HH,TR,:,:,:,10291.0,15917.0,21628.0,18952.0
Annual,TOTAL,PPS_HH,UK,17390.0,20461.0,27646.0,31959.0,23692.0,25316.0,:
Annual,TOTAL,PPS_HH,XK,:,:,:,:,:,15014.0,:
