Time frequency,International Standard Classification of Education (ISCED 1997),Duration,Geopolitical entity (reporting)\Time,2008.0
Annual,All ISCED 1997 levels,From 2 to 3 years,Slovakia,11.3
Annual,All ISCED 1997 levels,From 2 to 3 years,Türkiye,4.2
Annual,All ISCED 1997 levels,Over 3 years,Austria,9.8
Annual,All ISCED 1997 levels,Over 3 years,Belgium,7.2
Annual,All ISCED 1997 levels,Over 3 years,Bulgaria,8.9
Annual,All ISCED 1997 levels,Over 3 years,Cyprus,12.3
Annual,All ISCED 1997 levels,Over 3 years,Czechia,4.0
Annual,All ISCED 1997 levels,Over 3 years,Germany,10.8
Annual,All ISCED 1997 levels,Over 3 years,Estonia,19.4
Annual,All ISCED 1997 levels,Over 3 years,Greece,11.9
Annual,All ISCED 1997 levels,Over 3 years,Spain,8.1
Annual,All ISCED 1997 levels,Over 3 years,France,5.7
Annual,All ISCED 1997 levels,Over 3 years,Hungary,9.0
Annual,All ISCED 1997 levels,Over 3 years,Latvia,10.7
Annual,All ISCED 1997 levels,Over 3 years,Malta,11.3
Annual,All ISCED 1997 levels,Over 3 years,Poland,9.3
Annual,All ISCED 1997 levels,Over 3 years,Romania,2.9
Annual,All ISCED 1997 levels,Over 3 years,Slovenia,14.6
Annual,All ISCED 1997 levels,Over 3 years,Slovakia,11.7
Annual,All ISCED 1997 levels,Over 3 years,Türkiye,4.6
Annual,All ISCED 1997 levels,Less than 1 year,Austria,43.1
Annual,All ISCED 1997 levels,Less than 1 year,Belgium,45.5
Annual,All ISCED 1997 levels,Less than 1 year,Bulgaria,10.3
Annual,All ISCED 1997 levels,Less than 1 year,Cyprus,33.8
Annual,All ISCED 1997 levels,Less than 1 year,Czechia,39.8
Annual,All ISCED 1997 levels,Less than 1 year,Germany,44.7
Annual,All ISCED 1997 levels,Less than 1 year,Estonia,23.2
Annual,All ISCED 1997 levels,Less than 1 year,Greece,30.0
Annual,All ISCED 1997 levels,Less than 1 year,Spain,45.0
Annual,All ISCED 1997 levels,Less than 1 year,France,50.3
Annual,All ISCED 1997 levels,Less than 1 year,Hungary,37.4
Annual,All ISCED 1997 levels,Less than 1 year,Latvia,23.1
Annual,All ISCED 1997 levels,Less than 1 year,Malta,19.5
Annual,All ISCED 1997 levels,Less than 1 year,Poland,29.4
Annual,All ISCED 1997 levels,Less than 1 year,Romania,3.5
Annual,All ISCED 1997 levels,Less than 1 year,Slovenia,25.6
Annual,All ISCED 1997 levels,Less than 1 year,Slovakia,31.9
Annual,All ISCED 1997 levels,Less than 1 year,Türkiye,12.6
Annual,Unknown,Never,Belgium,8.7 u
Annual,Unknown,From 1 to 2 years,Belgium,10.2 u
Annual,Unknown,From 2 to 3 years,Belgium,11.2 u
Annual,Unknown,Over 3 years,Belgium,1.2 u
Annual,Unknown,Less than 1 year,Belgium,68.7 u
