Time frequency,Unit of measure,Weight,Motor energy,Geopolitical entity (reporting)\Time,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Number,Total,Other,Luxembourg,0.0,0.0,0.0,:,:,:,:
Annual,Number,Total,Other,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Total,Other,Malta,:,:,0.0,0.0,0.0,8.0,0.0
Annual,Number,Total,Other,Norway,6.0,2.0,6.0,15.0,21.0,6.0,17.0
Annual,Number,Total,Other,Poland,65.0,32.0,27.0,46.0,15.0,51.0,118.0
Annual,Number,Total,Other,Romania,:,:,2.0,:,:,:,:
Annual,Number,Total,Other,Sweden,2.0,1.0,2.0,5.0,:,17.0,:
Annual,Number,Total,Other,Slovenia,: m,:,:,:,:,:,:
Annual,Number,Total,Other,United Kingdom,730.0,334.0,333.0,310.0,:,493.0,:
Annual,Number,Total,Total,Austria,81.0,156.0,404.0,357.0,235.0,318.0,544.0
Annual,Number,Total,Total,Belgium,0.0,0.0,0.0,0.0,0.0,87.0,:
Annual,Number,Total,Total,Switzerland,300.0,400.0,400.0,400.0,300.0,300 e,600 n
Annual,Number,Total,Total,Cyprus,: m,2.0,1.0,1.0,1.0,1.0,0.0
Annual,Number,Total,Total,Germany,3768.0,2714.0,3513.0,2794.0,1945.0,2275.0,2837.0
Annual,Number,Total,Total,Estonia,0.0,0.0,0.0,2.0,0.0,24.0,1.0
Annual,Number,Total,Total,Finland,9.0,11.0,10.0,7.0,10.0,14.0,30.0
Annual,Number,Total,Total,France,2245.0,1605.0,1701.0,2593.0,:,:,:
Annual,Number,Total,Total,Croatia,:,61.0,229.0,54.0,20.0,8.0,26.0
Annual,Number,Total,Total,Hungary,:,:,:,:,22.0,87.0,159.0
Annual,Number,Total,Total,Ireland,:,:,:,:,:,47.0,0.0
Annual,Number,Total,Total,Italy,:,:,:,:,24703.0,8314.0,7269.0
Annual,Number,Total,Total,Liechtenstein,4.0,3.0,2.0,4.0,0.0,:,:
Annual,Number,Total,Total,Lithuania,0.0,0.0,0.0,0.0,3.0,0.0,:
Annual,Number,Total,Total,Luxembourg,3.0,12.0,12.0,:,:,:,:
Annual,Number,Total,Total,Latvia,2.0,1.0,1.0,3.0,0.0,4.0,4.0
Annual,Number,Total,Total,Malta,:,:,0.0,0.0,0.0,9.0,0.0
Annual,Number,Total,Total,Norway,10.0,27.0,39.0,79.0,124.0,102.0,172.0
Annual,Number,Total,Total,Poland,: m,: m,1778.0,:,:,1798.0,2521.0
Annual,Number,Total,Total,Romania,:,:,2.0,:,2.0,8.0,17.0
Annual,Number,Total,Total,Sweden,296.0,493.0,755.0,802.0,:,775.0,:
Annual,Number,Total,Total,Slovenia,: m,16.0,23.0,4.0,: m,: m,4.0
Annual,Number,Total,Total,United Kingdom,:,:,586.0,499.0,552.0,530.0,:
