Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Serbia,10.87,10.04,10.42,6.94,8.0,5.6,8.39,7.0,8.08,7.77
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Sweden,4.61,3.68,2.98,3.87,2.64,3.69,3.71,2.07,4.32,2.75
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Slovenia,10.47,11.31,6.81,10.95,12.15,9.23,6.69,6.13,5.58,5.57
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Slovakia,11.03,9.09,11.19,11.12,10.11,10.52,9.18,9.8,8.7,7.01
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Türkiye,5.02,9.03,8.46,7.79,8.68,8.25,7.68,5.21,5.51,5.68
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",United Kingdom,4.43,4.07,4.02,3.69,3.44,3.18,2.92,:,:,:
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Austria,7.07,7.38,9.48,7.88,7.99,6.51,7.65,6.44,5.38,6.6
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Belgium,9.87,8.99,8.51,8.75,8.41,8.79,8.14,7.97,6.79,8.4
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Bulgaria,7.13,5.05,5.17,4.12,4.45,4.62,3.8,3.88,2.75,3.38
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Switzerland,7.98,7.34,6.71,8.65,6.32,7.77,10.39,8.84,9.44,8.25
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Cyprus,4.55,5.56,3.31,5.08,5.13,7.79,6.18,3.55,3.58,2.75
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Czechia,7.97,10.8,8.68,7.3,9.9,9.8,10.96,8.2,6.98,8.05
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Germany,6.37,5.77,6.02,5.95,6.23,5.68,6.06,5.26,5.73,5.65
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Denmark,5.76,4.85,5.36,3.27,5.28,5.28,4.21,5.9,7.49,5.29
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Estonia,9.95,11.21,14.6,15.99,9.83,14.02,11.87,15.88,16.61,14.88
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Greece,2.55,2.43,3.11,2.18,2.11,2.75,3.47,3.08,2.16,1.67
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Spain,3.22,3.75,3.98,3.47,3.13,2.89,3.39,3.48,3.03,3.59
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,European Union - 27 countries (from 2020),6.81,6.64,6.67,6.05,5.83,5.76,5.89,5.91,5.74,6.03
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Finland,17.71,15.06,13.2,10.86,15.54,16.06,14.67,17.11,13.31,12.51
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,France,6.24,5.85,4.94,4.8,4.82,4.16,5.4,5.29,5.5,5.81
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Croatia,7.97,9.44,9.96,8.27,7.61,5.86,8.88,6.35,8.78,5.58
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Hungary,8.05,5.99,6.81,7.41,6.43,6.49,6.24,6.74,6.18,7.54
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Ireland,13.23,9.38,13.2,8.91,11.4,7.78,9.23,9.16,9.84,10.33
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Iceland,10.6,10.6,10.6,14.87,19.12,14.77,12.56,10.43,16.7,8.3
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Italy,3.53,3.04,3.47,3.19,2.78,3.5,3.04,3.16,3.06,3.67
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Liechtenstein,0.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,24.08,: @C
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Lithuania,17.82,28.76,26.31,20.39,13.55,13.95,12.58,16.21,14.54,12.79
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Luxembourg,9.3,3.04,5.99,7.36,1.44,5.66,4.22,11.18,6.96,2.78
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Latvia,15.9,8.52,17.34,14.08,10.83,9.78,8.43,10.87,10.95,8.01
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Malta,1.8,3.59,5.41,5.45,0.0,5.57,1.85,3.66,1.87,7.84
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Netherlands,6.39,6.96,6.35,5.97,5.35,7.49,6.83,7.3,7.1,7.21
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Norway,9.99,9.61,8.07,9.11,10.47,13.51,12.82,12.26,11.26,11.77
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Poland,11.57,11.86,13.04,11.42,9.91,9.64,8.62,9.74,9.55,10.61
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Portugal,3.01,2.24,3.25,3.35,2.54,3.84,2.47,3.38,3.92,3.2
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Romania,7.85,6.97,6.37,6.4,5.09,5.66,4.84,5.69,4.68,5.12
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Serbia,5.01,3.8,4.52,4.37,2.89,4.67,3.79,4.12,2.37,2.97
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Sweden,9.45,11.93,10.35,8.92,9.03,10.72,11.82,12.1,11.42,10.84
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Slovenia,9.56,11.78,9.73,8.46,11.14,5.13,8.23,7.15,8.62,9.62
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Slovakia,6.42,8.08,5.82,4.63,5.3,4.01,5.54,6.06,4.17,5.9
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,Türkiye,2.16,3.18,2.91,2.59,2.6,4.29,5.41,5.64,5.89,6.87
Annual,Rate,Total,From 15 to 24 years,Intentional self-harm,United Kingdom,5.11,4.61,5.05,5.78,5.72,6.3,7.33,:,:,:
