Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,16 years,Females,Percentage,France,5.28,4.57,4.4,3.87 p,4.02 p,3.84 p,3.54 p,3.71 p
Annual,16 years,Females,Percentage,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,16 years,Females,Percentage,Hungary,6.85,6.49,7.56,6.47,7.09,6.54,7.98,6.72
Annual,16 years,Females,Percentage,Ireland,0.00 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
Annual,16 years,Females,Percentage,Iceland,3.02,4.03,4.36,4.31,3.31,3.34,3.46,3.14
Annual,16 years,Females,Percentage,Italy,5.02,5.47,4.89,4.34 d,3.51,3.15,2.56,3.53
Annual,16 years,Females,Percentage,Liechtenstein,18.81,14.86,17.91,22.53,7.54,16.09,11.56,22.93
Annual,16 years,Females,Percentage,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,16 years,Females,Percentage,Luxembourg,8.75,7.73,9.74,6.02,7.93,7.01,8.29,4.95
Annual,16 years,Females,Percentage,Latvia,1.27,3.47,1.49,1.17,2.0,3.21,2.56,3.07
Annual,16 years,Females,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,16 years,Females,Percentage,North Macedonia,: d,: d,: d,99.40 d,99.47,: d,: d,: d
Annual,16 years,Females,Percentage,Malta,10.27,16.73,15.51,14.0,13.96,11.07,11.82,15.63 p
Annual,16 years,Females,Percentage,Netherlands,0.89,0.87,0.9,0.86,0.73 e,0.70 e,0.72 e,0.83
Annual,16 years,Females,Percentage,Norway,4.46,4.43,4.6,4.32,4.65,4.41,4.09,4.4
Annual,16 years,Females,Percentage,Poland,4.18 d,4.59 d,4.66 d,4.46 e,4.26 e,4.44 e,4.21,3.94
Annual,16 years,Females,Percentage,Portugal,0.38,1.96,1.38,0.0,0.0,0.0,0.0,0.00 p
Annual,16 years,Females,Percentage,Romania,19.14,18.99 d,19.31 d,17.74 d,18.49 d,18.62 d,18.89 d,21.79
Annual,16 years,Females,Percentage,Serbia,5.77,6.9,4.44,8.72,8.72,8.17,8.92,8.52
Annual,16 years,Females,Percentage,Sweden,1.3,0.91,0.52,1.17,1.56,1.4,1.1,1.33
Annual,16 years,Females,Percentage,Slovenia,2.09 d,3.40 d,3.70 d,2.56,2.29,2.4,2.86,2.18
Annual,16 years,Females,Percentage,Slovakia,6.67,8.18,7.82,8.13,9.09,8.61,9.39,8.15
Annual,16 years,Females,Percentage,Türkiye,: d,: d,: d,11.21,12.27,11.09,9.61,6.51
Annual,16 years,Females,Percentage,United Kingdom,0.31 d,0.00 d,0.00 d,0.91 d,1.86 d,:,:,:
Annual,16 years,Males,Percentage,Albania,:,:,:,:,:,:,14.81,12.56
Annual,16 years,Males,Percentage,Austria,9.82,13.11,12.37,12.11,11.09,11.04,10.39,11.35
Annual,16 years,Males,Percentage,Belgium,2.77,2.87,0.95,0.81,1.88,0.76 bd,1.13,1.91
Annual,16 years,Males,Percentage,Bulgaria,9.34,11.8,11.8,14.76,14.89,14.91,14.3,13.7
Annual,16 years,Males,Percentage,Switzerland,4.96,5.32,5.55,5.59,5.63,5.51,5.13,4.87
Annual,16 years,Males,Percentage,Cyprus,7.91,3.05,4.85,6.47,4.37,9.59,3.24,0.33
Annual,16 years,Males,Percentage,Czechia,: d,: d,: d,3.27,3.07,3.05,2.1,1.01
Annual,16 years,Males,Percentage,Germany,2.84 d,5.16 d,3.52 d,4.91 d,4.44,5.22 bd,2.8,4.87
Annual,16 years,Males,Percentage,Denmark,4.69,4.85,5.56,4.43,4.12,4.38,4.16,3.98
Annual,16 years,Males,Percentage,Estonia,3.86 d,3.69 d,3.92 d,3.94 d,3.87 d,3.69 d,3.92 d,3.17
Annual,16 years,Males,Percentage,Greece,6.25,7.23,5.66,7.79,4.22,9.67,7.36,3.6
Annual,16 years,Males,Percentage,Spain,5.25,4.83,4.94,5.16,4.97,5.62,4.82,5.59
Annual,16 years,Males,Percentage,European Union - 27 countries (from 2020),5.13 d,5.65 d,5.18 d,5.2,4.62 d,5.19,4.44,5.02
Annual,16 years,Males,Percentage,European Union - 28 countries (2013-2020),4.65 d,4.96 d,4.72 d,4.91,4.57 d,:,:,:
Annual,16 years,Males,Percentage,Finland,3.72,3.47,3.91,2.99,3.48,3.04,4.26,3.41
Annual,16 years,Males,Percentage,France,6.59,5.97,5.95,5.34 p,4.34 p,4.41 p,4.17 p,4.62 p
Annual,16 years,Males,Percentage,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,16 years,Males,Percentage,Hungary,6.18,5.91,7.5,6.08,6.77,7.31,7.66,6.92
Annual,16 years,Males,Percentage,Ireland,0.00 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
Annual,16 years,Males,Percentage,Iceland,5.11,4.1,5.06,4.52,5.69,5.15,5.35,4.38
Annual,16 years,Males,Percentage,Italy,4.79,5.9,4.09,3.83 d,1.84,2.99,2.68,3.21
Annual,16 years,Males,Percentage,Liechtenstein,0.0,0.0,2.8,4.88,0.0,0.0,0.48,0.0
Annual,16 years,Males,Percentage,Lithuania,0.56,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Annual,16 years,Males,Percentage,Luxembourg,13.55,11.89,14.11,11.77,11.74,9.94,10.49,9.76
Annual,16 years,Males,Percentage,Latvia,1.06,3.4,0.94,0.86,3.41,4.25,4.02,3.74
Annual,16 years,Males,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,16 years,Males,Percentage,North Macedonia,: d,: d,: d,99.10 d,99.12,: d,: d,: d
Annual,16 years,Males,Percentage,Malta,22.56,18.34,21.95,18.16,17.78,17.51,17.31,17.11 p
Annual,16 years,Males,Percentage,Netherlands,1.09,1.05,1.07,1.06,0.92 e,1.17 e,1.17 e,1.14
Annual,16 years,Males,Percentage,Norway,5.84,5.77,6.32,6.49,5.66,5.66,5.0,5.13
Annual,16 years,Males,Percentage,Poland,4.21 d,4.30 d,4.63 d,4.63 e,4.34 e,4.64 e,4.43,4.07
Annual,16 years,Males,Percentage,Portugal,0.24,1.7,1.67,0.27,0.0,0.0,0.0,0.00 p
Annual,16 years,Males,Percentage,Romania,19.03,18.62 d,19.93 d,18.45 d,18.97 d,19.85 d,19.13 d,21.91
Annual,16 years,Males,Percentage,Serbia,5.61,5.07,3.8,8.75,7.74,8.0,7.81,10.54
Annual,16 years,Males,Percentage,Sweden,0.38,0.0,0.0,0.0,1.2,1.47,1.21,1.27
Annual,16 years,Males,Percentage,Slovenia,1.85 d,2.45 d,3.41 d,1.84,2.13,1.67,2.58,1.79
Annual,16 years,Males,Percentage,Slovakia,6.39,6.6,7.0,7.97,8.24,8.2,8.87,7.94
Annual,16 years,Males,Percentage,Türkiye,: d,: d,: d,12.88,11.54,10.68,10.17,5.52
Annual,16 years,Males,Percentage,United Kingdom,1.72 d,0.75 d,1.78 d,3.10 d,4.24 d,:,:,:
Annual,16 years,Total,Percentage,Albania,:,:,:,:,:,:,14.75,13.46 d
Annual,16 years,Total,Percentage,Austria,8.86,10.65,10.56,10.3,9.74,9.74,9.06,9.97
Annual,16 years,Total,Percentage,Belgium,2.39,2.19,0.78,0.81,1.72,0.76 bd,1.05,1.86
Annual,16 years,Total,Percentage,Bulgaria,11.25,13.94,14.65,17.02,16.93,17.3,17.07,15.74
Annual,16 years,Total,Percentage,Switzerland,6.5,6.82,6.75,7.01,6.85,6.64,6.06,6.08
Annual,16 years,Total,Percentage,Cyprus,6.82,3.65,5.01,7.25,6.02,8.91,3.57,1.04
Annual,16 years,Total,Percentage,Czechia,: d,: d,: d,3.31,3.04,3.14,2.16,1.72
Annual,16 years,Total,Percentage,Germany,2.99 d,4.96 d,4.10 d,5.18 d,4.53,5.23 bd,2.69,4.79
Annual,16 years,Total,Percentage,Denmark,4.87,5.16,5.78,4.57,4.43,4.42,4.19,4.16
Annual,16 years,Total,Percentage,Estonia,3.50 d,3.66 d,3.69 d,4.03 d,3.72 d,3.63 d,3.64 d,3.35
Annual,16 years,Total,Percentage,Greece,7.1,8.09,5.82,8.51,3.12,8.85,6.81,3.87
Annual,16 years,Total,Percentage,Spain,4.61,4.2,4.01,4.34,4.09,4.37,3.95,4.74
Annual,16 years,Total,Percentage,European Union - 27 countries (from 2020),5.02 d,5.43 d,5.10 d,5.05,4.58 d,4.94,4.23,4.86
Annual,16 years,Total,Percentage,European Union - 28 countries (2013-2020),4.45 d,4.67 d,4.52 d,4.64,4.37 d,:,:,:
Annual,16 years,Total,Percentage,Finland,4.06,4.11,4.26,3.7,3.84,3.45,3.87,3.38
Annual,16 years,Total,Percentage,France,5.95,5.29,5.19,4.63 p,4.18 p,4.13 p,3.87 p,4.18 p
Annual,16 years,Total,Percentage,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,16 years,Total,Percentage,Hungary,6.51,6.19,7.53,6.27,6.93,6.94,7.81,6.82
Annual,16 years,Total,Percentage,Ireland,0.00 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
Annual,16 years,Total,Percentage,Iceland,4.1,4.07,4.71,4.42,4.5,4.25,4.42,3.78
Annual,16 years,Total,Percentage,Italy,4.9,5.69,4.48,4.08 d,2.65,3.07,2.62,3.37
Annual,16 years,Total,Percentage,Liechtenstein,6.65,5.56,10.12,13.18,3.76,1.69,5.9,8.23
Annual,16 years,Total,Percentage,Lithuania,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,16 years,Total,Percentage,Luxembourg,11.21,9.85,12.01,8.91,9.92,8.55,9.43,7.51
Annual,16 years,Total,Percentage,Latvia,1.16,3.43,1.21,1.01,2.72,3.75,3.31,3.42
Annual,16 years,Total,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,16 years,Total,Percentage,North Macedonia,: d,: d,: d,99.25 d,99.29,: d,: d,: d
Annual,16 years,Total,Percentage,Malta,16.6,17.54,18.72,16.14,15.95,14.33,14.64,16.39 p
Annual,16 years,Total,Percentage,Netherlands,0.99,0.96,0.99,0.96,0.83 e,0.94 e,0.95 e,0.99
Annual,16 years,Total,Percentage,Norway,5.18,5.1,5.49,5.44,5.16,5.05,4.56,4.78
Annual,16 years,Total,Percentage,Poland,4.19 d,4.44 d,4.65 d,4.55 e,4.30 e,4.54 e,4.32,4.01 p
Annual,16 years,Total,Percentage,Portugal,0.31,1.83,1.53,0.12,0.0,0.0,0.0,0.00 p
Annual,16 years,Total,Percentage,Romania,19.08,18.80 d,19.62 d,18.10 d,18.74 d,19.26 d,19.01 d,21.85
Annual,16 years,Total,Percentage,Serbia,5.69,5.95,4.11,8.74,8.22,8.08,8.35,9.56
Annual,16 years,Total,Percentage,Sweden,0.82,0.0,0.0,0.0,1.37,1.44,1.16,1.3
Annual,16 years,Total,Percentage,Slovenia,1.96 d,2.91 d,3.55 d,2.19,2.21,2.02,2.72,1.98
Annual,16 years,Total,Percentage,Slovakia,6.53,7.38,7.4,8.05,8.65,8.4,9.12,8.04
Annual,16 years,Total,Percentage,Türkiye,: d,: d,: d,12.07,11.89,10.88,9.9,6.0
Annual,16 years,Total,Percentage,United Kingdom,1.03 d,0.00 d,0.84 d,2.03 d,3.08 d,:,:,:
