Time frequency,Economical indicator for structural business statistics,Enterprise,Enterprise group identification,Geopolitical entity (reporting)\Time,2007.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,Czechia,0 p
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,Germany,164.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,Denmark,32.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,European Union (aggregate changing according to the context),474 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,Finland,36.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,Ireland,13.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,Netherlands,57 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,Norway,13.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,Portugal,14.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,Sweden,98 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,Slovenia,14.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in own country,United Kingdom,46.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),Czechia,3 p
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),Germany,87.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),Denmark,8.0
