Time frequency,Transport infrastructure,Unit of measure,Geopolitical entity (reporting)\Time,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Upgraded high speed railway lines,Kilometre,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Moldova,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,86.0,86.0
Annual,Upgraded high speed railway lines,Kilometre,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,80 i,80 i,80 i,136 i,136 i,136 i,459 i,459 i,459 i,459 i
Annual,Upgraded high speed railway lines,Kilometre,Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1261.0,1556.0,1586.0,1586.0,1668.0,1668.0,1668.0,1692.0,1692.0,1692.0,1692.0,1692.0,1692.0,1692.0,1692.0,:
Annual,Upgraded high speed railway lines,Kilometre,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,204 i,204 i,204.0
Annual,Upgraded high speed railway lines,Kilometre,Ukraine,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:
Annual,Upgraded high speed railway lines,Kilometre,United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Kilometre,Albania,674.0,674.0,674.0,630.0,520.0,520.0,447.0,447.0,394.0,394.0,400.0,409.0,428.0,421 i,413 i,406 i,398 i,391 i,383 i,376 i,368 i,361 i,353 i,346.0,346.0,379.0,334.0,334.0,334.0,234.85,204.15,224.0,204.15,252.95
Annual,Total,Kilometre,Austria,5624.0,5623.0,5605.0,5600.0,5636.0,5672.0,5672.0,5672.0,5643.0,5618.0,5563.0,5980.0,5642.0,5655 i,5675 i,5691 i,5702 i,5702 i,5693 i,5693 i,5828.0,5500.0,5566.0,5531.0,5531.0,5522.0,5491.0,5527.0,5526.0,5615.0,5607.0,5603.0,5575.0,5577.0
Annual,Total,Kilometre,Bosnia and Herzegovina,944.0,1021.0,1032.0,1032.0,1032.0,1032.0,1031.0,1031.0,1031.0,1031.0,1031.0,1032.0,1033.0,1033.0,1000.0,1000.0,1001.0,1017.0,1017.0,1017.0,1027.0,1027.0,1027.0,1027.0,1027.0,1027.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1025.0
Annual,Total,Kilometre,Belgium,3479.0,3466.0,3432.0,3410.0,3396.0,3368.0,3380.0,3422.0,3470.0,3472.0,3471.0,3454.0,3518.0,3521.0,3536.0,3544.0,3560.0,3568.0,3513.0,3578.0,3582.0,3587.0,3592.0,3595.0,3631.0,3607.0,3602.0,3605.0,3607.0,3614.0,3615.0,3612.0,3619.0,3629.0
Annual,Total,Kilometre,Bulgaria,4299.0,4299.0,4294.0,4294.0,4291.0,4293.0,4293.0,4291.0,4290.0,4290.0,4320.0,4320.0,4318.0,4316.0,4259.0,4154.0,4146.0,4143.0,4144.0,4150.0,4098.0,4072.0,4070.0,4032.0,4023.0,4019.0,4029.0,4030.0,4030.0,4030.0,4029.0,4031.0,4029.0,4029.0
Annual,Total,Kilometre,Switzerland,4908 i,4912 i,4903 i,4913 i,4913 i,4917 i,4919 i,4869 i,4836 i,5108 b,5032.0,5025.0,5021.0,5007.0,5041.0,5040.0,5043.0,5085.0,5146 i,5188 i,5124.0,5140 i,5147 i,5181 i,5187 i,5205.0,5249 i,5251 i,5248 i,5288 i,5303.0,5318 i,5318 i,5318 i
Annual,Total,Kilometre,Czechia,9451.0,9454.0,9439.0,9441.0,9375.0,9327.0,9435.0,9430.0,9430.0,9444.0,9444.0,9523.0,9600.0,9602.0,9612.0,9614.0,9597.0,9588.0,9586.0,9578.0,9568.0,9572.0,9570.0,9560.0,9559.0,9566.0,9564.0,9567.0,9572.0,9562.0,9542.0,9523.0,9521.0,9514.0
Annual,Total,Kilometre,Germany,44050.0,41113.0,40815.0,40397.0,41257.0,41718.0,40826.0,38385.0,38126.0,37525.0,36587.64,35986.1,35804.0,41531 b,40202.0,38206.0,38206.0,38005.0,37798.0,37934.0,38750.0,38712.0,38648.0,38653.801,38658.765,38630.502,38696.542,38802.643,38994.798,39068.117,38799.773,38783.143,38836.096,38691.0
Annual,Total,Kilometre,Denmark,2858 i,2858 i,2858 i,2863 i,2863 i,2863 i,2863 i,2762 i,2779 i,2775 i,2787 i,2787 i,2787 i,2787 i,2646 i,2646 i,2646 i,2606 i,2606 i,2606 i,2606 i,2615 i,2615 i,2615.0,2612.0,2552.0,2539.0,2481.0,2481.0,2536.0,2485.0,2485.0,2448.0,2448.0
Annual,Total,Kilometre,Estonia,1026.0,1026.0,1018.4,1024.0,1024.0,1020.7,1019.7,966.0,966.0,968.0,968.0,967.0,967.0,959.0,959.0,1055.0,1196.0,1200.0,1196.0,1196.0,1196.0,1196.0,1196.0,1166.0,1166.0,1164.0,1161.0,1161.0,1161.0,1167.0,1167.0,1167.0,1175.0,1171.0
Annual,Total,Kilometre,Greece,2484.0,2484.0,2484.0,2474.0,2474.0,2474.0,2474.0,2503.0,2299.0,2299.0,2385.0,2377.0,2383.0,2414.0,2449.0,2576.0,2509.0,2551.0,2552.0,2552.0,2552.0,2554.0,2554.0,2586.0,2238.0,2240.0,2240.0,2240.0,2293.0,2280.0,2345.0,2339.0,1990.0,1822.0
Annual,Total,Kilometre,Spain,12560.0,12570.0,13041.0,12601.0,12646.0,12280.0,12284.0,12303.0,12303.0,12319.0,12310.0,12310.0,12298.0,12829.0,12837.0,12839.0,13008.0,13368.0,13353.0,13354.0,13853.0,13945.0,13976.0,15312 b,15182.0,15384.0,16167.0,15949.0,15449.0,16006.02,16135.36,16280.46,16468.426,16113.53
Annual,Total,Kilometre,European Union - 27 countries (from 2020),218600.0,215138.0,213950.3,211691.9,211615.9,211075.6,209714.6,207055.3,205901.1,204897.1,203206.44,201473.3,200922.0,205741.7,204418.5,202700.3,203398.27,203374.77,203430.07,203173.27,203951.67,203866.13,203637.0,203567.501,201701.365,201345.702,202327.442,202168.87,201366.058,202589.587,202251.183,202247.556,201922.675,200926.783
Annual,Total,Kilometre,Finland,5846.0,5853.0,5853.0,5864.0,5859.0,5859.0,5860.0,5865.0,5867.0,5836.0,5854.0,5850.0,5850.0,5851.0,5741.0,5732.0,5905.0,5899.0,5919.0,5919.0,5919.0,5944.0,5944.0,5944.0,5944.0,5923 b,5926.0,5926.0,5926.0,5923.0,5918.0,5918.0,5918.0,5915.0
Annual,Total,Kilometre,France,34491 i,34221 i,33787.100 i,32811.100 i,32507.100 i,32172.100 i,32084.100 i,32053.100 i,32002.100 i,31967.100 i,31629.100 i,31617.100 i,31552.100 i,31223 i,31113 i,31104 i,31116 i,31387 i,31274 i,31172 i,30568 i,30637 i,30814 i,30551 i,29568 i,29041 i,28597 i,28360.367,27834.0,28142.0,27872.0,27716 i,27604.0,27597.0
Annual,Total,Kilometre,Georgia,1586.0,1600.0,1583.0,1583.0,1583.0,1575.0,1575.0,1576.0,1576.0,1545.0,1562.0,1565.0,1565.0,:,:,:,:,:,:,:,:,:,1455.4,1615.4,1613.4,1179.9,1179.9,1179.86,1181.4,1181.4,1114.4,1114.4,1114.4,1114.4
Annual,Total,Kilometre,Croatia,2444.0,2698.0,2699.0,2699.0,2699.0,2726.0,2726.0,2726.0,2726.0,2726.0,2726.0,2726.0,2726.0,2726.0,2726.0,2726.0,2722.0,2722.0,2722.0,2722.0,2722.0,2722.0,2722.0,2722.0,2604.0,2604.0,2604.0,2604.0,2604.0,2617.0,2617.0,2617.0,2617.0,2617.0
Annual,Total,Kilometre,Hungary,7772.0,7766.0,7707.0,7709.0,7715.0,7632.0,7619.0,7593.0,7642.0,7651.0,7668.0,7679.0,7676.0,7681.0,7685.0,7685.0,8135.0,7808.0,7813.0,7390.0,7352.0,7486.5,7486.2,7356.7,7209.0,7197.0,7811.0,7955.0,7732.0,7743.0,7787.0,7889.0,7907.0,7437.0
Annual,Total,Kilometre,Ireland,1944.0,1944.0,1944.0,1947.0,1947.0,1945.0,1954.0,1908.0,1909.0,1919.0,1919.0,1919.0,1834.0,1834.0,1834.0,1834.0,1834.0,1834.0,1835.0,1835.0,1835.0,1839.0,1839.0,1839.0,1839.0,1839.0,1839.0,1839.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045 i
Annual,Total,Kilometre,Italy,16066.0,16066.0,15950.0,15939.0,16002.0,16005.0,16014.0,16030.0,16080.0,16092.0,15974.0,16035.0,15985.0,15965.0,15916.0,16225.0,16295.0,16335.0,16529.0,16686.0,16704.0,16726.0,16742.0,16752.0,16722 i,16724 i,16788.0,16787.0,16781.0,16779.0,16782.0,16832.0,16829.0,16832.0
Annual,Total,Kilometre,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Annual,Total,Kilometre,Lithuania,2007.0,2007.0,2001.8,2001.8,2001.8,2001.8,1996.8,1997.2,1997.0,1905.0,1904.7,1695.8,1775.3,1774.0,1781.8,1771.2,1771.2,1766.3,1765.4,1767.6,1767.6,1767.6,1767.6,1767.6,1767.6,1877.2,1911.3,1911.3,1910.7,1910.7,1910.8,1910.8,1919.2,1924.3
Annual,Total,Kilometre,Luxembourg,271.0,271.0,275.0,275.0,275.0,275.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0
Annual,Total,Kilometre,Latvia,2397.0,2397.0,2406.0,2413.0,2413.0,2413.0,2413.0,2413.0,2413.0,2413.0,2331.0,2305.0,2270.0,2270.0,2270.0,2270.0,2269.0,2265.0,2263.0,1884.0,1897.0,1865.0,1859.0,1859.0,1860.0,1860.0,1859.6,1859.6,1859.6,1859.6,1859.1,1859.1,1864.9,1830.9
Annual,Total,Kilometre,Moldova,1150.0,1150.0,1328.3,1318.3,1318.3,1326.3,1326.3,1322.3,1219.6,1140.3,1139.3,1121.2,1120.5,:,1075.0,:,:,:,:,1157.1,1156.9,1156.9,1156.9,1156.9,1155.8,1150.8,1150.8,1150.8,1149.6,1149.6,1149.6,1149.6,1150.8,1150.8
Annual,Total,Kilometre,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,248.760 i,248.760 i,248.760 i,249 i,249 i,250.0,250.0,250.0,250.0,250.5,250.5,250.5,250.5
Annual,Total,Kilometre,North Macedonia,696.0,:,697.0,697.0,697.0,697.0,697.0,699.0,699.0,699.0,699.0,699.0,699.0,:,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0
Annual,Total,Kilometre,Netherlands,2780.0,2780.0,2753.0,2811.0,2813.0,2813.0,2813.0,2805.0,2808.0,2808.0,2802.0,2809.0,2806.0,2811.0,2811.0,2810.0,2797.0,2801.0,2888.0,2896.0,3013.0,3013.0,3013.0,3013.0,3032.0,3031.0,3058.0,3055.0,3040.0,3040.0,3041.0,3041.0,3041.0,3041.0
Annual,Total,Kilometre,Norway,4044.0,4027.0,4027.0,4023.0,4023.0,4023.0,4021.0,4021.0,4021 i,4021 i,4179.0,4178.0,4077.0,4077.0,4077.0,4114.0,4114.0,4114.0,4114.0,3910.0,3958.0,3910.0,3891.0,3897.0,3906.0,3896.0,3895.0,3895.0,3887.0,3890.0,3885.0,3885.0,3907.0,3903.0
Annual,Total,Kilometre,Poland,26228.0,25848.0,25254.0,24926.0,24313.0,23986.0,23420.0,23424.0,23210.0,22891.0,22560.0,21119.0,21073.0,19900.0,20250.0,20253.0,20176.0,20107.0,20196.0,20360.0,20228.0,20228.0,20094.0,19328.0,19240.0,19231.0,19132.0,19209.0,19196.0,19359.0,19383.0,19287.0,19355.0,19539.0
Annual,Total,Kilometre,Portugal,3126.0,3117.0,3054.0,3062.0,3070.0,3065.0,3071.0,3038.0,2794.0,2814.0,2814.0,2813.7,2801.0,2818 i,2849 i,2839 i,2838 i,2838.4,2841.6,2841.6,2843.0,2793.9,2541.2,2544.4,2546.0,2546.0,2546.0,2545.96,2545.96,2526.15,2526.15,2527.053,2527.053,2527.053
Annual,Total,Kilometre,Romania,11348.0,11365.0,11430.0,11380.0,11374.0,11376.0,11385.0,11380.0,11010.0,10981.0,11015.0,11015.0,11002.0,11077.0,11053.0,10948.0,10789.0,10777.0,10785.0,10784.0,10785.0,10777.0,10777.0,10768.0,10777.0,10770.0,10774.0,10774.0,10765.0,10759.0,10769.0,10764.0,10615.0,10611.0
Annual,Total,Kilometre,Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3809.0,3809.0,3809.0,3809.0,3809.0,3819.0,3819.0,3819.0,3819.0,3766.0,3766.0,3764.0,3724.0,3763.0,3354.0,3369.0,3382.0,3382.0
Annual,Total,Kilometre,Sweden,11193.0,11050.0,10988.0,10888.0,10803.0,10925.0,10964.0,10941.0,10997.0,11044.0,11037.0,11021.0,11095.0,11037.0,11050.0,11017.0,11020.0,10972.0,11032.0,11149.0,11160.0,11206.0,11136.0,10957.0,10881.0,10908.0,10882.0,10874.0,10906.0,10899.0,10909.0,10912.0,10914.0,10906.0
Annual,Total,Kilometre,Slovenia,1196.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1228.6,1228.6,1228.7,1228.7,1228.1,1228.07,1228.07,1228.07,1228.07,1228.07,1209.13,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1208.0,1208.0
Annual,Total,Kilometre,Slovakia,3660.0,3661.0,3661.0,3661.0,3661.0,3665.0,3673.0,3673.0,3665.0,3665.0,3662.0,3662.0,3657.0,3657.0,3660.0,3658.0,3658.0,3629.0,3623.0,3623.0,3622.0,3624.0,3631.0,3631.0,3627.0,3626.0,3626.0,3626.0,3627.0,3629.0,3627.0,3626.0,3626.0,3631.0
Annual,Total,Kilometre,Türkiye,8429.0,8429.0,8430.0,8430.0,8452.0,8549.0,8607.0,8607.0,8607.0,8682.0,8671.0,8671.0,8671.0,8697.0,8697.0,8697.0,8697.0,8697.0,8699.0,9080.0,9594.0,9642.0,9642.0,9718.0,10087.0,10131.0,10131.0,10207.0,10315.0,10378.0,10378 i,10546 i,10651 i,11417.0
Annual,Total,Kilometre,Ukraine,22799.0,22542.0,22631.0,22625.0,22564.0,22607.0,22602.0,22546.0,22510.0,22473.0,22302.0,22219.0,:,:,:,:,:,:,:,:,:,:,21619.0,21605.0,20948.0,20954.0,20952.0,19770.0,19765.0,19799.0,19790.0,:,:,:
Annual,Total,Kilometre,United Kingdom,16924.0,16909.0,16843.0,16854.0,16873.0,16999.0,17001.0,16991.0,16994.0,16984.0,17008.0,16986 p,17020 p,16950 p,16458.0,15810.0,15795.0,15814 b,16160 i,16126 i,16223 i,16210 i,16195.0,16195.0,16202.0,16241.0,16253.0,16320.0,16289.0,16480.0,16519.0,16457.0,16430.0,16433.0
Annual,Total,Kilometre,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,246.35,246.35,246.35,246.35,246.35,246.35,:
