Time frequency,Sex,Professional position,Unit of measure,Sector of performance,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Researchers,Head count,Government sector,Luxembourg,786.0,788.0,767.0,678.0,:,682.0,:,756.0,:,777.0,:,:
Annual,Total,Researchers,Head count,Government sector,Latvia,964.0,944.0,904.0,947.0,907.0,896.0,898.0,847.0,1025.0,1035.0,1026.0,:
Annual,Total,Researchers,Head count,Government sector,Montenegro,:,508.0,491.0,573 d,355.0,469.0,473.0,534.0,:,:,:,:
Annual,Total,Researchers,Head count,Government sector,North Macedonia,453.0,:,:,418.0,495.0,408.0,351.0,336.0,396.0,:,336.0,:
Annual,Total,Researchers,Head count,Government sector,Malta,33.0,25.0,27.0,34.0,33.0,32.0,32.0,17.0,29.0,140.0,208.0,:
Annual,Total,Researchers,Head count,Government sector,Netherlands,11581 bd,7976 bd,7506 d,7893 d,7969 d,7860 d,8102 d,8641 d,8800 d,9266 d,8181 bd,:
Annual,Total,Researchers,Head count,Government sector,Norway,6216.0,6350.0,6233.0,6371.0,6350.0,6423.0,6444.0,6384.0,6503.0,6523.0,6509.0,:
Annual,Total,Researchers,Head count,Government sector,Poland,15628.0,15633.0,16050.0,15468.0,3973.0,5782.0,5102.0,4282.0,5387.0,5702.0,5415.0,:
Annual,Total,Researchers,Head count,Government sector,Portugal,4784.0,4101 b,4510.0,4620.0,4614.0,5327.0,5501.0,5839.0,5972.0,6562.0,6641.0,:
Annual,Total,Researchers,Head count,Government sector,Romania,6664.0,6859.0,6799.0,7032.0,7043.0,6856.0,7064.0,7267.0,7249.0,6910.0,7126.0,:
Annual,Total,Researchers,Head count,Government sector,Serbia,3083.0,3133.0,2920.0,3236.0,3011.0,3034.0,3112.0,3292.0,3401.0,3453.0,3490.0,3807.0
Annual,Total,Researchers,Head count,Government sector,Russia,136521 e,132204 e,132796 e,134794.0,:,130081.0,131366.0,113555.0,:,:,:,:
Annual,Total,Researchers,Head count,Government sector,Sweden,:,9527 be,:,12231 e,:,13380.0,:,11491 e,:,13028 b,:,:
Annual,Total,Researchers,Head count,Government sector,Slovenia,2169.0,2165.0,2077.0,1927.0,1958.0,2170.0,2281.0,2322.0,2319.0,2405.0,2817.0,:
Annual,Total,Researchers,Head count,Government sector,Slovakia,3683 d,3324 d,3975 d,3957.0,4422.0,4408.0,4628.0,4706.0,4900.0,5034.0,4941.0,:
Annual,Total,Researchers,Head count,Government sector,Türkiye,7359.0,7083.0,7251.0,7199.0,7483.0,7379.0,7549.0,6635.0,6970.0,7337.0,7249.0,:
Annual,Total,Researchers,Head count,Government sector,United Kingdom,8752.0,8714.0,8873.0,8391.0,8257.0,8427.0,8141.0,:,:,:,:,:
Annual,Total,Researchers,Head count,Government sector,United States,:,:,:,:,:,:,:,:,57477 de,58360 de,:,:
Annual,Total,Researchers,Head count,Higher education sector,Austria,:,33781.0,:,36699.0,:,37333.0,:,41021.0,:,41791.0,:,:
Annual,Total,Researchers,Head count,Higher education sector,Bosnia and Herzegovina,609.0,986.0,1684.0,:,:,:,:,1871.0,1659.0,1624.0,:,:
Annual,Total,Researchers,Head count,Higher education sector,Belgium,31437.0,32077.0,34977.0,31909.0,32526.0,32472.0,34908.0,34623.0,35249.0,36725.0,:,:
Annual,Total,Researchers,Head count,Higher education sector,Bulgaria,7170.0,7278.0,8505.0,7902.0,8814.0,7924.0,8464.0,8168.0,8322.0,8509.0,8532.0,:
Annual,Total,Researchers,Head count,Higher education sector,Switzerland,41395.0,:,:,45932.0,:,47464 d,:,50583 d,:,53295 d,53889 d,:
Annual,Total,Researchers,Head count,Higher education sector,China except Hong Kong,553645.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Total,Researchers,Head count,Higher education sector,Cyprus,1263.0,1586.0,1527.0,1520.0,1515.0,1582.0,1676.0,1791.0,1823.0,1856.0,:,:
Annual,Total,Researchers,Head count,Higher education sector,Czechia,21134.0,22957.0,23279.0,23963.0,23442.0,25010.0,25687.0,26766.0,27325.0,27851.0,28214.0,28092 p
Annual,Total,Researchers,Head count,Higher education sector,Germany,251940.0,261657.0,265911.0,270343.0,271953 b,279167.0,285378.0,288837.0,295712.0,301833 d,:,:
Annual,Total,Researchers,Head count,Higher education sector,Denmark,25882.0,27080.0,27431.0,28000.0,26237.0,25838.0,27489.0,27513 p,27665 p,:,:,:
Annual,Total,Researchers,Head count,Higher education sector,Euro area - 19 countries  (2015-2022),822738 e,842160 e,850612 e,860440 e,855070 e,874803 e,894150 e,914156 e,932352 e,958674 e,:,:
Annual,Total,Researchers,Head count,Higher education sector,Euro area – 20 countries (from 2023),829887 e,849297 e,857578 e,867759 e,863477 e,883858 e,903240 e,924254 e,942655 e,969485 e,:,:
Annual,Total,Researchers,Head count,Higher education sector,Estonia,4742.0,4792.0,4811.0,4610.0,4319.0,4389.0,4498.0,4461.0,4860.0,5066.0,5494.0,:
Annual,Total,Researchers,Head count,Higher education sector,Greece,:,38724.0,:,37463.0,:,29445.0,:,33144.0,36525.0,37875.0,41491.0,:
Annual,Total,Researchers,Head count,Higher education sector,Spain,123245.0,117925.0,119290.0,121161.0,121905.0,125714.0,128594.0,132551.0,133460.0,137380.0,140571.0,:
Annual,Total,Researchers,Head count,Higher education sector,European Union - 27 countries (from 2020),1024195 e,1049337 e,1064726 e,1072893 e,1074193 e,1120135 e,1147689 e,1172367 e,1187053 e,1221013 e,:,:
Annual,Total,Researchers,Head count,Higher education sector,Finland,23173.0,22404.0,22274.0,22173.0,21713.0,22433.0,23104.0,24152.0,24371.0,25392 d,27007 d,:
Annual,Total,Researchers,Head count,Higher education sector,France,111036.0,113058.0,113217.0,:,123449.0,123893 p,124805 p,:,133513.0,137688.0,139109.0,:
Annual,Total,Researchers,Head count,Higher education sector,Croatia,7149.0,7137.0,6966.0,7319.0,8407.0,9055.0,9090.0,10098.0,10303.0,10811.0,10533.0,:
Annual,Total,Researchers,Head count,Higher education sector,Hungary,16551.0,16023.0,15925.0,15643.0,16039.0,17324.0,23288 b,24612.0,24945.0,25832.0,29899.0,:
Annual,Total,Researchers,Head count,Higher education sector,Ireland,17337.0,17818.0,18299.0,15865.0,13431.0,18439.0,:,18873.0,:,18804 e,:,:
Annual,Total,Researchers,Head count,Higher education sector,Iceland,:,1910 b,:,:,:,2195.0,2169.0,:,:,2537.0,2499 u,:
Annual,Total,Researchers,Head count,Higher education sector,Italy,76654.0,77737.0,79220.0,76403 e,77805 e,77637 e,77699 e,80260 e,80481 e,83067 e,86249 e,:
Annual,Total,Researchers,Head count,Higher education sector,Japan,315244 d,317658 d,321571 d,322100 d,326233 d,329355 d,331427 d,334642 d,336849 d,341131 d,342478 d,:
Annual,Total,Researchers,Head count,Higher education sector,South Korea,96916.0,97319.0,99317.0,99870.0,103166.0,102877.0,108529.0,110619.0,115924.0,114635.0,114854.0,:
Annual,Total,Researchers,Head count,Higher education sector,Lithuania,13939.0,13936.0,13532.0,12600.0,12267.0,11988.0,12036.0,11495.0,12090.0,11777.0,11520.0,:
Annual,Total,Researchers,Head count,Higher education sector,Luxembourg,708.0,828.0,1227.0,1290.0,:,1353.0,:,1469.0,:,1768.0,:,:
Annual,Total,Researchers,Head count,Higher education sector,Latvia,5893.0,5387.0,5539.0,5672.0,5395.0,5463.0,5334.0,5564.0,5893.0,6295.0,6071.0,:
Annual,Total,Researchers,Head count,Higher education sector,Montenegro,:,950.0,1069.0,1001 d,1006.0,911.0,886.0,858.0,:,:,:,:
Annual,Total,Researchers,Head count,Higher education sector,North Macedonia,1658.0,:,:,2965.0,2765.0,2465.0,2581.0,2466.0,2444.0,:,2037.0,:
Annual,Total,Researchers,Head count,Higher education sector,Malta,756.0,806.0,849.0,863.0,853.0,923.0,945.0,1017.0,1060.0,1153.0,1222.0,:
Annual,Total,Researchers,Head count,Higher education sector,Netherlands,24403.0,24590 b,25396.0,25810.0,25563.0,26100.0,26357.0,27766.0,29433.0,31082.0,31155.0,:
Annual,Total,Researchers,Head count,Higher education sector,Norway,21901.0,22588.0,23404.0,24604.0,25538.0,27093.0,27843.0,28821.0,29323.0,30715.0,31117.0,:
Annual,Total,Researchers,Head count,Higher education sector,Poland,68923.0,69027.0,70771.0,70658.0,79010.0,111163.0,112754.0,110004.0,104040.0,105998.0,106370.0,:
Annual,Total,Researchers,Head count,Higher education sector,Portugal,48007.0,52827 b,51924.0,52325.0,54248.0,54307.0,57532.0,57416.0,55476.0,56287.0,56924.0,:
Annual,Total,Researchers,Head count,Higher education sector,Romania,15569.0,14884.0,14743.0,15057.0,15083.0,15523.0,15111.0,14867.0,15069.0,15221.0,15807.0,:
Annual,Total,Researchers,Head count,Higher education sector,Serbia,9879.0,11015.0,10769.0,11630.0,11502.0,11536.0,11833.0,11621.0,11695.0,11746.0,12037.0,12382.0
Annual,Total,Researchers,Head count,Higher education sector,Russia,43024 e,42605 e,44342 e,45967.0,:,42113.0,44489.0,48429.0,:,:,:,:
Annual,Total,Researchers,Head count,Higher education sector,Sweden,:,42894.0,:,43911.0,:,33495.0,:,36183.0,:,38747 b,:,:
Annual,Total,Researchers,Head count,Higher education sector,Slovenia,4695.0,4310.0,4376.0,4186.0,3776.0,4374.0,4737.0,4658.0,4709.0,4823.0,5044.0,:
Annual,Total,Researchers,Head count,Higher education sector,Slovakia,18011.0,17917.0,17668.0,16565.0,17862.0,17790.0,18676.0,18340.0,17856.0,18012.0,17920.0,:
Annual,Total,Researchers,Head count,Higher education sector,Türkiye,108478.0,113409.0,126046.0,117252.0,122175.0,125828.0,124442.0,133324.0,140158.0,144935.0,155398.0,:
Annual,Total,Researchers,Head count,Higher education sector,United Kingdom,315230 e,330382.0,342696 e,347038 e,355637 e,351971 e,356455 e,:,:,:,:,:
Annual,Total,Researchers,Head count,Higher education sector,United States,:,:,:,:,:,:,:,:,347663.0,358098.0,:,:
Annual,Total,Researchers,Head count,Private non-profit sector,Austria,:,552.0,:,621.0,:,644.0,:,834.0,:,830.0,:,:
Annual,Total,Researchers,Head count,Private non-profit sector,Bosnia and Herzegovina,3.0,0.0,4.0,:,:,:,:,0.0,0.0,0.0,:,:
Annual,Total,Researchers,Head count,Private non-profit sector,Belgium,207 b,212.0,258.0,352.0,556.0,590.0,1229.0,1284.0,770.0,790.0,:,:
Annual,Total,Researchers,Head count,Private non-profit sector,Bulgaria,176.0,217.0,145.0,147.0,46.0,169.0,135.0,157.0,174.0,161.0,139.0,:
Annual,Total,Researchers,Head count,Private non-profit sector,Cyprus,121.0,115.0,138.0,132.0,118.0,145.0,151.0,196.0,239.0,233.0,:,:
Annual,Total,Researchers,Head count,Private non-profit sector,Czechia,206.0,202.0,232.0,199.0,190.0,232.0,197.0,240.0,266.0,270.0,334.0,403 bp
Annual,Total,Researchers,Head count,Private non-profit sector,Denmark,268.0,255.0,261.0,259.0,278.0,235.0,211.0,285 p,287 p,:,:,:
Annual,Total,Researchers,Head count,Private non-profit sector,Euro area - 19 countries  (2015-2022),19706 e,13581 e,14374 e,:,16091 e,15629 e,16801 e,:,18990 e,20097 e,22121 e,:
Annual,Total,Researchers,Head count,Private non-profit sector,Euro area – 20 countries (from 2023),19706 e,13581 e,14374 e,:,16091 e,15629 e,16801 e,:,18990 e,20150 e,22192 e,:
Annual,Total,Researchers,Head count,Private non-profit sector,Estonia,127.0,108.0,111.0,121.0,121.0,113.0,120.0,110.0,109.0,142.0,120.0,:
Annual,Total,Researchers,Head count,Private non-profit sector,Greece,:,449.0,:,408.0,:,513.0,:,469.0,441.0,426.0,558.0,:
Annual,Total,Researchers,Head count,Private non-profit sector,Spain,503.0,464.0,466.0,485.0,618.0,554.0,487.0,452.0,482.0,597.0,1465.0,:
Annual,Total,Researchers,Head count,Private non-profit sector,European Union - 27 countries (from 2020),21039 e,14981 e,15840 e,15899 e,17895 e,18133 e,19478 e,21195 e,21492 e,22559 e,24979 e,:
Annual,Total,Researchers,Head count,Private non-profit sector,Finland,629.0,607.0,695.0,690.0,686.0,679.0,727.0,710.0,712.0,688 d,644 d,:
Annual,Total,Researchers,Head count,Private non-profit sector,France,4177.0,4400.0,4578.0,:,5488.0,5503 p,5905 p,:,6471.0,6911.0,7338.0,:
Annual,Total,Researchers,Head count,Private non-profit sector,Croatia,:,:,:,:,:,:,:,:,:,53.0,71.0,:
Annual,Total,Researchers,Head count,Private non-profit sector,Iceland,:,:,:,:,:,0.0,0 u,:,:,:,:,:
