Time frequency,Unit of measure,Activity and employment status,Medical speciality,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Per hundred thousand inhabitants,Practising,Physicians,Poland,224.09,230.68,232.81,241.58,237.75,235.77,330.17 b,336.03,351.24,356.92
Annual,Per hundred thousand inhabitants,Practising,Physicians,Romania,264.36,269.83,276.58,284.1,292.66,304.68,318.67 b,332.86,350.88,364.79
Annual,Per hundred thousand inhabitants,Practising,Physicians,Serbia,:,:,:,295.44 d,295.88 d,298.23 d,:,287.82 bd,302.93 d,313.25 d
Annual,Per hundred thousand inhabitants,Practising,Physicians,Sweden,404.32,410.88,417.4,423.3,426.94,432.21,428.79,432.21,440.83,:
Annual,Per hundred thousand inhabitants,Practising,Physicians,Slovenia,262.92,277.02,282.53,301.4,310.11,317.81,326.19,330.29,334.38,337.2
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Austria,40.46 d,41.02 d,41.90 d,42.34 d,44.39 d,44.00 d,150.88 be,163.53 e,171.35 e,176.78 e
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Belgium,172.06,185.96,191.2,189.4,202.2,198.23 b,204.31,209.48,215.93,220.52
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Bulgaria,21.58,22.09,22.46,23.08,22.95,23.47,24.17,23.82,24.47,26.75
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Cyprus,9.86,63.93 b,69.37,75.51,77.95,84.59,93.43,105.83,118.29,126.66
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Czechia,77.35,78.78 e,81.36,83.19,85.66,86.56,86.9,89.14,93.86,95.07
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Germany,208.32,216.1,220.35,223.44,227.45,229.18,232.27,234.49,234.39,235.09
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Denmark,159.88,166.88,171.43,173.45,168.38,171.9,176.05,179.63,184.8,:
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Estonia,28.53 b,30.87,33.37,34.2,36.06,37.52,40.62,42.05,42.98,44.26
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Greece,60.45,62.43,66.66,70.26,74.83,79.25,82.72,86.35,91.29,96.55
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Spain,85.66 d,91.41 d,97.01 d,103.63 d,109.74 d,115.94 d,121.24 d,126.23 d,132.22 d,138.57 d
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Finland,147.22,149.21,148.41,149.91,151.94,153.2,153.22,151.57,158.22,:
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,France,122.58,126.1,129.92,126.56 b,133.07,132.77,135.77,140.37,143.33,147.75
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Croatia,63.35,71.15,72.91,74.96,79.82,83.6,85.65,79.93,92.5,92.36
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Hungary,32.31,33.74,33.62,34.67,51.01 b,54.33,56.91,59.57,63.52,67.36
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Ireland,53.74,54.98,57.66,60.77,64.53,97.06 b,103.46,93.27,105.76,108.6
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Iceland,159.07,162.19,165.65,167.24,173.85,172.66,177.5,177.37,174.22,162.3
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Italy,93.88,99.77,98.08,100.67,101.26,102.88,110.17,119.04,109.47 b,109.16
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Liechtenstein,254.17,260.42,264.04,254.53,260.79,251.01,248.95,249.35,237.36,240.55
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Lithuania,41.05,42.66,46.68,50.69,53.42,56.97,57.76,63.65,69.62,74.8
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Luxembourg,185.88,192.87,195.4,198.13,200.89,:,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Latvia,29.81,31.05,34.34,36.39,38.1,41.56,44.99,48.46,52.0,52.73
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Montenegro,:,15.44 d,15.43 d,17.35 d,17.83 d,18.80 d,19.61 d,23.34 d,24.22 d,26.25 d
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,North Macedonia,14.97,15.19,16.42,16.41,16.87,19.51,21.57,20.7,23.09,:
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Malta,88.74,93.43,98.19,101.24,105.77,107.92,107.53,114.3,112.62,120.79
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Netherlands,216.1,181.74 b,186.75,191.6,195.58,199.83,191.43 b,194.59,198.54,198.06
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Norway,228.8,231.25,163.45 b,166.55,167.96,170.18,170.83,169.98,171.53,169.67
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Poland,60.79,64.7,66.19,68.48,69.77,73.17,77.34,83.91,90.45,95.56
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Portugal,12.51,12.13,12.86,13.28,13.91,14.16,:,:,:,:
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Romania,4.63,5.48,6.46,7.28,8.16,9.76,11.28,11.8,12.68,14.23
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Serbia,37.14 d,37.68 d,38.56 d,38.25 bd,39.31 d,40.27 d,:,40.77 bd,42.23 d,44.16 d
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Sweden,130.88,133.04,134.37,135.05,135.65,135.06,133.41,133.32,132.99,:
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Slovenia,52.38,54.9,56.36,61.5,64.36,67.75,71.59,73.96,76.7,78.93
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Slovakia,31.88,33.55,35.05,35.08,33.7,35.89,37.37,37.24,39.25,40.96
Annual,Per hundred thousand inhabitants,Practising,Physiotherapists,Türkiye,3.91,4.13,4.56,4.89,5.45,6.52 b,7.07,7.9,9.04,9.78
