Time frequency,Income and living conditions indicator,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Slovenia,36.7,32.8,33.0,35.4,35.8,37.1,40.0,38.0,39.7,35.7,38.3,39.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Slovakia,19.3,15.5,15.7,15.0,15.5,18.2,17.2,21.1,23.8,24.9,24.8,27.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,Türkiye,15.9,13.9,15.0,14.2,15.1,14.7,14.1,13.4,15.6,11.7,10.8,11.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Single person,United Kingdom,23.5 b,25.8,26.9,23.6,25.5,24.7 b,26.7,:,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Albania,:,:,:,:,:,18.8,14.5,13.5,14.0,13.6,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Austria,11.8,11.2,10.6,11.0,10.2,9.6,10.7,11.8,8.8,9.0,9.3,6.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Belgium,9.5,8.7,8.1,8.6,9.9,9.1,9.4,7.0 b,5.7,5.1,5.7,5.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Bulgaria,13.9,13.8,13.2,15.1,16.0 b,12.6,13.3,13.5,9.5,10.6,10.2,11.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Switzerland,6.3,5.7,4.3 b,6.7,6.5,7.8,7.0,8.0,6.5,6.9,7.1,8.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Cyprus,12.6,15.8,16.5,17.4,16.6,15.1,15.6,14.3,15.4,12.3,10.5,11.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Czechia,7.1,6.2,7.6,7.4,7.1,6.5,5.8,6.2,5.5,4.3,4.3,3.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Germany,10.5,12.4,11.6,13.2,11.7,11.2,11.4,10.7,8.6 b,8.7,8.2,7.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Denmark,7.2,7.4,6.7,8.7,9.9,13.5,12.4,13.2,11.6 b,10.5,8.5,9.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Euro area - 19 countries  (2015-2022),11.0,11.6,11.8,12.5,12.6,11.1,11.4,11.1,10.0 b,9.8,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Euro area – 20 countries (from 2023),:,:,11.8,12.5,12.6,11.2,11.5,11.2,10.0,9.9,10.1,9.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Estonia,15.7,14.0,16.1 b,12.0,12.4,11.5,11.4,12.1,9.2,8.3,9.6,10.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Greece,14.6,14.9,18.4,17.8,20.1,18.0,15.7,15.1,14.1,16.0,15.1,13.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Spain,15.9,14.6,16.5,16.8,18.4,16.5,17.8,15.1,14.7,15.2,14.4,12.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,European Union - 27 countries (2007-2013),11.1,11.2,11.5,12.1,12.3,11.2,11.2,11.0 e,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,European Union - 27 countries (from 2020),11.1 e,11.5 e,11.8 e,12.5 e,12.6 e,11.4 e,11.6 e,11.3 e,10.3 b,10.2,10.0,9.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,European Union - 28 countries (2013-2020),11.1,11.3,11.5,12.1,12.4,11.3,11.2,11.0 e,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Finland,7.2,6.8,8.3,9.2,9.0,7.7,6.8,6.5,7.4,4.9,6.6,7.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,France,8.8,8.6,7.7,7.9,8.8,6.3,7.3,7.6,7.2 b,7.4,7.3 b,7.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Croatia,21.2,22.2,19.2,20.5,18.6,19.8,18.5,17.3,17.4,18.8,15.3,15.2 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Hungary,10.1,12.0,11.9,12.7,13.3,14.8,12.6,10.5,13.2,10.9,14.2,10.0
