Time frequency,Age class,Sex,Demographic indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,65 years or over,Females,Population on 1 January - total,Israel,391300 d,397310 d,401680 d,404910 d,413780 d,420710 d,431480 d,448660 d,468400 d,485380 d,503400 d,523930 d,544737 d,565943 d,586351 d
Annual,65 years or over,Females,Population on 1 January - total,Jordan,104750 d,107840 d,110950 d,114420 d,117890 d,121740 d,125620 d,127450 d,135350 d,147870 d,160450 d,174320 d,178660 d,183315 d,:
Annual,65 years or over,Females,Population on 1 January - total,Lebanon,:,:,179984 de,:,140088 de,:,:,210317 d,:,:,:,:,:,:,:
Annual,65 years or over,Females,Population on 1 January - total,Morocco,866846.0,893700.0,920432.0,947044.0,973534.0,999901.0,1026149.0,1052275.0,1078279.0,1062790.0,1094444.0,1139419.0,1194286.0,1253914.0,1314504.0
Annual,65 years or over,Females,Population on 1 January - total,Palestine*,:,:,61406.0,67195.0,68940.0,70682.0,72424.0,74171.0,75915.0,77657.0,79401.0,81145.0,82890.0,84897.0,87116.0
Annual,65 years or over,Females,Population on 1 January - total,Tunisia,339959 d,346246 d,355196 d,362054 d,370394 d,371499 d,382334 d,392417 d,420436 d,424920 di,451004 de,477708 de,497356 de,517987 de,:
Annual,65 years or over,Males,Population on 1 January - total,Algeria,807553.0,832276.0,856693.0,910862.0,937117.0,949498.0,974408.0,1000454.0,1037861.0,1077634.0,1177382.0,1177432.0,1234444.0,:,:
Annual,65 years or over,Males,Population on 1 January - total,Egypt,1346616.0,1040251 p,1476693.0,1452956.0,1522424.0,1596243.0,1671828.0,1752114.0,1843227.0,1821013.0,1867188.0,1911398.0,1473660 p,1979956.0,2016144.0
Annual,65 years or over,Males,Population on 1 January - total,Israel,290480 d,295820 d,300370 d,303250 d,312940 d,320280 d,330740 d,346800 d,364530 d,380200 d,396660 d,415010 d,433649 d,451922 d,469964 d
Annual,65 years or over,Males,Population on 1 January - total,Jordan,101750 d,104610 d,107770 d,110870 d,114290 d,117710 d,121510 d,130570 d,138680 d,151510 d,164380 d,178370 d,182840 d,187597 d,:
Annual,65 years or over,Males,Population on 1 January - total,Lebanon,:,:,182456 de,:,154955 de,:,:,211835 d,:,:,:,:,:,:,:
Annual,65 years or over,Males,Population on 1 January - total,Morocco,809238.0,828241.0,847122.0,865882.0,884521.0,903038.0,921436.0,939712.0,957866.0,984127.0,1010748.0,1051507.0,1102949.0,1160157.0,1219448.0
Annual,65 years or over,Males,Population on 1 January - total,Palestine*,:,:,53990.0,50706.0,52609.0,54510.0,56411.0,58316.0,60221.0,62121.0,64022.0,65925.0,67828.0,70402.0,73440.0
Annual,65 years or over,Males,Population on 1 January - total,Tunisia,349846 d,353374 d,356126 d,358087 d,361257 d,366393 d,367838 d,369046 d,382684 d,386749 di,424017 de,445148 de,462323 de,480658 de,:
Annual,65 years or over,Total,Population on 1 January - total,Algeria,1672736.0,1728651.0,1784187.0,1837915.0,1894633.0,1919664.0,1974383.0,2031959.0,2113138.0,2194796.0,2392226.0,2392530.0,2505766.0,:,:
Annual,65 years or over,Total,Population on 1 January - total,Egypt,2600236.0,1977883 p,2958861.0,2894435.0,3043015.0,3202221.0,3366874.0,3544687.0,3743755.0,3686435.0,3781705.0,3872867.0,2736151 p,3719224.0,3789039.0
Annual,65 years or over,Total,Population on 1 January - total,Israel,681770 d,693120 d,702050 d,708160 d,726690 d,740990 d,762230 d,795440 d,832930 d,865580 d,900070 d,938940 d,978386 d,1017865 d,1056316 d
