Annual,Number,Málaga - Marbella,12.0,10.0,75.0,15.0,57.0,29.0,42.0,68.0,98.0,98.0,49.0,47.0,34.0,29 p
Annual,Number,Murcia - Cartagena,138.0,91.0,78.0,102.0,59.0,56.0,79.0,78.0,106.0,96.0,55.0,205.0,243.0,110 p
Annual,Number,Las Palmas,1.0,:,2.0,5.0,12.0,24.0,42.0,:,:,7.0,3.0,:,37.0,6 p
Annual,Number,Valladolid,11.0,9.0,12.0,6.0,8.0,58.0,5.0,43.0,13.0,5.0,5.0,23.0,2.0,13 p
Annual,Number,Palma de Mallorca,17.0,43.0,28.0,27.0,16.0,134.0,246.0,139.0,105.0,85.0,100.0,112.0,102.0,105 p
Annual,Number,Vitoria/Gasteiz,66.0,108.0,85.0,143.0,35.0,28.0,53.0,11.0,32.0,30.0,24.0,27.0,13.0,52 p
Annual,Number,Oviedo - Gijón,31.0,16.0,10.0,23.0,29.0,30.0,13.0,13.0,17.0,11.0,15.0,29.0,13.0,18 p
Annual,Number,Pamplona/Iruña,15.0,23.0,35.0,97.0,36.0,68.0,19.0,13.0,34.0,25.0,23.0,24.0,17.0,20 p
Annual,Number,Santander,1.0,11.0,15.0,35.0,48.0,3.0,20.0,7.0,21.0,20.0,4.0,:,10.0,7 p
Annual,Number,Bilbao,54.0,72.0,100.0,57.0,35.0,68.0,22.0,67.0,32.0,106.0,85.0,41.0,43.0,46 p
Annual,Number,Alicante/Alacant - Elche/Elx,384.0,531.0,785.0,895.0,881.0,889.0,483.0,508.0,540.0,565.0,690.0,547.0,554.0,435 p
Annual,Number,Vigo,3.0,28.0,19.0,10.0,25.0,10.0,11.0,14.0,54.0,72.0,62.0,77.0,36.0,28 p
Annual,Number,Santa Cruz de Tenerife,2.0,10.0,15.0,97.0,9.0,22.0,1.0,:,2.0,4.0,19.0,5.0,9.0,10 p
Annual,Number,A Coruña,3.0,29.0,4.0,11.0,3.0,86.0,34.0,71.0,37.0,48.0,9.0,14.0,28.0,18 p
Annual,Number,Granada,:,3.0,9.0,46.0,6.0,7.0,12.0,15.0,9.0,10.0,14.0,22.0,41.0,2 p
Annual,Number,Helsinki,206.0,395.0,331.0,330.0,436.0,542.0,470.0,418.0,354.0,442.0,565.0,486.0,419.0,298 p
Annual,Number,Tampere,10.0,30.0,22.0,60.0,41.0,27.0,59.0,26.0,75.0,116.0,50.0,83.0,96.0,40 p
