Time frequency,Income and living conditions indicator,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Estonia,11.6,8.6,11.0 b,11.5,11.4,13.5,12.0,13.8,11.5,10.9,12.5,12.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Greece,14.0,11.7,13.5,13.2,14.9,13.8,12.9,11.6,11.6,12.5,11.7,12.3
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Spain,12.9,12.6,14.2,16.3,15.3,14.1,12.7,14.7,18.0,13.0,11.8,11.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,European Union - 27 countries (2007-2013),9.7,9.6,9.9,10.4,10.4,10.3 e,10.2,10.3 e,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,European Union - 27 countries (from 2020),9.9 e,10.0 e,10.5 e,11.1 e,10.6 e,10.8 e,10.6 e,10.7 e,10.3,10.0 e,9.9 e,8.6 e
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,European Union - 28 countries (2013-2020),9.7 e,9.6,9.9,10.4,10.4,10.3 e,10.2,10.4 e,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Finland,6.6,6.5,6.6,7.6,5.5,5.9,4.5,6.6,8.0,6.7,7.8 b,8.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,France,6.3,8.3,7.5,7.8,6.9,7.8,7.5,8.0,8.2,7.9,8.6,6.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Croatia,:,13.1,14.5,14.9,14.8,14.6,13.8,13.4,12.0,10.9,10.7 b,17.7
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Hungary,7.7,7.9,9.1,7.7,8.9,6.7,5.5,4.7,3.6,4.8,4.4,3.3
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Ireland,11.7,8.8,11.1,11.0,10.7,9.9,9.5,8.1,8.8 b,5.3,5.8,4.4
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Iceland,2.4,1.7,2.8,2.9,1.6,1.9,3.5,2.8,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Italy,11.4,11.7,12.0,12.7,13.2,13.4,13.8,13.4,11.8,12.1,11.9,13.2
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Lithuania,12.5,9.9,15.5,12.5,11.5,14.0,11.6,17.9,14.2,12.8,12.4,9.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Luxembourg,6.4,8.5,7.2,11.3,9.8 b,8.3,6.2,7.1,7.1 b,8.4 b,6.9 b,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Latvia,13.4 b,12.7,10.1,8.6,13.4,12.8,12.5,13.2,10.0,12.3,13.0,8.4
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Montenegro,:,:,:,:,15.9,15.6,14.8,14.5,14.5,14.1,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,North Macedonia,:,:,17.8,12.1,11.7,14.9,19.3,15.6,15.0,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Malta,10.0,7.2,10.4,13.6,10.3,11.1,9.6,11.9,9.4,12.1,11.5,13.2
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Netherlands,4.8,6.3,6.6,6.8,6.9 b,6.0,8.4,10.3,9.3,8.7,8.9,8.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Norway,5.2,5.9,4.5,8.1,2.9,4.2,3.4,8.5,5.1,7.6 b,5.5,4.3 b
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Poland,10.4,9.1,10.8,10.0,9.7,9.7,10.6,8.8,7.4,8.6,8.5,9.3
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Portugal,10.9,12.1,12.0,14.0,11.2,13.6,11.9,12.4,9.5,8.7,7.0,8.7
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Romania,18.4,16.8,19.3,19.5,20.2,18.5,19.7,17.0,15.9,16.2,15.1,13.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Serbia,:,:,:,:,18.0,18.0,20.4,15.3,14.1,16.0,11.8,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Sweden,6.1 b,6.9,5.2,5.8 b,6.3,6.7,5.2,7.5,4.2,8.3,9.2,9.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Slovenia,4.9,5.7,8.5,7.0,7.5,6.2,6.2,6.0,6.4,5.3,4.8,5.9
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Slovakia,8.5,6.7,10.3,7.2,7.4,:,:,7.2,6.1,4.6,7.7,6.4
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,Türkiye,:,:,15.2,15.6,14.3,14.5,12.9,13.5,13.9,14.6,13.6,12.0
