Time frequency,Unit of measure,Rail network Segment (2015),Train category\Time,2015.0
Annual,Number,O¿tarije - Karlovac,Passenger trains,5462.0
Annual,Number,Ogulin - O¿tarije,Goods trains,2994.0
Annual,Number,Ogulin - O¿tarije,Passenger trains,3926.0
Annual,Number,Moravice - Ogulin,Goods trains,2274.0
Annual,Number,Moravice - Ogulin,Passenger trains,3091.0
Annual,Number,Lokve - Moravice,Goods trains,2256.0
Annual,Number,Lokve - Moravice,Passenger trains,2318.0
Annual,Number,¿krljevo - Lokve,Goods trains,4398.0
Annual,Number,¿krljevo - Lokve,Passenger trains,2322.0
Annual,Number,Su¿ak Pecine - ¿krljevo,Goods trains,2137.0
Annual,Number,Su¿ak Pecine - ¿krljevo,Passenger trains,2322.0
Annual,Number,Rijeka - Su¿ak Pecine,Goods trains,1262.0
Annual,Number,Rijeka - Su¿ak Pecine,Passenger trains,2321.0
Annual,Number,Beli Manastir - Beli Manastir DG,Goods trains,166.0
Annual,Number,Beli Manastir - Beli Manastir DG,Passenger trains,520.0
Annual,Number,Osijek - Beli Manastir,Goods trains,383.0
Annual,Number,Osijek - Beli Manastir,Passenger trains,2797.0
Annual,Number,Strizivojna Vrpolje - Osijek,Goods trains,31.0
Annual,Number,Strizivojna Vrpolje - Osijek,Passenger trains,2263.0
Annual,Number,Slavonski ¿amac - Strizivojna Vrpolje,Goods trains,185.0
Annual,Number,Slavonski ¿amac - Strizivojna Vrpolje,Passenger trains,2.0
Annual,Number,Slavonski ¿amac DG - Slavonski ¿amac,Goods trains,190.0
Annual,Number,Slavonski ¿amac DG - Slavonski ¿amac,Passenger trains,0.0
Annual,Number,Metkovic - Metkovic DG,Goods trains,1554.0
Annual,Number,Metkovic - Metkovic DG,Passenger trains,2.0
Annual,Number,Ploce - Metkovic,Goods trains,1553.0
Annual,Number,Ploce - Metkovic,Passenger trains,1.0
Annual,Number,Krpelj - O¿tarije,Goods trains,0.0
Annual,Number,Krpelj - O¿tarije,Passenger trains,724.0
Annual,Number,Vrhovine - Krpelj,Goods trains,1010.0
Annual,Number,Vrhovine - Krpelj,Passenger trains,1632.0
Annual,Number,Gracac - Vrhovine,Goods trains,973.0
Annual,Number,Gracac - Vrhovine,Passenger trains,966.0
Annual,Number,Knin - Gracac,Goods trains,961.0
Annual,Number,Knin - Gracac,Passenger trains,966.0
Annual,Number,Perkovic - Knin,Goods trains,1014.0
Annual,Number,Perkovic - Knin,Passenger trains,2406.0
Annual,Number,Solin - Perkovic,Goods trains,612.0
Annual,Number,Solin - Perkovic,Passenger trains,4346.0
Annual,Number,Split Predgrade - Solin,Goods trains,101.0
Annual,Number,Split Predgrade - Solin,Passenger trains,4974.0
Annual,Number,Krpelj - Ogulin,Goods trains,1023.0
Annual,Number,Krpelj - Ogulin,Passenger trains,1196.0
Annual,Number,Bibinje - Knin,Goods trains,77.0
Annual,Number,Bibinje - Knin,Passenger trains,0.0
Annual,Number,Zadar - Bibinje,Goods trains,19.0
Annual,Number,Zadar - Bibinje,Passenger trains,0.0
Annual,Number,Ra¿ine - Perkovic,Goods trains,487.0
Annual,Number,Ra¿ine - Perkovic,Passenger trains,2282.0
Annual,Number,¿ibenik - Ra¿ine,Goods trains,12.0
Annual,Number,¿ibenik - Ra¿ine,Passenger trains,2283.0
Annual,Number,Split - Split Predgrade,Goods trains,0.0
Annual,Number,Split - Split Predgrade,Passenger trains,5297.0
Annual,Number,Koprivnica - Vara¿din,Goods trains,219.0
Annual,Number,Koprivnica - Vara¿din,Passenger trains,3403.0
Annual,Number,Klo¿tar - Koprivnica,Goods trains,303.0
Annual,Number,Klo¿tar - Koprivnica,Passenger trains,2940.0
Annual,Number,Virovitica - Klo¿tar,Goods trains,357.0
Annual,Number,Virovitica - Klo¿tar,Passenger trains,3685.0
Annual,Number,Pcelic - Virovitica,Goods trains,361.0
Annual,Number,Pcelic - Virovitica,Passenger trains,2623.0
Annual,Number,Na¿ice - Pcelic,Goods trains,312.0
Annual,Number,Na¿ice - Pcelic,Passenger trains,2625.0
Annual,Number,Bizovac - Na¿ice,Goods trains,300.0
Annual,Number,Bizovac - Na¿ice,Passenger trains,3539.0
Annual,Number,Osijek - Bizovac,Goods trains,319.0
Annual,Number,Osijek - Bizovac,Passenger trains,3541.0
Annual,Number,Dalj - Osijek,Goods trains,73.0
Annual,Number,Dalj - Osijek,Passenger trains,930.0
Annual,Number,Cakovec - Cakovec DG,Goods trains,162.0
Annual,Number,Cakovec - Cakovec DG,Passenger trains,2008.0
Annual,Number,Kotoriba - Cakovec,Goods trains,209.0
Annual,Number,Kotoriba - Cakovec,Passenger trains,4017.0
Annual,Number,Kotoriba DG - Kotoriba,Goods trains,171.0
Annual,Number,Kotoriba DG - Kotoriba,Passenger trains,0.0
Annual,Number,¿apjane - Rijeka,Goods trains,540.0
Annual,Number,¿apjane - Rijeka,Passenger trains,778.0
Annual,Number,¿apjane DG - ¿apjane,Goods trains,540.0
