Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Males,From 55 to 64 years,Norway,:,: u
Annual,Percentage,Males,From 55 to 64 years,Poland,:,16.5 u
Annual,Percentage,Males,From 55 to 64 years,Portugal,:,17.6 u
Annual,Percentage,Males,From 55 to 64 years,Romania,:,: u
Annual,Percentage,Males,From 55 to 64 years,Serbia,:,: u
Annual,Percentage,Males,From 55 to 64 years,Sweden,:,: u
Annual,Percentage,Males,From 55 to 64 years,Slovenia,:,23.4 u
Annual,Percentage,Males,From 55 to 64 years,Slovakia,:,: u
Annual,Percentage,Males,From 55 to 64 years,Türkiye,:,: u
Annual,Percentage,Males,From 65 to 74 years,Austria,: u,11.6 u
Annual,Percentage,Males,From 65 to 74 years,Belgium,40.9 u,84.9 u
Annual,Percentage,Males,From 65 to 74 years,Bulgaria,23.9 u,: u
Annual,Percentage,Males,From 65 to 74 years,Cyprus,: u,: u
Annual,Percentage,Males,From 65 to 74 years,Czechia,17.4 u,23.4 u
Annual,Percentage,Males,From 65 to 74 years,Germany,36.3 u,44.4 u
Annual,Percentage,Males,From 65 to 74 years,Denmark,: u,: u
Annual,Percentage,Males,From 65 to 74 years,Estonia,: u,: u
Annual,Percentage,Males,From 65 to 74 years,Greece,40.2 u,: u
Annual,Percentage,Males,From 65 to 74 years,Spain,31.3 u,39.1 u
Annual,Percentage,Males,From 65 to 74 years,European Union - 27 countries (from 2020),38.0,36.9
Annual,Percentage,Males,From 65 to 74 years,European Union - 28 countries (2013-2020),37.7,:
Annual,Percentage,Males,From 65 to 74 years,Finland,: u,: u
Annual,Percentage,Males,From 65 to 74 years,France,: u,33.7 u
Annual,Percentage,Males,From 65 to 74 years,Croatia,: u,73.4 u
Annual,Percentage,Males,From 65 to 74 years,Hungary,: u,14.7 u
Annual,Percentage,Males,From 65 to 74 years,Ireland,40.0 u,: u
Annual,Percentage,Males,From 65 to 74 years,Iceland,: u,: u
Annual,Percentage,Males,From 65 to 74 years,Italy,53.2 u,46.5
Annual,Percentage,Males,From 65 to 74 years,Lithuania,32.0 u,: u
Annual,Percentage,Males,From 65 to 74 years,Luxembourg,: u,: u
Annual,Percentage,Males,From 65 to 74 years,Latvia,: u,: u
Annual,Percentage,Males,From 65 to 74 years,Malta,: u,: u
Annual,Percentage,Males,From 65 to 74 years,Netherlands,50.5 u,62.3 u
Annual,Percentage,Males,From 65 to 74 years,Norway,: u,: u
Annual,Percentage,Males,From 65 to 74 years,Poland,26.3,21.7
Annual,Percentage,Males,From 65 to 74 years,Portugal,17.7 u,21.9 u
Annual,Percentage,Males,From 65 to 74 years,Romania,34.0 u,15.4 u
Annual,Percentage,Males,From 65 to 74 years,Serbia,:,19.9 u
Annual,Percentage,Males,From 65 to 74 years,Sweden,: u,: u
Annual,Percentage,Males,From 65 to 74 years,Slovenia,: u,10.3 u
Annual,Percentage,Males,From 65 to 74 years,Slovakia,: u,: u
Annual,Percentage,Males,From 65 to 74 years,Türkiye,5.6 u,: u
Annual,Percentage,Males,From 65 to 74 years,United Kingdom,35.0,:
Annual,Percentage,Males,55 years or over,Austria,:,39.5
Annual,Percentage,Males,55 years or over,Belgium,:,68.6
Annual,Percentage,Males,55 years or over,Bulgaria,:,19.6
Annual,Percentage,Males,55 years or over,Cyprus,:,35.3 u
Annual,Percentage,Males,55 years or over,Czechia,:,22.6
Annual,Percentage,Males,55 years or over,Germany,:,44.0
Annual,Percentage,Males,55 years or over,Denmark,:,68.1 u
Annual,Percentage,Males,55 years or over,Estonia,:,10.2 u
Annual,Percentage,Males,55 years or over,Greece,:,36.1
Annual,Percentage,Males,55 years or over,Spain,:,45.4
Annual,Percentage,Males,55 years or over,European Union - 27 countries (from 2020),:,41.8
Annual,Percentage,Males,55 years or over,Finland,:,38.3 u
Annual,Percentage,Males,55 years or over,France,:,52.8
Annual,Percentage,Males,55 years or over,Croatia,:,52.4
Annual,Percentage,Males,55 years or over,Hungary,:,23.5
Annual,Percentage,Males,55 years or over,Ireland,:,57.0 u
Annual,Percentage,Males,55 years or over,Iceland,:,: u
Annual,Percentage,Males,55 years or over,Italy,:,46.4
Annual,Percentage,Males,55 years or over,Lithuania,:,15.3
Annual,Percentage,Males,55 years or over,Luxembourg,:,: u
Annual,Percentage,Males,55 years or over,Latvia,:,26.8 u
Annual,Percentage,Males,55 years or over,Malta,:,33.6 u
Annual,Percentage,Males,55 years or over,Netherlands,:,53.2
Annual,Percentage,Males,55 years or over,Norway,:,: u
Annual,Percentage,Males,55 years or over,Poland,:,27.6
Annual,Percentage,Males,55 years or over,Portugal,:,22.6
Annual,Percentage,Males,55 years or over,Romania,:,16.2
Annual,Percentage,Males,55 years or over,Serbia,:,27.8
Annual,Percentage,Males,55 years or over,Sweden,:,51.3 u
Annual,Percentage,Males,55 years or over,Slovenia,:,26.9
Annual,Percentage,Males,55 years or over,Slovakia,:,28.8 u
Annual,Percentage,Males,55 years or over,Türkiye,:,7.8
Annual,Percentage,Males,65 years or over,Austria,30.4 u,42.1
Annual,Percentage,Males,65 years or over,Belgium,55.4,70.1
Annual,Percentage,Males,65 years or over,Bulgaria,25.4,20.9
Annual,Percentage,Males,65 years or over,Cyprus,40.7 u,35.7 u
Annual,Percentage,Males,65 years or over,Czechia,37.6,26.4
Annual,Percentage,Males,65 years or over,Germany,41.5,50.2
Annual,Percentage,Males,65 years or over,Denmark,: u,81.3 u
Annual,Percentage,Males,65 years or over,Estonia,16.3 u,9.6 u
Annual,Percentage,Males,65 years or over,Greece,34.7,37.2
Annual,Percentage,Males,65 years or over,Spain,47.8,50.3
Annual,Percentage,Males,65 years or over,European Union - 27 countries (from 2020),47.0,45.7
Annual,Percentage,Males,65 years or over,European Union - 28 countries (2013-2020),46.5,:
Annual,Percentage,Males,65 years or over,Finland,66.7 u,44.8 u
Annual,Percentage,Males,65 years or over,France,79.2,57.8
Annual,Percentage,Males,65 years or over,Croatia,25.8 u,55.5
Annual,Percentage,Males,65 years or over,Hungary,35.7 u,25.0 u
Annual,Percentage,Males,65 years or over,Ireland,57.2,63.7 u
Annual,Percentage,Males,65 years or over,Iceland,: u,: u
Annual,Percentage,Males,65 years or over,Italy,48.5,47.2
Annual,Percentage,Males,65 years or over,Lithuania,24.3 u,19.4 u
Annual,Percentage,Males,65 years or over,Luxembourg,: u,: u
Annual,Percentage,Males,65 years or over,Latvia,28.9 u,25.3 u
Annual,Percentage,Males,65 years or over,Malta,: u,: u
Annual,Percentage,Males,65 years or over,Netherlands,64.3,63.9
Annual,Percentage,Males,65 years or over,Norway,: u,: u
Annual,Percentage,Males,65 years or over,Poland,28.8,31.6
Annual,Percentage,Males,65 years or over,Portugal,28.1,23.2
Annual,Percentage,Males,65 years or over,Romania,23.5,17.0
Annual,Percentage,Males,65 years or over,Serbia,:,32.3
Annual,Percentage,Males,65 years or over,Sweden,: u,59.7 u
Annual,Percentage,Males,65 years or over,Slovenia,36.6 u,28.0
Annual,Percentage,Males,65 years or over,Slovakia,26.0 u,29.9 u
Annual,Percentage,Males,65 years or over,Türkiye,8.6,8.1
Annual,Percentage,Males,65 years or over,United Kingdom,41.2,:
Annual,Percentage,Males,75 years or over,Austria,: u,50.2
Annual,Percentage,Males,75 years or over,Belgium,62.6,66.6
Annual,Percentage,Males,75 years or over,Bulgaria,26.5 u,16.6 u
Annual,Percentage,Males,75 years or over,Cyprus,48.9 u,48.0 u
Annual,Percentage,Males,75 years or over,Czechia,45.4,27.7
Annual,Percentage,Males,75 years or over,Germany,44.0,52.8
Annual,Percentage,Males,75 years or over,Denmark,: u,: u
Annual,Percentage,Males,75 years or over,Estonia,: u,15.6 u
Annual,Percentage,Males,75 years or over,Greece,33.6,38.3
Annual,Percentage,Males,75 years or over,Spain,51.5,53.5
Annual,Percentage,Males,75 years or over,European Union - 27 countries (from 2020),50.2,49.0
Annual,Percentage,Males,75 years or over,European Union - 28 countries (2013-2020),50.0,:
Annual,Percentage,Males,75 years or over,Finland,: u,: u
Annual,Percentage,Males,75 years or over,France,84.0,67.2
Annual,Percentage,Males,75 years or over,Croatia,24.8 u,46.4
Annual,Percentage,Males,75 years or over,Hungary,29.5 u,: u
Annual,Percentage,Males,75 years or over,Ireland,67.7 u,: u
Annual,Percentage,Males,75 years or over,Iceland,: u,: u
Annual,Percentage,Males,75 years or over,Italy,47.4,47.3
Annual,Percentage,Males,75 years or over,Lithuania,: u,22.8 u
Annual,Percentage,Males,75 years or over,Luxembourg,: u,: u
Annual,Percentage,Males,75 years or over,Latvia,29.0 u,16.8 u
Annual,Percentage,Males,75 years or over,Malta,: u,: u
Annual,Percentage,Males,75 years or over,Netherlands,70.2,65.0 u
Annual,Percentage,Males,75 years or over,Norway,: u,: u
Annual,Percentage,Males,75 years or over,Poland,29.9,38.4
Annual,Percentage,Males,75 years or over,Portugal,32.7,23.5
Annual,Percentage,Males,75 years or over,Romania,20.0,17.6
Annual,Percentage,Males,75 years or over,Serbia,:,40.0
Annual,Percentage,Males,75 years or over,Sweden,: u,73.1 u
Annual,Percentage,Males,75 years or over,Slovenia,42.1 u,33.7
Annual,Percentage,Males,75 years or over,Slovakia,24.3 u,34.0 u
Annual,Percentage,Males,75 years or over,Türkiye,10.2 u,8.4
Annual,Percentage,Males,75 years or over,United Kingdom,46.2,:
Annual,Percentage,Total,From 55 to 64 years,Austria,:,25.3 u
Annual,Percentage,Total,From 55 to 64 years,Belgium,:,58.3
Annual,Percentage,Total,From 55 to 64 years,Bulgaria,:,24.9 u
Annual,Percentage,Total,From 55 to 64 years,Cyprus,:,: u
Annual,Percentage,Total,From 55 to 64 years,Czechia,:,16.0 u
Annual,Percentage,Total,From 55 to 64 years,Germany,:,37.3
Annual,Percentage,Total,From 55 to 64 years,Denmark,:,: u
Annual,Percentage,Total,From 55 to 64 years,Estonia,:,3.8 u
