Time frequency,At risk of poverty - Yes/No,Age class,Work intensity,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Hungary,:,49.6,56.7,:,63.0,:,:,65.8,68.9,71.6
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Ireland,:,22.1,23.4,23.1,24.9,22.9 b,25.1 b,26.8,26.6,22.5
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Italy,:,75.5,77.4,74.7,73.8,75.4,69.1,59.8,61.7,63.5
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Lithuania,:,89.7,88.3,91.1,87.8,91.4,83.7,61.0,54.8,53.7
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Luxembourg,:,26.5,48.6 b,51.6,66.2,54.8,33.6 b,29.4 b,39.7 b,41.7
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Latvia,:,69.9,75.0,72.9,73.8,74.4,68.3,72.5,67.2,69.2
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,North Macedonia,:,70.8,78.8,73.4,76.8,76.2,62.5,:,:,:
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Malta,:,:,:,:,:,:,:,: u,:,48.6
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Netherlands,:,:,:,:,:,:,:,24.2,20.6,19.9
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Norway,:,:,:,:,:,:,:,: u,:,30.8 b
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Poland,:,54.9,55.4,53.4,47.1,49.7,50.7,53.0,54.9,63.3
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Portugal,:,57.8,58.2,59.4,56.4,59.2,58.0,55.9,51.4,54.9
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Romania,:,72.1,70.3,75.6,77.6,81.3,87.4,83.7,82.3,77.3
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Serbia,:,79.6,78.4,80.0,78.4,80.7,78.4,86.5,87.5,:
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Sweden,:,28.5,33.5,29.9,32.4,31.5,31.8,32.3,33.8,37.1
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Slovenia,:,48.3,49.0,47.3,47.5,42.9,38.9,41.9,42.4,46.9
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Slovakia,:,:,:,:,:,:,:,52.8,68.8,67.8
Annual,At risk of poverty,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Türkiye,:,91.5,89.4,88.1,88.0,90.3,89.1,88.5,90.5,78.5
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Austria,:,64.3,64.8,66.4,66.0,68.6,66.5,56.9,68.7,74.6
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Belgium,:,51.7,54.9,58.0,65.3,54.2 b,53.9 b,35.9,36.5,49.9
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Bulgaria,:,78.9,82.4 b,84.2,83.0,83.3,85.9,82.0,85.8,89.6
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Switzerland,:,:,76.1,79.8,87.2,80.2,78.9,76.5,79.1,81.0
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Cyprus,:,74.6,72.9,73.8,68.3,77.8,85.2,85.2,84.9,82.6
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Czechia,:,59.9,55.1,67.6,67.5,66.2,66.1,60.1,67.6,70.8
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Germany,:,46.5,49.0,54.0,56.2,49.0,71.3 b,69.8,66.2,63.4
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Denmark,:,:,:,:,:,:,:,58.1,61.7,63.7
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Euro area – 20 countries (from 2023),:,63.9 e,65.3 e,66.5 e,67.5 e,66.7 e,70.6 e,66.8 e,66.7,68.8
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Estonia,:,80.8,75.0,74.8,72.0,73.6,72.9,72.1,75.6,78.2
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Greece,:,90.7,89.8,90.8,90.3,80.2,84.6,84.8,85.0,86.7
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Spain,:,68.3,69.3,70.7,71.3,72.5,72.5,70.6,72.2,74.9
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,European Union - 27 countries (from 2020),:,67.3 e,68.1 e,68.6 e,69.4 e,69.0 e,72.0 e,68.3 e,68.9,70.9
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Finland,:,:,:,:,:,:,:,: u,:,37.5
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,France,:,62.8,64.6,61.3,59.0,62.9,56.6 b,53.2,57.6 b,57.9
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Croatia,76.6,76.0,74.7,77.8,77.4,79.8,81.8,78.1,76.8,84.1 b
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Hungary,:,69.7,74.4,:,81.0,:,:,80.3,78.9,83.3
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Ireland,:,28.9,32.4,32.9,34.3,36.5 b,36.4 b,38.2,45.2,49.9
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Italy,:,86.2,85.2,85.5,85.8,85.6,82.5,79.0,78.2,81.1
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Lithuania,:,88.8,89.3,91.3,90.2,90.3,88.7,70.6,66.3,72.7
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Luxembourg,:,77.7,78.8 b,80.5,80.0,80.2,75.9 b,79.4 b,84.5 b,84.8
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Latvia,:,85.4,84.7,83.8,82.5,82.3,83.9,82.7,79.6,87.1
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,North Macedonia,:,70.8,78.8,73.4,76.8,75.0,67.3,:,:,:
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Malta,:,:,:,:,:,:,:,: u,:,91.7
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Netherlands,:,:,:,:,:,:,:,43.2,42.5,63.1
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Norway,:,:,:,:,:,:,:,: u,:,75.2 b
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Poland,:,77.7,78.5,71.6,69.9,76.3,76.5,74.8,77.6,80.6
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Portugal,:,82.3,81.7,79.0,79.6,79.9,86.1,80.5,83.0,84.1
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Romania,:,92.2,89.0,89.1,89.3,91.1,89.0,87.5,87.4,88.1
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Serbia,:,82.5,80.4,81.9,80.2,82.2,79.5,92.5,93.4,:
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Sweden,:,50.2,50.1,52.8,51.2,51.9,51.7,51.5,58.4,58.9
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Slovenia,:,68.3,64.7,69.9,69.3,69.3,70.1,67.9,64.9,67.3
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Slovakia,:,:,:,:,:,:,:,72.5,80.3,82.7
Annual,At risk of poverty,From 18 to 64 years,Total,Percentage,Türkiye,:,93.7,93.1,94.3,93.8,95.2,95.0,93.5,95.4,92.2
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Austria,:,36.7,39.7,35.6,39.1,36.1,35.6,31.1,34.1,54.7
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Belgium,:,30.5,34.5,35.4,32.4,33.4 b,33.0 b,25.9,26.7,23.1
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Bulgaria,:,75.2,77.8 b,79.7,74.0,76.3,79.6,77.3,78.2,75.9
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Switzerland,:,:,54.5 u,: u,: u,60.4 u,: u,13.7,20.6,19.2
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Cyprus,:,52.5,46.5,32.6,34.0,39.8,47.8,59.1,55.4,46.1
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Czechia,:,35.2,38.0,41.1,41.5,42.4,43.2,43.1,49.4,49.3
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Germany,:,29.9,30.1,30.8,32.8,32.9,49.2 b,49.0,34.2,35.2
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Denmark,:,:,:,:,:,:,:,39.1,40.4,43.0
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Euro area – 20 countries (from 2023),:,45.3 e,46.6 e,46.3 e,45.6 e,47.3 e,49.7 e,47.4 e,42.7,44.2
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Estonia,:,55.2,50.2,54.0,55.9,53.3,46.9,51.0,51.6,57.4
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Greece,:,86.7,88.9,85.2,66.9,57.0,63.2,65.4,64.3,62.8
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Spain,:,60.1,56.0,57.7,55.7,52.4,52.4,58.4,53.8,54.9
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,European Union - 27 countries (from 2020),:,47.0 e,48.3 e,47.7 e,47.1 e,48.4 e,50.6 e,48.1 e,44.9,46.3
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Finland,:,:,:,:,:,:,:,: u,:,25.5
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,France,:,38.6,39.1,39.3,35.3,39.4,34.7 b,35.7,36.4 b,38.9
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Croatia,67.1,61.6,67.1,67.5,69.8,69.2,70.8,67.1,71.2,68.0 b
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Hungary,:,49.6,56.7,:,62.2,:,:,63.0,67.8,71.0
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Ireland,:,21.7,22.9,23.0,24.8,22.9 b,24.7 b,25.7,27.4,22.0
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Italy,:,75.7,77.4,74.7,73.8,75.3,69.1,60.6,61.7,63.5
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Lithuania,:,89.7,88.4,91.1,87.8,91.4,83.7,61.1,57.2,54.3
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Luxembourg,:,26.5,48.6 b,51.6,67.8,55.2,33.1 b,29.4 b,39.7 b,43.3
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Latvia,:,69.9,75.0,72.9,74.1,74.5,69.1,71.8,66.1,69.7
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,North Macedonia,:,70.8,78.8,73.4,76.8,76.8,63.7,:,:,:
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Malta,:,:,:,:,:,:,:,: u,:,48.1
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Netherlands,:,:,:,:,:,:,:,23.4,19.8,17.6
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Norway,:,:,:,:,:,:,:,: u,:,28.1 b
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Poland,:,54.9,55.4,53.4,47.1,51.0,51.0,53.0,54.9,63.3
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Portugal,:,57.8,58.2,59.4,56.2,58.9,57.4,55.9,51.9,54.5
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Romania,:,72.1,70.3,74.0,75.2,81.4,87.4,83.7,82.3,77.5
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Serbia,:,79.6,78.4,80.0,77.9,80.7,77.8,87.7,87.7,:
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Sweden,:,28.3,33.3,29.6,31.6,31.5,31.3,32.3,34.3,37.1
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Slovenia,:,48.5,49.4,47.3,47.5,43.9,38.9,41.9,42.4,48.2
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Slovakia,:,:,:,:,:,:,:,52.8,67.4,66.4
Annual,At risk of poverty,From 18 to 64 years,Very low work intensity (0-0.2),Percentage,Türkiye,:,91.3,89.0,88.1,88.0,90.1,88.8,88.3,90.5,77.8
