Time frequency,Economical indicator for structural business statistics,Client/Trader,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Households,Software consultancy and supply,France,459.5,:
Annual,Turnover or gross premiums written - million euro,Households,Software consultancy and supply,Luxembourg,:,0.7
Annual,Turnover or gross premiums written - million euro,Households,Software consultancy and supply,Portugal,:,10.4
Annual,Turnover or gross premiums written - million euro,Households,Software consultancy and supply,Sweden,17.4,:
Annual,Turnover or gross premiums written - million euro,Households,Software consultancy and supply,United Kingdom,:,390.2
Annual,Turnover or gross premiums written - million euro,Households,Data processing,Denmark,:,1.0
Annual,Turnover or gross premiums written - million euro,Households,Data processing,Spain,:,1.5
Annual,Turnover or gross premiums written - million euro,Households,Data processing,France,194.4,:
Annual,Turnover or gross premiums written - million euro,Households,Data processing,Portugal,:,4.2
Annual,Turnover or gross premiums written - million euro,Households,Data processing,Sweden,0.5,:
Annual,Turnover or gross premiums written - million euro,Households,Data processing,United Kingdom,:,: @C
Annual,Turnover or gross premiums written - million euro,Households,Database activities,Denmark,:,17.1
Annual,Turnover or gross premiums written - million euro,Households,Database activities,Finland,:,54.5
Annual,Turnover or gross premiums written - million euro,Households,Database activities,France,72.1,:
Annual,Turnover or gross premiums written - million euro,Households,Database activities,Luxembourg,:,0.4
Annual,Turnover or gross premiums written - million euro,Households,Database activities,United Kingdom,:,: @C
Annual,Turnover or gross premiums written - million euro,Households,"Maintenance and repair of office, accounting and computing machinery",Denmark,:,7.0
Annual,Turnover or gross premiums written - million euro,Households,"Maintenance and repair of office, accounting and computing machinery",Spain,:,10.8
Annual,Turnover or gross premiums written - million euro,Households,"Maintenance and repair of office, accounting and computing machinery",Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Households,"Maintenance and repair of office, accounting and computing machinery",France,56.4,:
Annual,Turnover or gross premiums written - million euro,Households,"Maintenance and repair of office, accounting and computing machinery",Luxembourg,:,0.0
Annual,Turnover or gross premiums written - million euro,Households,"Maintenance and repair of office, accounting and computing machinery",Portugal,:,6.2
Annual,Turnover or gross premiums written - million euro,Households,"Maintenance and repair of office, accounting and computing machinery",Sweden,1.8,:
Annual,Turnover or gross premiums written - million euro,Households,"Maintenance and repair of office, accounting and computing machinery",United Kingdom,:,83.0
Annual,Turnover or gross premiums written - million euro,Households,Other computer related activities,Denmark,:,0.9
Annual,Turnover or gross premiums written - million euro,Households,Other computer related activities,Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Households,Other computer related activities,Luxembourg,:,8.7
Annual,Turnover or gross premiums written - million euro,Households,Other computer related activities,Portugal,:,4.5
Annual,Turnover or gross premiums written - million euro,Households,Other computer related activities,Sweden,1.1,:
Annual,Turnover or gross premiums written - million euro,Households,Other computer related activities,United Kingdom,:,489.2
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Denmark,:,4897.1
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Spain,:,10917.0
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Finland,:,3407.8
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,France,31506.0,:
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Luxembourg,:,1013.1
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Portugal,:,1277.3
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,Sweden,10553.0,:
Annual,Turnover or gross premiums written - million euro,Total,Computer and related activities,United Kingdom,:,68641.0
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Denmark,:,127.8
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Spain,:,514.6
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,France,9685.2,:
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Luxembourg,:,214.9
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Portugal,:,84.6
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,Sweden,220.9,:
Annual,Turnover or gross premiums written - million euro,Total,Hardware consultancy,United Kingdom,:,1592.1
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Denmark,:,3927.1
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Spain,:,8775.1
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Finland,:,2194.1
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,France,13548.0,:
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Luxembourg,:,391.2
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Portugal,:,743.8
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,Sweden,8540.9,:
Annual,Turnover or gross premiums written - million euro,Total,Software consultancy and supply,United Kingdom,:,43290.0
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Denmark,:,429.4
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Spain,:,962.2
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Finland,:,818.0
Annual,Turnover or gross premiums written - million euro,Total,Data processing,France,6147.5,:
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Luxembourg,:,21.7
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Portugal,:,239.2
Annual,Turnover or gross premiums written - million euro,Total,Data processing,Sweden,1177.4,:
Annual,Turnover or gross premiums written - million euro,Total,Data processing,United Kingdom,:,8421.8
Annual,Turnover or gross premiums written - million euro,Total,Database activities,Denmark,:,96.1
Annual,Turnover or gross premiums written - million euro,Total,Database activities,Finland,:,247.2
Annual,Turnover or gross premiums written - million euro,Total,Database activities,France,612.5,:
Annual,Turnover or gross premiums written - million euro,Total,Database activities,Luxembourg,:,7.6
Annual,Turnover or gross premiums written - million euro,Total,Database activities,Portugal,:,10.1
Annual,Turnover or gross premiums written - million euro,Total,Database activities,Sweden,152.7,:
Annual,Turnover or gross premiums written - million euro,Total,Database activities,United Kingdom,:,776.6
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Denmark,:,54.8
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Spain,:,664.6
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",France,1513.0,:
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Luxembourg,:,31.3
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Portugal,:,72.6
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Sweden,334.1,:
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",United Kingdom,:,2030.5
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,Denmark,:,261.9
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,Luxembourg,:,346.5
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,Portugal,:,127.1
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,Sweden,126.8,:
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,United Kingdom,:,12530.0
