Time frequency,Sex,International Standard Classification of Education (ISCED 2011),Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,United Kingdom,22.1,21.7,20.8 b,20.3,20.5,19.9,19.6,18.9,:,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Austria,13.9,14.0,13.9 b,12.9,12.8,12.3,12.3,12.2,12.2,12.6 b,12.4,11.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,15.3,13.7,11.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Belgium,21.2,19.8,19.6 b,18.6,18.5,17.0 b,17.0,16.3,15.5,14.3 b,15.1,15.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Bulgaria,16.5,15.5,16.0 b,16.4,17.0,16.6,17.3,17.4 b,15.4,15.5 b,15.7,15.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Switzerland,13.1,12.5,12.1 b,12.3,11.6,11.4,10.7,10.7,10.7,12.1 b,13.3,13.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Cyprus,15.7,15.2,17.2 b,18.3,16.7,14.7,13.5,14.8,14.7,13.7 b,12.3,11.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Czechia,4.6,4.6,4.1 b,4.2,4.6,4.4,5.1,5.1,4.8,5.0 b,5.2,5.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Germany,12.8,13.1,13.0 b,13.6,14.2,14.3,14.2,13.7,14.2 b,16.8 b,17.1,16.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Denmark,18.0,17.8,16.8 b,16.0,15.6 b,15.0 b,15.5,15.3,16.1,15.9 b,17.2,16.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Euro area – 20 countries (from 2023),25.6,24.6,23.4 b,22.8,22.5,22.0,21.3,20.5,20.0,20.2 b,19.9,19.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Estonia,9.4,9.7,13.4 b,14.3,13.5,13.7,14.0,13.4,12.1,12.2 b,13.7,12.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Greece,27.6,25.7,24.9 b,23.0,21.8,20.5,19.8,17.6,15.8,15.2 b,14.6,15.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Spain,37.8,36.6,34.6 b,33.9,33.0,32.8,32.3,32.2,30.9,31.5 b,32.5,33.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,European Union - 27 countries (from 2020),22.5,21.6,20.8 b,20.2,19.9,19.4,18.9,18.2,17.6,17.7 b,17.5,17.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Finland,10.3,9.9,9.7 b,8.8,8.6,8.8,7.9,7.1,6.8,9.3 b,10.0,9.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,France,20.6,18.9 b,16.9 b,15.9,15.8,15.9,15.3,14.4,14.2,13.8 b,13.2,12.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Croatia,16.1 b,15.4,12.5 b,12.5,12.5,11.6,9.9,8.1,8.1,7.7 b,6.1,5.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Hungary,16.1,15.1,14.4 b,13.5,13.5,13.8,13.8 b,13.8,12.2,11.6 b,11.3,10.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Ireland,19.4,17.0,13.3 b,12.7,12.5,11.3 b,11.2,10.2,8.6,7.6 b,7.6,7.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Iceland,24.6,21.6,22.1 b,19.9,18.7,20.2,18.2,17.2,17.5 b,14.5 b,14.4,15.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Italy,37.9,36.6,35.3 b,34.4,34.3,33.3,32.3 b,31.4,31.0,30.6 b,29.6,27.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Lithuania,6.3,7.2,9.1 b,9.7,8.6,9.2,9.0,7.4,7.2,7.4 b,7.8,7.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Luxembourg,19.6,17.9,13.6 b,20.4 b,16.5 u,18.6 u,17.0,14.9,16.2,14.2 b,12.9,14.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Latvia,11.2,12.8,12.5 b,12.5,12.2,13.8,13.8,13.2,13.1,11.0 b,10.7,11.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Montenegro,13.9,15.1,12.8 b,12.6,13.6,13.5,13.4,11.6,13.0,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,North Macedonia,36.8,38.2,37.6 b,36.0,31.8,29.5,28.3,27.6,25.5,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Malta,55.0,53.7,48.2 b,47.7,46.9,45.1,40.1,36.2,37.8,29.6 b,29.1,27.4
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Netherlands,21.8,19.3 b,19.8 b,18.5,18.5,16.8,15.6,15.7 b,14.8,15.4 b,14.5,15.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Norway,14.4,14.0,13.4 b,13.6,14.5,14.2,14.4,14.7,14.5,16.7 b,16.5,16.4
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Poland,7.6,7.1,7.0 b,6.8,6.6,5.7,5.4,5.3,4.7,4.5 b,4.3,3.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Portugal,56.7,52.6,47.8 b,44.6,42.5,41.4,39.3,36.6,36.1,32.8 b,31.2,29.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Romania,18.1,19.3,23.2 b,22.7,21.9,21.0,20.9,20.5,19.4,19.2 b,18.9,20.4
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Serbia,18.1,18.5,16.1 b,16.2,16.2,16.4,16.0,15.8,14.6,14.4 b,13.5,12.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Sweden,12.6,12.0,12.6 b,13.1,12.7,12.9,13.2 b,14.2,13.7,11.9 b,11.6,11.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Slovenia,11.3,10.0,9.3 b,8.7,7.4,6.8,6.8,6.9,6.4,4.9 b,5.1,6.7 b
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Slovakia,5.5,5.7,5.8 b,6.0,5.6,6.6,7.1,7.5,6.5,7.0 b,6.2,6.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,Türkiye,70.0,68.1,66.9 b,65.1,63.0,61.2,59.7,57.8,55.9,54.8 b,52.1,49.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 35 to 44 years,United Kingdom,19.4,18.4,17.6 b,17.0,16.5,16.0,15.0,14.5,:,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Austria,17.4,17.5,16.6 b,15.7,16.5,15.8,14.8,15.1,14.8,14.8 b,14.9,14.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,24.8,25.0,27.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Belgium,31.1,29.2,27.6 b,26.2,25.0,23.4 b,21.2,21.2,19.9,18.2 b,16.1,16.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Bulgaria,17.1,16.5,17.4 b,16.7,16.2,15.6,16.0,16.1 b,16.2,15.5 b,14.7,14.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Switzerland,14.7,14.3,13.4 b,13.2,13.8,13.2,12.8,12.4,12.1,14.2 b,15.6,15.4
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Cyprus,22.9,21.8,23.0 b,22.8,21.9,18.9,18.4,17.4,16.2,15.0 b,13.9,13.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Czechia,6.7,6.0,5.9 b,5.3,5.4,5.4,4.6,4.7,4.8,4.2 b,4.3,4.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Germany,12.5,12.6,12.6 b,12.7,12.8,12.9,12.9,13.1,14.9 b,16.9 b,17.7,17.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Denmark,22.5,21.3,19.6 b,19.1,18.7 b,17.9 b,16.8,16.4,15.9,15.4 b,15.0,14.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Euro area – 20 countries (from 2023),31.4,30.3,29.4 b,28.8,28.1,27.6,26.8,26.0,25.8,25.6 b,25.1,24.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Estonia,5.5,5.9,7.7 b,7.3,6.7,8.1,8.6,8.8,9.4,9.9 b,10.1,11.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Greece,38.3,37.5,35.3 b,32.7,30.6,29.9,28.2,23.7,21.6,21.5 b,19.4,19.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Spain,49.1,48.3,47.0 b,45.8,44.1,43.0,41.5,39.8,38.6,37.5 b,36.9,36.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,European Union - 27 countries (from 2020),27.9,26.9,26.3 b,25.7,25.0,24.5,23.7,23.0,22.6,22.3 b,21.8,21.4
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Finland,13.1,11.7,11.0 b,10.3,10.9,11.0,10.1,9.0,8.3,10.5 b,10.0,11.0
