Time frequency,Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Slovakia,689.0,916.0,1042.0,858.0,725.0,709.0,795.0,369.0,605.0,1055.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Ukraine,:,:,:,:,:,:,:,15505.0,17550.0,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,United Kingdom,202814.0,191949.0,174430.0,178037.0,165517.0,163773 p,167251.0,:,:,:
Annual,Total,Number,Austria,54071.0,53491.0,56689.0,64428.0,66144.0,67212.0,68280.0,62581.0,67299.0,74271.0
Annual,Total,Number,Belgium,102657.0,94573.0,89794.0,92471.0,89690.0,88935.0,102936.0,76562.0,87272.0,84627.0
Annual,Total,Number,Bulgaria,19678 p,28727 p,29470 p,30570 p,31586 p,33225 p,39941 p,6649 p,26755.0,13175.0
Annual,Total,Number,Switzerland,106196.0,111103.0,116631.0,120653.0,124997.0,130225.0,126221.0,109376.0,116769.0,122123.0
Annual,Total,Number,Cyprus,:,:,:,:,:,:,:,21368.0,18410.0,17958.0
Annual,Total,Number,Czechia,25894 b,28468.0,25684.0,38864.0,27316.0,26742.0,77798.0,35854.0,18630.0,31764.0
Annual,Total,Number,Germany,259328 e,311230 e,315882 e,514560 e,511185 e,470500 e,491500 e,398905 e,453812 e,448534 e
Annual,Total,Number,Denmark,43310.0,44426.0,44625.0,52654.0,56403.0,60381.0,66520.0,53822.0,44008.0,62927.0
Annual,Total,Number,Estonia,6740.0,4637.0,13003 be,13792.0,12358.0,10476.0,12801.0,12427.0,12481.0,9657.0
Annual,Total,Number,Greece,117094.0,106804 b,109351.0,106535.0,103327.0,103049.0,95020.0,77837.0,79596.0,80307.0
Annual,Total,Number,Spain,532303.0,400430.0,343875.0,327325.0,368860.0,309526.0,296248.0,248561.0,696866 b,531889.0
Annual,Total,Number,European Union - 27 countries (from 2020),2448647 bep,2444152 bep,2445707 bep,2635537 ep,2576348 ep,2393130 ep,2556040 ep,1995154 ep,2687717 bep,2645362 ep
Annual,Total,Number,Finland,13893.0,15486.0,16305.0,18082.0,16973.0,19141.0,17263.0,15084.0,13459.0,15635.0
Annual,Total,Number,France,239813.0,308103.0,324517.0,313622.0,215470.0,188740.0,259143.0,61006.0,154736 p,249355 p
Annual,Total,Number,Georgia,:,:,:,:,:,:,:,:,:,125269.0
Annual,Total,Number,Croatia,15262.0,20858.0,29651.0,36436.0,47352.0,39515.0,40148.0,34046.0,40424.0,46287.0
Annual,Total,Number,Hungary,34691.0,42213.0,43225.0,39889.0,39829.0,48178.0,49795.0,67364.0,67999.0,58408.0
Annual,Total,Number,Ireland,76560.0,71107.0,67160.0,55507.0,58788.0,50258.0,51410.0,51313.0,53673.0,61133.0
Annual,Total,Number,Iceland,4372.0,4052.0,4046.0,4159.0,3641.0,4372.0,4590.0,6009.0,4661.0,5091.0
Annual,Total,Number,Italy,125735.0,136328.0,146955.0,157065.0,155110.0,156960.0,179505.0,159884.0,158312.0,150189.0
Annual,Total,Number,Liechtenstein,497.0,476.0,468.0,522.0,426.0,484.0,446.0,432.0,516.0,480.0
Annual,Total,Number,Lithuania,45049.0,43874.0,50445.0,56299.0,53951.0,38638.0,35441.0,25245.0,25205.0,15270.0
Annual,Total,Number,Luxembourg,10750 e,11283.0,12644.0,13442.0,13831.0,13985.0,15593.0,14870.0,15959.0,17227.0
Annual,Total,Number,Latvia,22561.0,19017.0,20119.0,20574.0,17724.0,15814.0,14583.0,11990.0,12975.0,16680.0
Annual,Total,Number,Moldova,:,122955.0,127277.0,153405.0,158259.0,158788.0,153289.0,72372.0,113769.0,241448.0
Annual,Total,Number,Montenegro,:,:,:,:,:,:,:,28.0,:,54.0
Annual,Total,Number,North Macedonia,1041.0,839.0,1016.0,630.0,424.0,377.0,798.0,1082.0,1412.0,2374.0
Annual,Total,Number,Malta,6550.0,6200.0,8255.0,9510.0,8036.0,10019.0,8079.0,13804.0,13146.0,13166.0
Annual,Total,Number,Netherlands,112625.0,112900.0,112330.0,111477.0,108231.0,109635.0,107906.0,102502.0,110342.0,109616.0
Annual,Total,Number,Norway,26523.0,29308.0,29173.0,34694.0,31963.0,27158.0,23207.0,21447.0,34297.0,32536.0
Annual,Total,Number,Poland,276446.0,268299 ep,258837 ep,236441 ep,218492 ep,189794 ep,180594 ep,161666 ep,201595.0,228006.0
