Time frequency,Unit of measure,Water process,Water sources,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Germany,1548.69 i,1551.57 e,1554.46,1571.65 e,1588.84 e,1606.03,1596.17 e,1586.32 e,1576.46,:,:,:
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Denmark,3.72,3.96,3.69,3.7,4.22,3.5,4.92,5.41,5.2,5.67,6.67 p,6.76 p
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Estonia,28.0,27.7,28.3,28.14,27.98,27.91,27.14,27.59,28.07,28.54,29.08,29.54
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Greece,628.5,628.5,628.5,628.5,628.5,936.84 b,936.84,936.84,936.84,936.84,936.84,936.84 p
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Spain,3098.2,3004.22,3018.17,3055.03,3140.0,3250.0,3156.5,3062.3,3092.0,3104.0,:,:
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Finland,160.00 e,153.0,152.0,143.0,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,France,1750.24,1952.47,1701.14,1555.51,1720.69,1741.32,1773.69,1772.78,1818.04,1792.9,1790.72,:
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Croatia,61.14,67.59 e,66.44,52.13,51.76,40.8,40.2,38.73,39.88,39.76,48.61,49.51
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Hungary,254.6,253.53,254.5,237.91,253.11,248.52,261.68,257.07,262.82,263.93,259.14,252.34
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Ireland,530.0,527.00 e,518.00 e,540.00 e,526.00 e,526.00 e,508.00 e,810.24 b,811.86,812.23,826.58,827.47
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Italy,1395.90 i,1427.4,1445.80 i,1464.20 i,1482.6,1408.51 e,1395.79 e,1390.41,1379.78 e,1388.52,1375.66 i,1362.80 p
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Lithuania,0.31,0.31,0.33,0.35,0.32,0.32,0.31,0.31,0.31,0.26,0.29,0.26
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Luxembourg,23.7,20.6,17.81,17.64,18.44,19.67,22.09,22.85,23.0,21.73,20.6,20.7
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Latvia,33.5,30.43,28.71,27.61,27.49,26.51,25.3,26.77,25.52,25.24,25.63,23.01
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Montenegro,:,:,:,:,:,:,:,:,:,23.98,23.98,23.98
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,North Macedonia,163.33 i,131.6,113.0,:,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Netherlands,473.23,463.72,458.98,466.44,470.43,482.48,417.29,488.76,492.0,493.7,482.8,:
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Norway,740.0,716.0,730.0,747.0,691.84 i,636.68 b,671.76,701.87,737.18,658.82,593.69,659.74
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Poland,610.5,601.4,575.4,572.2,579.1,572.16,568.07,576.31,573.28,444.62,560.73,569.1
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Portugal,583.13 e,581.54 e,577.52 e,564.46 e,589.07 e,576.35 e,613.29 e,592.28 e,590.27 e,594.48 e,:,:
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Romania,622.0,638.0,575.0,613.0,605.0,595.0,589.0,610.00 i,631.00 i,652.0,721.0,702.0
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Serbia,200.23,210.2,215.85,198.87,214.17,253.09,266.0,226.03,246.64,258.48,257.3,259.58
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Sweden,692.80 i,686.60 i,680.40 i,674.20 i,668.0,669.60 i,671.20 i,672.80 i,674.40 i,676.0,:,:
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Slovenia,4.3,3.3,3.3,2.4,2.2,1.5,1.3,1.29,4.01,3.9,4.0,4.2
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Slovakia,48.6,49.1,47.3,44.6,47.0,46.1,47.5,46.9,47.6,48.9,48.0,50.7
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Türkiye,2603.81 e,2668.97,2629.90 e,2590.83,2931.36 e,3271.89,3292.99 e,3314.08,3445.91 e,3577.73,:,3631.89
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,United Kingdom,4074.0,4144.0,3851.00 i,3558.0,:,:,:,:,:,:,:,:
Annual,Million cubic metres,Water abstraction by public water supply,Fresh surface water,Kosovo*,146.45,138.11,134.46,131.83,137.04,143.74,154.22,157.76,152.9,:,:,:
