Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand persons,Males,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.5 be,14.9 e,19.5 e
Annual,Thousand persons,Males,Belgium,123.4 e,122.3 be,130.3 e,145.2 e,143.4 e,148.3 e,160.3 e,151.8 be,161.5,159.9,163.2,159.9,166.5,192.8 b,203.8,198.1,198.8,218.6 b,225.6,219.6
Annual,Thousand persons,Males,Bulgaria,47.6 e,48.8 be,53.3 e,56.7 e,56.4 be,54.4 e,52.2 be,44.6 be,48.8 e,52.5 e,50.7 e,60.8 e,65.1 e,68.1 e,72.2 e,72.8 e,74.2,77.7 be,79.3 be,89.4
Annual,Thousand persons,Males,Switzerland,:,:,:,:,:,:,:,160.5 b,176.8,178.1,184.3,184.7,192.8,189.1,199.7,214.1,212.9,214.0 b,224.7,227.8
Annual,Thousand persons,Males,Cyprus,6.3 e,6.3 be,6.7 e,8.0 e,8.3 e,7.8 be,7.9 e,8.0 be,8.0 e,8.4 e,8.4 e,7.7,7.6,9.0,10.5,9.2,10.5,13.4 b,16.1,18.8 e
Annual,Thousand persons,Males,Czechia,118.0 e,127.6 be,134.6 e,150.7 e,166.2 e,173.9 e,178.4 be,152.4 b,146.4,163.1,167.0,160.1,170.0,170.0,191.0,192.1,197.2,216.5 b,207.6,190.8
Annual,Thousand persons,Males,Germany,947.6 e,1047.4 be,1061.9 be,1076.9 e,1121.2 e,1143.1 e,1189.5 be,1004.5 be,1148.0 b,1178.8,1183.4,1226.9,1285.6,1298.3,1349.9,1403.7,1594.3 b,1622.7 b,1712.8,1708.1
Annual,Thousand persons,Males,Denmark,92.2 e,87.6 be,99.2 e,96.8 e,104.6 be,99.4 e,99.3 e,91.4 be,100.1 e,102.4 e,99.2 e,96.7 e,105.4 be,110.8 be,111.2 e,115.4 e,116.5 e,125.5 b,133.4,137.1 be
Annual,Thousand persons,Males,Estonia,14.6 e,8.6 be,13.2 e,14.4 e,15.3 e,14.0 e,14.5 e,16.0 b,17.3,20.7,19.8,20.8,26.2 e,27.3,27.6,29.1,31.3 e,31.2 b,33.8,34.2 e
Annual,Thousand persons,Males,Greece,81.7 be,80.1 be,81.3 e,81.9 e,78.9 e,80.0 be,81.5 e,59.7 be,55.1 e,56.1 e,48.4 e,48.4 e,55.9 e,65.0 e,72.5 e,64.2 e,59.2 e,73.8 b,82.2,80.6
Annual,Thousand persons,Males,Spain,398.4 e,427.3 be,460.5 be,488.3 e,487.7 e,471.6 e,486.9 e,468.5 be,457.0 e,451.7 e,459.1 e,467.3 e,509.4 e,547.8 e,575.4 e,592.3 e,600.9 e,648.5 bd,720.9 d,752.9 d
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),4365.1 e,4701.4 be,4932.0 e,5074.9 e,5203.6 e,5224.8 e,5267.7 e,4715.0 be,4937.7 e,5127.4 e,5308.9 e,5480.2 e,5743.4 e,5952.0 e,6273.4 e,6490.4 e,6894.8 e,7249.3 be,7636.2 e,7892.5 e
Annual,Thousand persons,Males,Finland,93.9 e,97.9 be,103.8 e,106.0 be,104.6 be,102.7 e,107.2 e,114.5 b,121.0,123.6,121.2,121.2,126.9,132.1,135.9 e,137.7,146.8,143.0 b,151.0 e,156.0
Annual,Thousand persons,Males,France,745.7 e,800.6 be,821.5 be,798.6 e,805.1 e,809.9 e,815.1 e,562.5 be,549.7 e,618.8 b,709.5 b,763.0,798.1,830.0,857.0,908.7,974.3,980.0 bd,986.5 d,1077.5 d
Annual,Thousand persons,Males,Croatia,21.1 e,23.4 be,23.4 bu,29.2 e,32.6 e,32.6 e,29.4 e,34.2 be,33.7 e,32.2 e,37.4 e,36.7 e,45.3,46.7 e,49.6 e,44.3 e,51.4 e,48.2 be,55.3 e,57.9 be
Annual,Thousand persons,Males,Hungary,106.2 e,102.1 be,113.5 e,113.9 e,113.0 e,101.4 e,99.3 e,92.3 b,110.6 e,123.1,127.4,134.5,137.4,143.6,151.5,136.3,149.8 e,156.6 be,168.1 e,167.2 e
Annual,Thousand persons,Males,Ireland,44.3 e,44.9 be,45.2 e,52.4 be,52.4 e,51.6 e,53.4 e,67.7 be,69.4 e,70.5 e,74.7 e,76.1 e,82.1 e,85.7 be,87.2 e,88.8 e,102.8 e,122.2 be,126.6 e,126.3 e
Annual,Thousand persons,Males,Iceland,:,:,:,:,:,:,:,5.1 be,4.6 e,5.6 e,5.8 e,6.3 e,6.8 e,7.6 e,7.2 e,7.0 e,7.2 be,5.9 be,7.2 e,8.0 e
Annual,Thousand persons,Males,Italy,540.1 be,555.5 be,578.7 e,586.5 e,602.5 e,612.0 e,596.5 e,578.4 be,592.4 e,614.4 e,623.1 e,624.6 e,643.2 e,649.0 e,693.7 be,693.0 e,690.1 e,712.7 be,755.6 e,818.7 e
Annual,Thousand persons,Males,Lithuania,16.6 u,15.4 bu,14.4 u,17.6 u,15.3 u,16.2 e,15.3,18.5 be,19.4 e,19.3 e,19.2,22.4 e,25.7,27.4,28.0,31.8 e,34.0,40.0 b,47.7,56.5 e
Annual,Thousand persons,Males,Luxembourg,6.3 e,6.2 be,5.8 e,6.3 be,8.9 e,8.5 b,8.9 e,8.6 b,10.6,10.0,11.2,11.1 b,11.9 e,12.5,14.5 e,15.2 e,14.9,16.5 b,19.1,20.3
Annual,Thousand persons,Males,Latvia,18.9 e,16.9 be,19.8 e,20.0 e,19.9 e,17.0 e,16.5 e,16.4 be,15.4 e,16.6 e,16.7 e,17.8 e,17.8 e,18.8 e,18.6 e,21.5 e,24.8 e,25.6 be,30.4 e,29.9
Annual,Thousand persons,Males,Montenegro,:,:,:,:,:,:,:,2.9 be,2.6 e,3.2 e,4.2 e,4.5 e,4.1 e,4.0 e,3.5 e,3.5 e,4.6 e,:,:,:
Annual,Thousand persons,Males,North Macedonia,:,:,:,:,:,:,:,6.9 be,6.6,6.9,7.7 e,10.1 e,9.5 e,8.8 e,9.5,11.8,14.3 e,:,:,:
Annual,Thousand persons,Males,Malta,6.3 be,6.0 be,4.5 e,7.0,6.9 e,5.7 e,5.4,4.7 be,5.5 e,5.2,5.8 e,6.3 e,7.2 e,8.5,9.4,10.3,10.1 e,9.9 be,11.8,12.1
Annual,Thousand persons,Males,Netherlands,283.2,268.6 b,255.5 b,254.7,265.1,267.8,278.5,328.8 be,328.9,331.9 b,342.4,356.9,363.0,363.3,394.4,417.4,434.2,511.8 b,552.1,546.5
Annual,Thousand persons,Males,Norway,:,:,:,:,:,:,:,92.0 b,95.4,99.1,99.3 e,96.0 e,92.7 e,99.3,95.4,100.2,110.0 e,120.9 be,117.9 e,120.7 e
Annual,Thousand persons,Males,Poland,234.2 be,256.1 be,282.0 e,313.2 e,332.0 e,349.5 e,331.0 be,304.7 b,330.3,346.0,355.9,366.8 e,369.6 e,384.9,418.3,469.1 be,504.8,529.2 b,536.7,602.8 e
Annual,Thousand persons,Males,Portugal,82.1 e,92.7 be,102.1 e,105.1 e,103.9 e,104.5 e,101.5 e,74.0 be,81.7 e,90.5 e,116.0 e,108.1 e,112.1 e,109.8 e,120.9 e,140.7 e,145.2 e,168.7 b,167.5,176.2
Annual,Thousand persons,Males,Romania,:,84.5 be,128.4 e,142.8 e,136.1 e,130.4 e,115.2 be,97.9 be,109.7 e,104.9 e,109.9 e,117.2 e,123.6,137.7,145.4,151.4 e,150.3,150.8 b,161.1 e,145.8 e
Annual,Thousand persons,Males,Serbia,:,:,:,:,:,:,:,:,:,35.2 e,43.1 be,47.4 e,49.3 e,50.2 e,55.3 e,58.6 e,59.7 e,72.3 be,75.6,94.8 b
Annual,Thousand persons,Males,Sweden,191.7 e,209.3 be,210.0 e,218.2 e,228.1 e,225.5 e,227.5 e,209.2 b,217.7,214.9,223.9,238.2,246.1,263.2,274.1 b,286.3,298.9 e,317.0 b,344.8,353.5 e
Annual,Thousand persons,Males,Slovenia,20.6 e,23.9 be,25.9 e,25.2 e,26.9 e,27.9 e,26.8 e,28.1 be,26.5 e,26.6,27.8,27.7 e,26.6 e,30.3,32.7 e,31.1 e,35.3 e,38.9 b,37.0,30.9 e
Annual,Thousand persons,Males,Slovakia,41.2 e,48.4 be,55.4 e,57.9 e,58.1 e,56.3 e,55.5 e,52.0 b,50.9,54.2 e,58.1 e,60.3,66.4,61.1 e,71.9 e,83.0,89.9,94.5 b,95.4,91.8
Annual,Thousand persons,Males,Türkiye,:,:,:,:,:,:,:,207.9 be,246.4 be,246.8 e,258.3 be,276.4 e,283.6 e,307.1 e,311.8 e,316.2 e,314.1 e,336.1 b,381.3 e,382.7
Annual,Thousand persons,Males,United Kingdom,:,:,:,:,:,:,:,1155.1 be,1207.0 e,1255.7 e,1276.4 e,1361.3 e,1406.2 e,1371.3 e,1460.1 e,1523.8 e,:,:,:,:
