Time frequency,Unit of measure,Age class,Type of household,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,55 years or over,Single person,Czechia,:,40.2
Annual,Percentage,55 years or over,Single person,Germany,:,59.5
Annual,Percentage,55 years or over,Single person,Denmark,:,81.9 u
Annual,Percentage,55 years or over,Single person,Estonia,:,19.5
Annual,Percentage,55 years or over,Single person,Greece,:,33.6
Annual,Percentage,55 years or over,Single person,Spain,:,56.1
Annual,Percentage,55 years or over,Single person,European Union - 27 countries (from 2020),:,56.1
Annual,Percentage,55 years or over,Single person,Finland,:,76.1 u
Annual,Percentage,55 years or over,Single person,France,:,66.2
Annual,Percentage,55 years or over,Single person,Croatia,:,44.7
Annual,Percentage,55 years or over,Single person,Hungary,:,50.1 u
Annual,Percentage,55 years or over,Single person,Ireland,:,59.9
Annual,Percentage,55 years or over,Single person,Iceland,:,56.8 u
Annual,Percentage,55 years or over,Single person,Italy,:,58.8
Annual,Percentage,55 years or over,Single person,Lithuania,:,32.8
Annual,Percentage,55 years or over,Single person,Luxembourg,:,: u
Annual,Percentage,55 years or over,Single person,Latvia,:,42.6
Annual,Percentage,55 years or over,Single person,Malta,:,: u
Annual,Percentage,55 years or over,Single person,Netherlands,:,72.6
Annual,Percentage,55 years or over,Single person,Norway,:,57.5 u
Annual,Percentage,55 years or over,Single person,Poland,:,39.5
Annual,Percentage,55 years or over,Single person,Portugal,:,39.9
Annual,Percentage,55 years or over,Single person,Romania,:,15.7
Annual,Percentage,55 years or over,Single person,Serbia,:,31.8
Annual,Percentage,55 years or over,Single person,Sweden,:,48.4
Annual,Percentage,55 years or over,Single person,Slovenia,:,32.1
Annual,Percentage,55 years or over,Single person,Slovakia,:,27.1
Annual,Percentage,55 years or over,Single person,Türkiye,:,6.9
Annual,Percentage,55 years or over,Other,Austria,:,40.2
Annual,Percentage,55 years or over,Other,Belgium,:,65.5
Annual,Percentage,55 years or over,Other,Bulgaria,:,19.1
Annual,Percentage,55 years or over,Other,Cyprus,:,53.2
Annual,Percentage,55 years or over,Other,Czechia,:,14.6
Annual,Percentage,55 years or over,Other,Germany,:,35.4
Annual,Percentage,55 years or over,Other,Denmark,:,66.7 u
Annual,Percentage,55 years or over,Other,Estonia,:,7.5
Annual,Percentage,55 years or over,Other,Greece,:,38.5
Annual,Percentage,55 years or over,Other,Spain,:,48.5
Annual,Percentage,55 years or over,Other,European Union - 27 countries (from 2020),:,40.5
Annual,Percentage,55 years or over,Other,Finland,:,31.1 u
Annual,Percentage,55 years or over,Other,France,:,56.4
Annual,Percentage,55 years or over,Other,Croatia,:,43.6
Annual,Percentage,55 years or over,Other,Hungary,:,24.6
Annual,Percentage,55 years or over,Other,Ireland,:,63.2
Annual,Percentage,55 years or over,Other,Iceland,:,: u
Annual,Percentage,55 years or over,Other,Italy,:,44.7
Annual,Percentage,55 years or over,Other,Lithuania,:,16.5
Annual,Percentage,55 years or over,Other,Luxembourg,:,62.4 u
Annual,Percentage,55 years or over,Other,Latvia,:,17.7
Annual,Percentage,55 years or over,Other,Malta,:,38.0 u
Annual,Percentage,55 years or over,Other,Netherlands,:,51.5
Annual,Percentage,55 years or over,Other,Norway,:,46.8 u
Annual,Percentage,55 years or over,Other,Poland,:,30.0
Annual,Percentage,55 years or over,Other,Portugal,:,24.7
Annual,Percentage,55 years or over,Other,Romania,:,16.8
Annual,Percentage,55 years or over,Other,Serbia,:,27.3
Annual,Percentage,55 years or over,Other,Sweden,:,45.2 u
Annual,Percentage,55 years or over,Other,Slovenia,:,25.6
Annual,Percentage,55 years or over,Other,Slovakia,:,20.8
Annual,Percentage,55 years or over,Other,Türkiye,:,11.9
Annual,Percentage,55 years or over,Total,Austria,:,48.7
Annual,Percentage,55 years or over,Total,Belgium,:,72.6
Annual,Percentage,55 years or over,Total,Bulgaria,:,25.8
Annual,Percentage,55 years or over,Total,Cyprus,:,47.9
Annual,Percentage,55 years or over,Total,Czechia,:,25.3
Annual,Percentage,55 years or over,Total,Germany,:,52.1
Annual,Percentage,55 years or over,Total,Denmark,:,74.6
Annual,Percentage,55 years or over,Total,Estonia,:,12.6
Annual,Percentage,55 years or over,Total,Greece,:,37.0
Annual,Percentage,55 years or over,Total,Spain,:,49.9
Annual,Percentage,55 years or over,Total,European Union - 27 countries (from 2020),:,47.1
Annual,Percentage,55 years or over,Total,Finland,:,55.4
Annual,Percentage,55 years or over,Total,France,:,60.4
Annual,Percentage,55 years or over,Total,Croatia,:,43.8
Annual,Percentage,55 years or over,Total,Hungary,:,34.4
Annual,Percentage,55 years or over,Total,Ireland,:,62.1
Annual,Percentage,55 years or over,Total,Italy,:,51.1
Annual,Percentage,55 years or over,Total,Lithuania,:,23.5
Annual,Percentage,55 years or over,Total,Luxembourg,:,57.1 u
Annual,Percentage,55 years or over,Total,Latvia,:,27.8
Annual,Percentage,55 years or over,Total,Malta,:,39.4 u
Annual,Percentage,55 years or over,Total,Netherlands,:,62.9
Annual,Percentage,55 years or over,Total,Norway,:,51.6
Annual,Percentage,55 years or over,Total,Poland,:,32.6
Annual,Percentage,55 years or over,Total,Portugal,:,28.1
Annual,Percentage,55 years or over,Total,Romania,:,16.4
Annual,Percentage,55 years or over,Total,Serbia,:,28.2
Annual,Percentage,55 years or over,Total,Sweden,:,46.9
Annual,Percentage,55 years or over,Total,Slovenia,:,27.7
Annual,Percentage,55 years or over,Total,Slovakia,:,23.9
Annual,Percentage,55 years or over,Total,Türkiye,:,10.7
Annual,Percentage,65 years or over,Single person,Austria,38.2 u,60.5
Annual,Percentage,65 years or over,Single person,Belgium,59.8,82.0
Annual,Percentage,65 years or over,Single person,Bulgaria,31.2,34.8
Annual,Percentage,65 years or over,Single person,Cyprus,: u,23.2 u
Annual,Percentage,65 years or over,Single person,Czechia,46.4,41.3
Annual,Percentage,65 years or over,Single person,Germany,52.3,61.9
Annual,Percentage,65 years or over,Single person,Denmark,92.4 u,88.6 u
Annual,Percentage,65 years or over,Single person,Estonia,27.5,23.2
Annual,Percentage,65 years or over,Single person,Greece,40.2,32.4
Annual,Percentage,65 years or over,Single person,Spain,56.4,57.6
Annual,Percentage,65 years or over,Single person,European Union - 27 countries (from 2020),57.5,57.5
Annual,Percentage,65 years or over,Single person,European Union - 28 countries (2013-2020),56.2,:
Annual,Percentage,65 years or over,Single person,Finland,76.2 u,81.8 u
Annual,Percentage,65 years or over,Single person,France,80.1,68.0
Annual,Percentage,65 years or over,Single person,Croatia,37.2 u,45.4
Annual,Percentage,65 years or over,Single person,Hungary,52.7,52.9 u
Annual,Percentage,65 years or over,Single person,Ireland,76.2,65.2 u
Annual,Percentage,65 years or over,Single person,Iceland,: u,: u
Annual,Percentage,65 years or over,Single person,Italy,60.2,59.4
Annual,Percentage,65 years or over,Single person,Lithuania,26.7,35.8
Annual,Percentage,65 years or over,Single person,Luxembourg,: u,: u
Annual,Percentage,65 years or over,Single person,Latvia,40.3,46.2
Annual,Percentage,65 years or over,Single person,Malta,: u,: u
Annual,Percentage,65 years or over,Single person,Netherlands,84.0,81.7
Annual,Percentage,65 years or over,Single person,Norway,75.3 u,57.3 u
Annual,Percentage,65 years or over,Single person,Poland,37.2,38.8
Annual,Percentage,65 years or over,Single person,Portugal,32.7,41.7
Annual,Percentage,65 years or over,Single person,Romania,24.4,16.0
Annual,Percentage,65 years or over,Single person,Serbia,:,32.6
Annual,Percentage,65 years or over,Single person,Sweden,56.7 u,52.2 u
Annual,Percentage,65 years or over,Single person,Slovenia,44.7 u,32.3
Annual,Percentage,65 years or over,Single person,Slovakia,35.5,26.8
Annual,Percentage,65 years or over,Single person,Türkiye,8.1,7.2
Annual,Percentage,65 years or over,Single person,United Kingdom,42.2,:
Annual,Percentage,65 years or over,Other,Austria,33.8 u,43.8
Annual,Percentage,65 years or over,Other,Belgium,49.7,68.7
Annual,Percentage,65 years or over,Other,Bulgaria,18.7,20.1
Annual,Percentage,65 years or over,Other,Cyprus,62.9,56.3
Annual,Percentage,65 years or over,Other,Czechia,27.8,15.0
Annual,Percentage,65 years or over,Other,Germany,42.8,40.9
Annual,Percentage,65 years or over,Other,Denmark,: u,74.0 u
Annual,Percentage,65 years or over,Other,Estonia,12.8 u,7.9
Annual,Percentage,65 years or over,Other,Greece,33.6,38.7
Annual,Percentage,65 years or over,Other,Spain,49.2,50.3
Annual,Percentage,65 years or over,Other,European Union - 27 countries (from 2020),43.9,43.4
Annual,Percentage,65 years or over,Other,European Union - 28 countries (2013-2020),43.3,:
Annual,Percentage,65 years or over,Other,Finland,61.0 u,35.7 u
Annual,Percentage,65 years or over,Other,France,73.8,61.6
Annual,Percentage,65 years or over,Other,Croatia,25.9,45.0
Annual,Percentage,65 years or over,Other,Hungary,30.1,28.0
Annual,Percentage,65 years or over,Other,Ireland,48.8,67.3 u
Annual,Percentage,65 years or over,Other,Iceland,62.2 u,: u
Annual,Percentage,65 years or over,Other,Italy,47.4,45.8
Annual,Percentage,65 years or over,Other,Lithuania,26.7,18.3
Annual,Percentage,65 years or over,Other,Luxembourg,: u,: u
Annual,Percentage,65 years or over,Other,Latvia,21.6,18.6
Annual,Percentage,65 years or over,Other,Malta,49.8 u,38.4 u
Annual,Percentage,65 years or over,Other,Netherlands,46.6,57.6
Annual,Percentage,65 years or over,Other,Norway,: u,: u
Annual,Percentage,65 years or over,Other,Poland,29.2,33.2
Annual,Percentage,65 years or over,Other,Portugal,29.9,25.8
Annual,Percentage,65 years or over,Other,Romania,24.9,17.5
Annual,Percentage,65 years or over,Other,Serbia,:,29.0
