Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 15 to 74 years,Bulgaria,61.8,57.9,55.2,55.8,53.3,50.6 b,51.4,44.7 b,43.6,40.0
Annual,Percentage,Total,From 15 to 74 years,Switzerland,7.7,7.9,8.1,8.2,7.8,8.0,7.5,7.6 b,6.5,6.3
Annual,Percentage,Total,From 15 to 74 years,Cyprus,61.9,65.2,65.5,64.3,60.5,52.6,51.1,42.1 b,45.2,43.4
Annual,Percentage,Total,From 15 to 74 years,Czechia,18.1,13.4,12.1,7.4,5.6,5.7,3.7,17.2 b,17.5,16.9
Annual,Percentage,Total,From 15 to 74 years,Germany,13.7,13.1,11.3,10.7,9.6,8.7,7.0 b,6.8 b,5.9,5.1
Annual,Percentage,Total,From 15 to 74 years,Denmark,15.8,14.9,12.7 b,12.8 b,11.1,10.3,10.9,8.9 b,6.1,6.6
Annual,Percentage,Total,From 15 to 74 years,Euro area – 20 countries (from 2023),30.5,30.2,29.2,28.2,26.6,25.1,23.8,22.6 b,20.3,18.8
Annual,Percentage,Total,From 15 to 74 years,Estonia,14.5,12.5,9.9,7.2,5.1,6.4,6.9,16.7 b,15.8,15.0
Annual,Percentage,Total,From 15 to 74 years,Greece,69.8,71.6,71.0,69.1,68.7,65.4,64.2,54.3 b,47.9,41.5
Annual,Percentage,Total,From 15 to 74 years,Spain,63.4,62.7,61.3,60.3,55.4,53.7,51.4,53.2 bd,50.3 d,48.7 d
Annual,Percentage,Total,From 15 to 74 years,European Union - 27 countries (from 2020),30.6,30.2,28.9,27.6,25.9,24.5,23.3,22.3 b,19.9,18.5
Annual,Percentage,Total,From 15 to 74 years,Finland,26.6,28.3,30.9,28.8,28.8,27.9,29.0,28.5 b,23.2,22.3
Annual,Percentage,Total,From 15 to 74 years,France,41.5 b,42.4,42.8,42.0,40.7,36.9,37.0,27.3 bd,24.9 d,23.2 d
Annual,Percentage,Total,From 15 to 74 years,Croatia,21.4,22.6,26.8,31.0,30.2,25.5,25.7,30.5 b,28.9,23.3
Annual,Percentage,Total,From 15 to 74 years,Hungary,38.6,34.6,27.3,24.0,20.2 b,17.4,16.6,19.9 b,15.4,18.1
Annual,Percentage,Total,From 15 to 74 years,Ireland,39.6,36.0,29.7,22.8 b,16.9,15.4,13.4,12.1 b,9.3,8.9
Annual,Percentage,Total,From 15 to 74 years,Iceland,19.4,14.8,12.4,12.3,16.9,15.2,18.1 b,14.8 b,11.0,10.8
Annual,Percentage,Total,From 15 to 74 years,Italy,64.1,64.3,63.1,61.4,64.3 b,64.5,65.0,61.5 b,56.9,53.7
Annual,Percentage,Total,From 15 to 74 years,Lithuania,29.8,29.8,29.8,28.8,22.9,20.9,26.7,22.5 b,17.6,14.7
Annual,Percentage,Total,From 15 to 74 years,Luxembourg,12.6,14.5 b,11.3,13.1,12.4,12.6,11.5,9.1 b,10.1,10.0
Annual,Percentage,Total,From 15 to 74 years,Latvia,35.0,30.0,33.1,31.1,29.3,20.2,21.4,32.1 b,29.1,24.0
Annual,Percentage,Total,From 15 to 74 years,Montenegro,28.0,38.8,32.0,30.2,32.8,28.7,19.5 u,:,:,:
Annual,Percentage,Total,From 15 to 74 years,North Macedonia,37.7,41.4,38.0,40.5,34.5,34.3,29.0,:,:,:
Annual,Percentage,Total,From 15 to 74 years,Malta,14.4,15.2,11.1,10.4,9.4,7.7,6.9,9.1 b,6.2 u,4.5 u
Annual,Percentage,Total,From 15 to 74 years,Netherlands,10.6 u,9.6 u,9.6 u,7.9 u,6.7,5.3,5.8,3.6 b,2.7,2.1
Annual,Percentage,Total,From 15 to 74 years,Norway,19.0 u,19.4 u,: u,16.7 u,19.1 u,18.3 u,19.4 u,14.1 b,12.4,11.2
Annual,Percentage,Total,From 15 to 74 years,Poland,29.5,28.0,23.2,18.9,14.3,12.5 b,11.5,12.3 b,10.2,10.2
Annual,Percentage,Total,From 15 to 74 years,Portugal,40.2,41.9,40.6,39.7,37.4,36.2,37.0,37.9 b,37.0,36.3
Annual,Percentage,Total,From 15 to 74 years,Romania,48.5,51.1,49.2,47.2,46.0,47.0,48.4,63.2 b,56.5,54.6
Annual,Percentage,Total,From 15 to 74 years,Serbia,41.8 b,47.5,46.9,41.6,36.4,30.1,24.6,25.4 b,24.9,19.1
Annual,Percentage,Total,From 15 to 74 years,Sweden,27.4,27.2,26.1,24.7,22.3 b,21.1,20.9,22.7 b,19.4,18.3
Annual,Percentage,Total,From 15 to 74 years,Slovenia,8.9,12.2,13.5,10.1,6.1,4.6 u,5.7,8.9 b,7.5 u,7.0 u
Annual,Percentage,Total,From 15 to 74 years,Slovakia,32.2,28.6,33.1,29.5,24.5,24.3,18.1,18.1 b,18.3,14.0
Annual,Percentage,Total,From 15 to 74 years,Türkiye,8.0 b,8.7,10.7,12.0,12.1,13.4,14.5,13.7 b,13.3,11.8
Annual,Percentage,Total,From 15 to 74 years,United Kingdom,17.6,16.7,14.8,13.6,12.7,12.3,:,:,:,:
