Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,From 55 to 64 years,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,18.8 i,19.6 i
Annual,From 55 to 64 years,Percentage of households,European Union - 27 countries (from 2020),:,18.5 i,19.6 i
Annual,From 55 to 64 years,Percentage of households,Finland,18.8,17.5,:
Annual,From 55 to 64 years,Percentage of households,France,18.7,18.3,18.9 i
Annual,From 55 to 64 years,Percentage of households,Croatia,21.5,21.7,21.8 i
Annual,From 55 to 64 years,Percentage of households,Hungary,24.0,23.5,20.6 i
Annual,From 55 to 64 years,Percentage of households,Ireland,19.1,19.1,:
Annual,From 55 to 64 years,Percentage of households,Italy,17.7,:,:
Annual,From 55 to 64 years,Percentage of households,Lithuania,16.0,19.5,20.4 i
Annual,From 55 to 64 years,Percentage of households,Luxembourg,17.6,17.8,18.6 i
Annual,From 55 to 64 years,Percentage of households,Latvia,18.5,19.1,19.5 i
Annual,From 55 to 64 years,Percentage of households,Malta,22.5,20.6,17.4 i
Annual,From 55 to 64 years,Percentage of households,Netherlands,:,18.2,18.9 i
Annual,From 55 to 64 years,Percentage of households,Poland,21.4,20.9,18.3 i
Annual,From 55 to 64 years,Percentage of households,Portugal,17.2,18.0,:
Annual,From 55 to 64 years,Percentage of households,Romania,20.3,19.9,16.5 i
Annual,From 55 to 64 years,Percentage of households,Sweden,17.0,16.1,:
Annual,From 55 to 64 years,Percentage of households,Slovenia,19.5,20.5,20.7 i
Annual,From 55 to 64 years,Percentage of households,Slovakia,21.7,21.9,19.6 i
Annual,From 55 to 64 years,Percentage of households,United Kingdom,16.2,16.4,:
Annual,From 60 to 69 years,Percentage of households,Austria,14.4,15.2,18.3 i
Annual,From 60 to 69 years,Percentage of households,Belgium,15.0,16.2,17.8 i
Annual,From 60 to 69 years,Percentage of households,Bulgaria,:,20.3,19.6 i
Annual,From 60 to 69 years,Percentage of households,Cyprus,15.5,15.6,16.1 i
Annual,From 60 to 69 years,Percentage of households,Czechia,19.3,19.3,17.6 i
Annual,From 60 to 69 years,Percentage of households,Germany,17.4,16.1 i,18.4 i
Annual,From 60 to 69 years,Percentage of households,Denmark,15.9,16.2,16 i
Annual,From 60 to 69 years,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,16.9 i,18.2 i
Annual,From 60 to 69 years,Percentage of households,Euro area – 20 countries (from 2023),:,16.9 i,18.2 i
Annual,From 60 to 69 years,Percentage of households,Estonia,15.6,17 i,17.9 i
Annual,From 60 to 69 years,Percentage of households,Greece,16.1,18.4,19.3 i
Annual,From 60 to 69 years,Percentage of households,Spain,15.7,15.8,17.6 i
Annual,From 60 to 69 years,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,17.6 i,18.5 i
Annual,From 60 to 69 years,Percentage of households,European Union - 27 countries (from 2020),:,17.3 i,18.5 i
Annual,From 60 to 69 years,Percentage of households,Finland,17.9,17.5,:
Annual,From 60 to 69 years,Percentage of households,France,16.7,18.5,18.3 i
Annual,From 60 to 69 years,Percentage of households,Croatia,18.2,19.7,21.4 i
Annual,From 60 to 69 years,Percentage of households,Hungary,18.6,21.4,21.5 i
Annual,From 60 to 69 years,Percentage of households,Ireland,17.0,17.4,:
Annual,From 60 to 69 years,Percentage of households,Italy,16.4,:,:
Annual,From 60 to 69 years,Percentage of households,Lithuania,15.5,16.9,19.7 i
Annual,From 60 to 69 years,Percentage of households,Luxembourg,15.1,16.7,15.3 i
Annual,From 60 to 69 years,Percentage of households,Latvia,16.6,18.2,19.3 i
Annual,From 60 to 69 years,Percentage of households,Malta,20.2,20.1,17.8 i
Annual,From 60 to 69 years,Percentage of households,Netherlands,:,16.4,17.2 i
Annual,From 60 to 69 years,Percentage of households,Poland,16.1,20.7,20.5 i
Annual,From 60 to 69 years,Percentage of households,Portugal,15.9,17.3,:
Annual,From 60 to 69 years,Percentage of households,Romania,17.4,19.5,18.6 i
Annual,From 60 to 69 years,Percentage of households,Sweden,16.6,16.5,:
Annual,From 60 to 69 years,Percentage of households,Slovenia,15.6,18.1,18.6 i
Annual,From 60 to 69 years,Percentage of households,Slovakia,18.2,21.3,20.3 i
Annual,From 60 to 69 years,Percentage of households,United Kingdom,15.8,15.7,:
Annual,From 65 to 74 years,Percentage of households,Austria,14.1,13.7,14.4 i
Annual,From 65 to 74 years,Percentage of households,Belgium,12.2,13.5,15.5 i
Annual,From 65 to 74 years,Percentage of households,Bulgaria,:,19.0,19.5 i
Annual,From 65 to 74 years,Percentage of households,Cyprus,12.5,12.8,13.9 i
Annual,From 65 to 74 years,Percentage of households,Czechia,15.3,18.0,18.1 i
Annual,From 65 to 74 years,Percentage of households,Germany,19.8,14 i,14.5 i
Annual,From 65 to 74 years,Percentage of households,Denmark,12.2,16.2,14.7 i
Annual,From 65 to 74 years,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,14.9 i,15.7 i
Annual,From 65 to 74 years,Percentage of households,Euro area – 20 countries (from 2023),:,14.9 i,15.8 i
Annual,From 65 to 74 years,Percentage of households,Estonia,14.3,13.8 i,16.4 i
