Time frequency,Duration,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,France,77.8
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Croatia,62.4
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Hungary,84.7
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Ireland,78.0
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Lithuania,72.2
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Luxembourg,65.2
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Latvia,67.0
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Montenegro,72.0
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,North Macedonia,64.3
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Malta,43.7
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Netherlands,39.1
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Norway,38.3
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Poland,66.9
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Portugal,70.0
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Romania,86.0
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Serbia,82.0
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Sweden,63.7
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Slovenia,73.5
Annual,Less than 3 months,Median equivalised income,Below 60%,Percentage,Slovakia,78.3
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Albania,57.8
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Austria,23.8
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Belgium,40.3
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Bulgaria,80.6
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Switzerland,31.9
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Cyprus,37.2
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Czechia,39.5
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Germany,: u
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Denmark,42.2
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Estonia,51.7
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Greece,50.5
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Spain,45.5
Annual,Less than 3 months,Median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),46.2 u
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Finland,32.3
Annual,Less than 3 months,Median equivalised income,Total,Percentage,France,48.0
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Croatia,35.0
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Hungary,66.4
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Ireland,53.7
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Lithuania,50.1
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Luxembourg,32.6
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Latvia,54.1
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Montenegro,52.6
Annual,Less than 3 months,Median equivalised income,Total,Percentage,North Macedonia,46.1
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Malta,26.6
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Netherlands,24.1
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Norway,27.2
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Poland,52.0
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Portugal,47.9
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Romania,69.3
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Serbia,66.2
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Sweden,33.3
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Slovenia,55.5
Annual,Less than 3 months,Median equivalised income,Total,Percentage,Slovakia,46.6
