Time frequency,Risk of poverty threshold,Level of difficulty,Health problems,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Cyprus,15.8
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Czechia,18.1
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Germany,: u
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Denmark,25.3
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Euro area – 20 countries (from 2023),18.1 e
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Estonia,24.0
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Greece,15.9
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Spain,20.8
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,European Union - 27 countries (from 2020),18.5 e
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Finland,25.3
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,France,15.4
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Croatia,20.6
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Hungary,17.8
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Ireland,13.4
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Italy,15.5
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Lithuania,23.5
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Luxembourg,17.7
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Latvia,22.8
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Montenegro,12.1
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Malta,12.5
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Netherlands,18.9
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Norway,15.3
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Poland,17.6
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Portugal,9.2
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Romania,25.2
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Serbia,13.9
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Sweden,18.5
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Slovenia,23.9
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Slovakia,20.5
Annual,Total,Moderate or severe,Walking,Total,Total,Percentage,Türkiye,19.6
