Time frequency,Legal status,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Suspected person,Males,Number,Czechia,86.0,66.0,187.0,77.0,109.0,53.0,76.0
Annual,Suspected person,Males,Number,Germany,:,3124.0,3344.0,3298.0,3358.0,3954.0,4092.0
Annual,Suspected person,Males,Number,Denmark,28.0,7.0,1.0,1.0,1.0,2.0,0.0
Annual,Suspected person,Males,Number,Greece,493.0,:,:,329.0,654.0,665.0,440.0
Annual,Suspected person,Males,Number,Spain,95.0,99.0,133.0,70.0,33.0,61.0,75.0
Annual,Suspected person,Males,Number,Finland,68.0,5.0,11.0,16.0,19.0,150.0,23.0
Annual,Suspected person,Males,Number,France,213.0,120.0,303.0,289.0,244.0,384.0,261.0
Annual,Suspected person,Males,Number,Croatia,22.0,49.0,26.0,22.0,20.0,39.0,164.0
Annual,Suspected person,Males,Number,Hungary,205.0,249.0,104.0,444.0,2034.0,11510.0,1017.0
Annual,Suspected person,Males,Number,Italy,2538.0,2332.0,1920.0,2417.0,1855.0,1761.0,1920.0
Annual,Suspected person,Males,Number,Lithuania,15.0,45.0,15.0,30.0,173.0,132.0,140.0
Annual,Suspected person,Males,Number,Luxembourg,8.0,4.0,3.0,0.0,2.0,8.0,0.0
Annual,Suspected person,Males,Number,Latvia,236.0,136.0,131.0,115.0,119.0,151.0,141.0
Annual,Suspected person,Males,Number,Montenegro,2.0,3.0,4.0,2.0,5.0,8.0,20.0
Annual,Suspected person,Males,Number,Malta,:,:,:,:,:,:,16.0
Annual,Suspected person,Males,Number,Poland,981.0,870.0,702.0,673.0,706.0,526.0,674.0
Annual,Suspected person,Males,Number,Portugal,14.0,18.0,11.0,4.0,7.0,24.0,16.0
Annual,Suspected person,Males,Number,Serbia,132.0,83.0,241.0,203.0,123.0,105.0,60.0
Annual,Suspected person,Males,Number,Sweden,132.0,86.0,109.0,149.0,187.0,140.0,88.0
Annual,Suspected person,Males,Number,Slovenia,91.0,51.0,73.0,256.0,304.0,255.0,190.0
Annual,Suspected person,Males,Number,Slovakia,45.0,72.0,45.0,40.0,72.0,122.0,103.0
Annual,Suspected person,Males,Number,Türkiye,132.0,83.0,:,:,:,:,:
Annual,Suspected person,Males,Number,Kosovo*,140.0,44.0,41.0,25.0,35.0,48.0,:
Annual,Suspected person,Males,Per hundred thousand inhabitants,Albania,21.94,22.98,23.49,28.19,13.52,23.69,41.24
Annual,Suspected person,Males,Per hundred thousand inhabitants,Austria,0.44,0.79,1.01,2.64,1.1,1.5,5.11
Annual,Suspected person,Males,Per hundred thousand inhabitants,Belgium,0.81,0.55,0.8,0.99,0.55,0.74,0.49
Annual,Suspected person,Males,Per hundred thousand inhabitants,Bulgaria,2.96,3.3,4.44,3.0,2.55,2.54,2.2
Annual,Suspected person,Males,Per hundred thousand inhabitants,Switzerland,0.39,0.67,0.43,0.26,0.4,1.02,1.2
Annual,Suspected person,Males,Per hundred thousand inhabitants,Cyprus,16.48,11.28,4.98,6.31,5.75,2.51,5.21
Annual,Suspected person,Males,Per hundred thousand inhabitants,Czechia,1.66,1.27,3.58,1.47,2.07,1.02,1.47
Annual,Suspected person,Males,Per hundred thousand inhabitants,Germany,:,7.68,8.19,8.05,8.18,9.64,9.96
Annual,Suspected person,Males,Per hundred thousand inhabitants,Denmark,0.99,0.24,0.03,0.03,0.03,0.07,0.0
Annual,Suspected person,Males,Per hundred thousand inhabitants,Greece,9.44,:,:,6.32,12.54,12.8,8.6
Annual,Suspected person,Males,Per hundred thousand inhabitants,Spain,0.42,0.43,0.58,0.3,0.14,0.26,0.32
Annual,Suspected person,Males,Per hundred thousand inhabitants,Finland,2.52,0.18,0.4,0.59,0.7,5.49,0.84
Annual,Suspected person,Males,Per hundred thousand inhabitants,France,0.66,0.37,0.93,0.89,0.75,1.17,0.79
Annual,Suspected person,Males,Per hundred thousand inhabitants,Croatia,1.09,2.44,1.31,1.12,1.01,1.98,8.81
Annual,Suspected person,Males,Per hundred thousand inhabitants,Hungary,4.37,5.33,2.23,9.5,43.45,246.79,21.9
Annual,Suspected person,Males,Per hundred thousand inhabitants,Italy,8.62,7.92,6.52,8.3,6.39,6.1,6.66
Annual,Suspected person,Males,Per hundred thousand inhabitants,Lithuania,1.13,3.43,1.16,2.32,13.26,10.05,10.71
Annual,Suspected person,Males,Per hundred thousand inhabitants,Luxembourg,2.77,1.35,0.99,0.0,0.63,2.5,0.0
Annual,Suspected person,Males,Per hundred thousand inhabitants,Latvia,26.1,15.18,14.73,13.0,13.51,17.25,16.22
Annual,Suspected person,Males,Per hundred thousand inhabitants,Montenegro,0.65,0.97,1.3,0.65,1.63,2.61,6.55
Annual,Suspected person,Males,Per hundred thousand inhabitants,Malta,:,:,:,:,:,:,5.92
Annual,Suspected person,Males,Per hundred thousand inhabitants,Poland,5.34,4.73,3.82,3.66,3.84,2.87,3.7
Annual,Suspected person,Males,Per hundred thousand inhabitants,Portugal,0.29,0.37,0.23,0.08,0.14,0.49,0.32
Annual,Suspected person,Males,Per hundred thousand inhabitants,Serbia,3.83,2.42,7.07,5.98,3.64,3.14,1.81
Annual,Suspected person,Males,Per hundred thousand inhabitants,Sweden,2.68,1.72,2.14,2.9,3.6,2.68,1.67
Annual,Suspected person,Males,Per hundred thousand inhabitants,Slovenia,8.89,4.98,7.11,24.65,28.92,24.06,17.96
Annual,Suspected person,Males,Per hundred thousand inhabitants,Slovakia,1.7,2.72,1.69,1.5,2.7,4.58,3.88
Annual,Suspected person,Males,Per hundred thousand inhabitants,Türkiye,0.33,0.21,:,:,:,:,:
Annual,Suspected person,Males,Per hundred thousand inhabitants,Kosovo*,15.85,4.99,4.62,2.82,4.0,5.43,:
Annual,Suspected person,Total,Number,Albania,358.0,367.0,378.0,430.0,204.0,347.0,586.0
Annual,Suspected person,Total,Number,Austria,23.0,37.0,55.0,132.0,53.0,79.0,340.0
Annual,Suspected person,Total,Number,Bosnia and Herzegovina,47.0,76.0,31.0,96.0,97.0,181.0,113.0
Annual,Suspected person,Total,Number,Belgium,48.0,42.0,51.0,61.0,34.0,52.0,30.0
Annual,Suspected person,Total,Number,Bulgaria,121.0,121.0,163.0,118.0,96.0,88.0,80.0
Annual,Suspected person,Total,Number,Switzerland,19.0,30.0,21.0,14.0,18.0,46.0,63.0
Annual,Suspected person,Total,Number,Cyprus,80.0,52.0,24.0,29.0,30.0,13.0,29.0
Annual,Suspected person,Total,Number,Czechia,97.0,75.0,250.0,104.0,132.0,75.0,92.0
Annual,Suspected person,Total,Number,Germany,2545.0,3771.0,3982.0,4025.0,4063.0,4704.0,5046.0
Annual,Suspected person,Total,Number,Denmark,30.0,7.0,2.0,1.0,2.0,2.0,0.0
Annual,Suspected person,Total,Number,Greece,558.0,81.0,62.0,372.0,728.0,812.0,526.0
Annual,Suspected person,Total,Number,Spain,111.0,111.0,155.0,76.0,35.0,68.0,89.0
Annual,Suspected person,Total,Number,Finland,76.0,5.0,15.0,17.0,21.0,156.0,25.0
Annual,Suspected person,Total,Number,France,235.0,140.0,389.0,348.0,290.0,475.0,316.0
Annual,Suspected person,Total,Number,Croatia,24.0,61.0,28.0,24.0,22.0,44.0,257.0
Annual,Suspected person,Total,Number,Hungary,235.0,309.0,118.0,511.0,2155.0,11675.0,1174.0
Annual,Suspected person,Total,Number,Italy,2844.0,2674.0,2254.0,2827.0,2149.0,2081.0,2522.0
Annual,Suspected person,Total,Number,Lithuania,20.0,53.0,25.0,37.0,199.0,164.0,184.0
Annual,Suspected person,Total,Number,Luxembourg,9.0,4.0,3.0,1.0,4.0,8.0,0.0
Annual,Suspected person,Total,Number,Latvia,255.0,168.0,147.0,128.0,131.0,193.0,174.0
Annual,Suspected person,Total,Number,Montenegro,2.0,4.0,4.0,2.0,6.0,8.0,22.0
Annual,Suspected person,Total,Number,Malta,:,:,:,:,:,:,18.0
Annual,Suspected person,Total,Number,Poland,1182.0,1062.0,823.0,816.0,940.0,664.0,917.0
Annual,Suspected person,Total,Number,Portugal,56.0,64.0,50.0,63.0,52.0,70.0,61.0
Annual,Suspected person,Total,Number,Romania,770.0,559.0,497.0,405.0,550.0,494.0,389.0
Annual,Suspected person,Total,Number,Serbia,147.0,99.0,305.0,222.0,144.0,123.0,69.0
Annual,Suspected person,Total,Number,Sweden,180.0,113.0,118.0,177.0,207.0,162.0,114.0
Annual,Suspected person,Total,Number,Slovenia,107.0,57.0,89.0,270.0,320.0,265.0,240.0
Annual,Suspected person,Total,Number,Slovakia,64.0,95.0,54.0,59.0,101.0,148.0,114.0
Annual,Suspected person,Total,Number,Türkiye,147.0,99.0,:,:,:,:,:
Annual,Suspected person,Total,Number,Kosovo*,156.0,47.0,42.0,27.0,35.0,57.0,:
Annual,Suspected person,Total,Per hundred thousand inhabitants,Albania,12.45,12.76,13.17,15.02,7.17,12.26,20.98
Annual,Suspected person,Total,Per hundred thousand inhabitants,Austria,0.26,0.42,0.62,1.49,0.6,0.88,3.79
Annual,Suspected person,Total,Per hundred thousand inhabitants,Belgium,0.42,0.37,0.45,0.53,0.3,0.45,0.26
Annual,Suspected person,Total,Per hundred thousand inhabitants,Bulgaria,1.69,1.7,2.31,1.69,1.38,1.27,1.17
Annual,Suspected person,Total,Per hundred thousand inhabitants,Switzerland,0.23,0.36,0.25,0.16,0.21,0.53,0.72
Annual,Suspected person,Total,Per hundred thousand inhabitants,Cyprus,9.43,6.08,2.78,3.31,3.38,1.45,3.21
Annual,Suspected person,Total,Per hundred thousand inhabitants,Czechia,0.92,0.71,2.36,0.98,1.23,0.71,0.87
Annual,Suspected person,Total,Per hundred thousand inhabitants,Germany,3.1,4.57,4.81,4.85,4.89,5.66,6.06
Annual,Suspected person,Total,Per hundred thousand inhabitants,Denmark,0.53,0.12,0.03,0.02,0.03,0.03,0.0
Annual,Suspected person,Total,Per hundred thousand inhabitants,Greece,5.17,0.75,0.58,3.47,6.79,7.6,5.03
Annual,Suspected person,Total,Per hundred thousand inhabitants,Spain,0.24,0.24,0.33,0.16,0.07,0.14,0.19
Annual,Suspected person,Total,Per hundred thousand inhabitants,Finland,1.39,0.09,0.27,0.31,0.38,2.82,0.45
Annual,Suspected person,Total,Per hundred thousand inhabitants,France,0.35,0.21,0.58,0.52,0.43,0.7,0.47
Annual,Suspected person,Total,Per hundred thousand inhabitants,Croatia,0.57,1.47,0.68,0.59,0.54,1.09,6.65
Annual,Suspected person,Total,Per hundred thousand inhabitants,Hungary,2.39,3.15,1.21,5.23,22.06,119.98,12.12
Annual,Suspected person,Total,Per hundred thousand inhabitants,Italy,4.69,4.41,3.73,4.73,3.6,3.51,4.27
Annual,Suspected person,Total,Per hundred thousand inhabitants,Lithuania,0.69,1.86,0.89,1.32,7.12,5.87,6.56
Annual,Suspected person,Total,Per hundred thousand inhabitants,Luxembourg,1.56,0.68,0.5,0.16,0.64,1.26,0.0
Annual,Suspected person,Total,Per hundred thousand inhabitants,Latvia,12.95,8.61,7.6,6.67,6.87,10.19,9.28
Annual,Suspected person,Total,Per hundred thousand inhabitants,Montenegro,0.32,0.64,0.64,0.32,0.96,1.29,3.56
Annual,Suspected person,Total,Per hundred thousand inhabitants,Malta,:,:,:,:,:,:,3.46
Annual,Suspected person,Total,Per hundred thousand inhabitants,Poland,3.11,2.8,2.17,2.15,2.48,1.75,2.44
Annual,Suspected person,Total,Per hundred thousand inhabitants,Portugal,0.54,0.62,0.49,0.61,0.51,0.68,0.59
Annual,Suspected person,Total,Per hundred thousand inhabitants,Romania,3.9,2.85,2.54,2.09,2.85,2.57,2.04
Annual,Suspected person,Total,Per hundred thousand inhabitants,Serbia,2.08,1.41,4.36,3.19,2.08,1.79,1.02
Annual,Suspected person,Total,Per hundred thousand inhabitants,Sweden,1.83,1.13,1.17,1.73,2.0,1.56,1.09
Annual,Suspected person,Total,Per hundred thousand inhabitants,Slovenia,5.18,2.76,4.31,12.98,15.27,12.57,11.39
Annual,Suspected person,Total,Per hundred thousand inhabitants,Slovakia,1.18,1.75,0.99,1.08,1.85,2.71,2.1
Annual,Suspected person,Total,Per hundred thousand inhabitants,Türkiye,0.19,0.12,:,:,:,:,:
Annual,Suspected person,Total,Per hundred thousand inhabitants,Kosovo*,8.81,2.64,2.34,1.5,1.96,3.17,:
