Time frequency,Income and living conditions indicator,Sex,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Latvia,11.2,11.9,12.1,15.8,20.4,21.7,23.7,25.5,26.0,26.0,25.7,24.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Montenegro,:,29.4,16.5,25.6,26.7,25.6,23.1,24.6,20.3,20.7,23.7,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,North Macedonia,25.7,26.0,22.5,23.8,25.1,26.1,26.3,26.2,24.9,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Malta,17.4,14.3,11.2,13.1,11.6,12.7,10.3,11.5,11.0,10.9,12.6,19.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Netherlands,12.5,10.0,16.1,12.3,11.4 b,10.4,13.1,14.2,12.5,11.7,11.4,8.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Norway,9.1,8.8,9.1,9.1,9.3,7.5,7.0,8.0,9.0,9.2 b,7.4,7.9 b
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Poland,14.9,16.7,14.7,14.9,16.3,15.8,15.3,18.1,17.1,16.6,16.1,16.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Portugal,11.4,13.4,20.6,18.2,18.0,15.4,16.4,15.8,17.7,19.3,17.7,17.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Romania,18.1,17.5,20.2,21.6,20.1,21.8,24.8,23.5,23.0,24.9,22.8,24.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Serbia,:,26.9,25.7,26.7,29.2,28.1,27.8,27.8,24.2,24.3,22.3,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Sweden,11.0,11.3,9.9,9.4,10.9,10.7,11.8,10.8,10.8,11.9,14.2,16.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Slovenia,18.9,18.9,18.1,18.1,19.1,17.9,17.2,16.1,15.2,14.2,14.0,15.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Slovakia,12.4,7.9,10.5,10.4,10.3,9.6,7.4,12.4,12.8,26.6,12.7,15.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,Türkiye,35.0,30.6,32.4,31.3,31.6,31.1,31.3,30.4,35.0,23.1,22.9,22.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,65 years or over,United Kingdom,18.2 b,17.7,18.8,19.6,20.8,16.4 b,21.0,:,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Albania,:,:,:,:,:,34.6,33.8,29.3,26.8,27.5,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Austria,16.3,18.1,17.6,20.5,19.9,19.9,21.8,25.2,24.7,24.5,25.9,19.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Belgium,19.2,21.3,18.8,18.0,18.6,18.7,20.4,15.4 b,15.6,14.2,21.2,15.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Bulgaria,41.9,41.7,43.4,37.8,42.9 b,42.8,39.7,38.7,38.9,33.7,42.8,31.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Switzerland,20.8,14.6,14.3 b,17.6,21.6,22.9,21.1,18.1,22.1,23.9,19.8,23.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Cyprus,19.3,20.6,20.4,22.2,17.2,15.0,21.7,16.1,18.7,16.7,18.1,15.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Czechia,20.5,19.8,20.1,24.9,25.9,22.5,19.0,15.0,17.4,23.0,22.9,23.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,Percentage,Less than 18 years,Germany,17.4,16.4,19.6,18.2,16.8,14.6,17.8,15.8,23.6 b,20.1,16.8,18.8
