Time frequency,Country/region of birth,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Reporting country,Females,Percentage,Portugal,3.6
Annual,Reporting country,Females,Percentage,Romania,2.1
Annual,Reporting country,Females,Percentage,Sweden,8.3
Annual,Reporting country,Females,Percentage,Slovenia,5.0
Annual,Reporting country,Females,Percentage,Slovakia,1.4
Annual,Reporting country,Males,Percentage,Austria,4.5
Annual,Reporting country,Males,Percentage,Belgium,3.1
Annual,Reporting country,Males,Percentage,Bulgaria,1.6
Annual,Reporting country,Males,Percentage,Cyprus,12.5
Annual,Reporting country,Males,Percentage,Czechia,3.3
Annual,Reporting country,Males,Percentage,Germany,4.1
Annual,Reporting country,Males,Percentage,Denmark,9.3
Annual,Reporting country,Males,Percentage,Euro area – 20 countries (from 2023),4.4
Annual,Reporting country,Males,Percentage,Estonia,5.7
Annual,Reporting country,Males,Percentage,Greece,1.3
Annual,Reporting country,Males,Percentage,Spain,6.0
Annual,Reporting country,Males,Percentage,European Union - 27 countries (from 2020),4.1
Annual,Reporting country,Males,Percentage,Finland,10.9
Annual,Reporting country,Males,Percentage,France,8.1
Annual,Reporting country,Males,Percentage,Croatia,2.6 u
Annual,Reporting country,Males,Percentage,Hungary,0.9
Annual,Reporting country,Males,Percentage,Ireland,5.3 u
Annual,Reporting country,Males,Percentage,Italy,0.8
Annual,Reporting country,Males,Percentage,Lithuania,6.5 u
Annual,Reporting country,Males,Percentage,Luxembourg,4.4
Annual,Reporting country,Males,Percentage,Latvia,3.9
Annual,Reporting country,Males,Percentage,Malta,2.4
Annual,Reporting country,Males,Percentage,Netherlands,5.4
Annual,Reporting country,Males,Percentage,Norway,5.7
Annual,Reporting country,Males,Percentage,Poland,0.8 u
Annual,Reporting country,Males,Percentage,Portugal,3.4
Annual,Reporting country,Males,Percentage,Romania,2.0
Annual,Reporting country,Males,Percentage,Sweden,7.2
Annual,Reporting country,Males,Percentage,Slovenia,3.9
Annual,Reporting country,Males,Percentage,Slovakia,1.2
Annual,Reporting country,Total,Percentage,Austria,4.0
Annual,Reporting country,Total,Percentage,Belgium,3.4
Annual,Reporting country,Total,Percentage,Bulgaria,1.5
Annual,Reporting country,Total,Percentage,Cyprus,12.9
Annual,Reporting country,Total,Percentage,Czechia,3.5
Annual,Reporting country,Total,Percentage,Germany,4.1
Annual,Reporting country,Total,Percentage,Denmark,9.3
Annual,Reporting country,Total,Percentage,Euro area – 20 countries (from 2023),4.4
Annual,Reporting country,Total,Percentage,Estonia,5.1
Annual,Reporting country,Total,Percentage,Greece,1.3
Annual,Reporting country,Total,Percentage,Spain,6.0
Annual,Reporting country,Total,Percentage,European Union - 27 countries (from 2020),4.1
Annual,Reporting country,Total,Percentage,Finland,10.6
Annual,Reporting country,Total,Percentage,France,8.0
Annual,Reporting country,Total,Percentage,Croatia,2.4 u
Annual,Reporting country,Total,Percentage,Hungary,0.8
Annual,Reporting country,Total,Percentage,Ireland,6.0 u
Annual,Reporting country,Total,Percentage,Italy,0.8
Annual,Reporting country,Total,Percentage,Lithuania,6.1 u
Annual,Reporting country,Total,Percentage,Luxembourg,4.9
Annual,Reporting country,Total,Percentage,Latvia,4.4
Annual,Reporting country,Total,Percentage,Malta,2.5
Annual,Reporting country,Total,Percentage,Netherlands,5.8
Annual,Reporting country,Total,Percentage,Norway,5.7
Annual,Reporting country,Total,Percentage,Poland,0.8 u
Annual,Reporting country,Total,Percentage,Portugal,3.5
Annual,Reporting country,Total,Percentage,Romania,2.1
Annual,Reporting country,Total,Percentage,Sweden,7.8
Annual,Reporting country,Total,Percentage,Slovenia,4.4
Annual,Reporting country,Total,Percentage,Slovakia,1.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Austria,14.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Belgium,8.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Bulgaria,1.8 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Cyprus,3.1
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Czechia,7.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Germany,7.5
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Denmark,12.4
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Euro area – 20 countries (from 2023),10.8
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Estonia,9.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Greece,7.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Spain,16.5
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,European Union - 27 countries (from 2020),10.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Finland,10.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,France,16.4
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Croatia,5.7 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Hungary,0.0 n
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Ireland,15.6 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Italy,5.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Lithuania,11.5 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Luxembourg,13.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Latvia,6.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Malta,6.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Netherlands,14.1
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Norway,17.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Poland,4.1 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Portugal,10.1
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Romania,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Sweden,10.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Slovenia,7.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Females,Percentage,Slovakia,8.5 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Austria,15.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Belgium,8.5
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Bulgaria,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Cyprus,6.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Czechia,9.4
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Germany,8.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Denmark,9.6
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Euro area – 20 countries (from 2023),11.8
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Estonia,6.8
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Greece,12.8
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Spain,18.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,European Union - 27 countries (from 2020),12.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Finland,15.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,France,18.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Croatia,8.6 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Hungary,0.0 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Ireland,11.0 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Italy,6.5
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Lithuania,9.2 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Luxembourg,11.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Latvia,4.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Malta,6.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Netherlands,14.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Norway,17.1
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Poland,0.0 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Portugal,10.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Romania,: u
