Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2012.0,2017.0
Annual,Total,Hectare,50 years or over,Olives for oil,Kentriki Elláda,:,163710.2
Annual,Total,Hectare,50 years or over,Olives for oil,Spain,:,1298547.48
Annual,Total,Hectare,50 years or over,Olives for oil,Noreste,:,37698.43
Annual,Total,Hectare,50 years or over,Olives for oil,Comunidad de Madrid,:,20378.65
Annual,Total,Hectare,50 years or over,Olives for oil,Centro (ES),:,379107.23
Annual,Total,Hectare,50 years or over,Olives for oil,Este,:,82640.66
Annual,Total,Hectare,50 years or over,Olives for oil,Sur,:,778722.51
Annual,Total,Hectare,50 years or over,Olives for oil,Croatia,:,7073.57
Annual,Total,Hectare,50 years or over,Olives for oil,Italy,:,649102.04
Annual,Total,Hectare,50 years or over,Olives for oil,Nord-Ovest,:,9618.49
Annual,Total,Hectare,50 years or over,Olives for oil,Sud,:,449309.51
Annual,Total,Hectare,50 years or over,Olives for oil,Isole,:,86059.35
Annual,Total,Hectare,50 years or over,Olives for oil,Nord-Est,:,2918.91
Annual,Total,Hectare,50 years or over,Olives for oil,Centro (IT),:,101195.79
Annual,Total,Hectare,50 years or over,Olives for oil,Slovenia,:,105.96
Annual,Total,Hectare,50 years or over,Table olives,Cyprus,:,26.41
Annual,Total,Hectare,50 years or over,Table olives,Greece,:,32802.44
Annual,Total,Hectare,50 years or over,Table olives,Attiki,:,318.08
Annual,Total,Hectare,50 years or over,Table olives,"Nisia Aigaiou, Kriti",:,543.87
Annual,Total,Hectare,50 years or over,Table olives,Voreia Elláda,:,3189.09
Annual,Total,Hectare,50 years or over,Table olives,Kentriki Elláda,:,28751.4
Annual,Total,Hectare,50 years or over,Table olives,Spain,:,46314.15
Annual,Total,Hectare,50 years or over,Table olives,Noreste,:,801.37
Annual,Total,Hectare,50 years or over,Table olives,Centro (ES),:,10866.51
Annual,Total,Hectare,50 years or over,Table olives,Este,:,108.14
Annual,Total,Hectare,50 years or over,Table olives,Sur,:,34538.13
Annual,Total,Hectare,50 years or over,Table olives,France,:,5864.44
Annual,Total,Hectare,50 years or over,Table olives,Bassin Parisien (NUTS 2013),:,14.33
Annual,Total,Hectare,50 years or over,Table olives,Centre-Est (FR) (NUTS 2013),:,608.58
Annual,Total,Hectare,50 years or over,Table olives,Méditerranée (NUTS 2013),:,5241.53
Annual,Total,Hectare,50 years or over,Table olives,Croatia,:,19.7
Annual,Total,Hectare,50 years or over,Table olives,Italy,:,3403.67
Annual,Total,Hectare,50 years or over,Table olives,Sud,:,1735.35
Annual,Total,Hectare,50 years or over,Table olives,Isole,:,521.92
Annual,Total,Hectare,50 years or over,Table olives,Nord-Est,:,1.27
Annual,Total,Hectare,50 years or over,Table olives,Centro (IT),:,1145.13
Annual,Total,Hectare,Less than 5 years,Olive trees,Cyprus,645.73,605.38
Annual,Total,Hectare,Less than 5 years,Olive trees,Greece,7059.61,13035.31
Annual,Total,Hectare,Less than 5 years,Olive trees,Voreia Ellada (NUTS 2010),632.31,:
Annual,Total,Hectare,Less than 5 years,Olive trees,Kentriki Ellada (NUTS 2010),4034.35,:
Annual,Total,Hectare,Less than 5 years,Olive trees,Attiki,218.94,1552.89
Annual,Total,Hectare,Less than 5 years,Olive trees,"Nisia Aigaiou, Kriti",2174.01,3679.43
Annual,Total,Hectare,Less than 5 years,Olive trees,Voreia Elláda,632.31,1229.46
Annual,Total,Hectare,Less than 5 years,Olive trees,Kentriki Elláda,4034.35,6573.53
Annual,Total,Hectare,Less than 5 years,Olive trees,Spain,78828.43,110810.7
Annual,Total,Hectare,Less than 5 years,Olive trees,Noroeste,3.47,12.78
Annual,Total,Hectare,Less than 5 years,Olive trees,Noreste,3502.99,1975.99
Annual,Total,Hectare,Less than 5 years,Olive trees,Comunidad de Madrid,168.7,446.29
Annual,Total,Hectare,Less than 5 years,Olive trees,Centro (ES),27669.78,30931.1
Annual,Total,Hectare,Less than 5 years,Olive trees,Este,5983.15,4249.92
Annual,Total,Hectare,Less than 5 years,Olive trees,Sur,41470.14,73179.11
Annual,Total,Hectare,Less than 5 years,Olive trees,Canarias,30.2,15.51
Annual,Total,Hectare,Less than 5 years,Olive trees,European Union - 27 countries (from 2020),:,175968.26
Annual,Total,Hectare,Less than 5 years,Olive trees,European Union - 28 countries (2013-2020),131189.91,175968.26
Annual,Total,Hectare,Less than 5 years,Olive trees,France,:,705.25
Annual,Total,Hectare,Less than 5 years,Olive trees,Sud-Ouest (FR) (NUTS 2013),:,15.21
Annual,Total,Hectare,Less than 5 years,Olive trees,Centre-Est (FR) (NUTS 2013),:,43.32
Annual,Total,Hectare,Less than 5 years,Olive trees,Méditerranée (NUTS 2013),:,646.72
Annual,Total,Hectare,Less than 5 years,Olive trees,Croatia,2346.0,912.1
Annual,Total,Hectare,Less than 5 years,Olive trees,Italy,12911.71,8891.07
Annual,Total,Hectare,Less than 5 years,Olive trees,Nord-Ovest,191.7,55.13
Annual,Total,Hectare,Less than 5 years,Olive trees,Sud,3355.44,4069.03
Annual,Total,Hectare,Less than 5 years,Olive trees,Isole,2651.61,2624.16
Annual,Total,Hectare,Less than 5 years,Olive trees,Nord-Est,759.88,311.97
Annual,Total,Hectare,Less than 5 years,Olive trees,Centro (IT),5953.08,1830.77
Annual,Total,Hectare,Less than 5 years,Olive trees,Portugal,29398.43,40868.03
Annual,Total,Hectare,Less than 5 years,Olive trees,Continente,:,40868.03
Annual,Total,Hectare,Less than 5 years,Olive trees,Slovenia,:,140.41
Annual,Total,Hectare,Less than 5 years,Olives for oil,Cyprus,:,594.59
Annual,Total,Hectare,Less than 5 years,Olives for oil,Greece,:,10767.84
Annual,Total,Hectare,Less than 5 years,Olives for oil,Attiki,:,1552.89
Annual,Total,Hectare,Less than 5 years,Olives for oil,"Nisia Aigaiou, Kriti",:,3679.43
Annual,Total,Hectare,Less than 5 years,Olives for oil,Voreia Elláda,:,1117.63
Annual,Total,Hectare,Less than 5 years,Olives for oil,Kentriki Elláda,:,4417.89
Annual,Total,Hectare,Less than 5 years,Olives for oil,Spain,:,102335.88
Annual,Total,Hectare,Less than 5 years,Olives for oil,Noroeste,:,12.78
Annual,Total,Hectare,Less than 5 years,Olives for oil,Noreste,:,1839.87
Annual,Total,Hectare,Less than 5 years,Olives for oil,Comunidad de Madrid,:,446.29
Annual,Total,Hectare,Less than 5 years,Olives for oil,Centro (ES),:,30292.08
Annual,Total,Hectare,Less than 5 years,Olives for oil,Este,:,4208.69
Annual,Total,Hectare,Less than 5 years,Olives for oil,Sur,:,65520.66
Annual,Total,Hectare,Less than 5 years,Olives for oil,Canarias,:,15.51
Annual,Total,Hectare,Less than 5 years,Olives for oil,Croatia,:,900.09
Annual,Total,Hectare,Less than 5 years,Olives for oil,Italy,:,8815.84
Annual,Total,Hectare,Less than 5 years,Olives for oil,Nord-Ovest,:,55.13
Annual,Total,Hectare,Less than 5 years,Olives for oil,Sud,:,4023.15
Annual,Total,Hectare,Less than 5 years,Olives for oil,Isole,:,2624.16
Annual,Total,Hectare,Less than 5 years,Olives for oil,Nord-Est,:,311.97
Annual,Total,Hectare,Less than 5 years,Olives for oil,Centro (IT),:,1801.43
Annual,Total,Hectare,Less than 5 years,Olives for oil,Slovenia,:,140.41
Annual,Total,Hectare,Less than 5 years,Table olives,Cyprus,:,10.78
Annual,Total,Hectare,Less than 5 years,Table olives,Greece,:,2267.47
Annual,Total,Hectare,Less than 5 years,Table olives,Voreia Elláda,:,111.83
Annual,Total,Hectare,Less than 5 years,Table olives,Kentriki Elláda,:,2155.64
Annual,Total,Hectare,Less than 5 years,Table olives,Spain,:,8474.83
Annual,Total,Hectare,Less than 5 years,Table olives,Noreste,:,136.13
Annual,Total,Hectare,Less than 5 years,Table olives,Centro (ES),:,639.02
Annual,Total,Hectare,Less than 5 years,Table olives,Este,:,41.23
Annual,Total,Hectare,Less than 5 years,Table olives,Sur,:,7658.46
Annual,Total,Hectare,Less than 5 years,Table olives,France,:,705.25
Annual,Total,Hectare,Less than 5 years,Table olives,Sud-Ouest (FR) (NUTS 2013),:,15.21
Annual,Total,Hectare,Less than 5 years,Table olives,Centre-Est (FR) (NUTS 2013),:,43.32
Annual,Total,Hectare,Less than 5 years,Table olives,Méditerranée (NUTS 2013),:,646.72
Annual,Total,Hectare,Less than 5 years,Table olives,Croatia,:,12.01
Annual,Total,Hectare,Less than 5 years,Table olives,Italy,:,75.22
Annual,Total,Hectare,Less than 5 years,Table olives,Sud,:,45.88
Annual,Total,Hectare,Less than 5 years,Table olives,Centro (IT),:,29.34
