Time frequency,Unit of measure,Consolidated/Non consolidated,National accounts indicator (ESA 2010),Financial position,Sector,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Luxembourg,37.3,36.5,36.8,35.9,37.2,37.9,38.2,38.6,42.1,42.9,44.9,44.9,50.1,50.8,54.5,54.3,55.7,57.5,56.7,58.4,58.8,60.3,62.4,65.5,67.1,68.8,66.5,66.8,67.9
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Latvia,1.4,1.3,1.7,2.5,3.3,5.5,6.1,9.0,20.9,18.0,28.3,41.0,44.1,43.4,50.5,48.3,41.0,33.7,30.1,27.2,26.7,24.5,23.3,20.9,20.3,20.4,20.0,18.9,18.4
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Malta,15.7 p,17.9 p,18.5 p,19.9 p,22.1 p,23.6 p,26.8 p,28.8 p,37.0 p,41.3,44.6,49.7,51.8,53.4,58.8,57.0,58.4,58.1,55.8,53.1,49.1,48.3,50.2,50.5,53.6,57.4,53.1,52.2,49.0
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,124.2,121.4,119.0,117.5,116.4,114.2,111.4,108.0,113.0,107.4,100.0,94.1 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Poland,2.2,3.6,4.4,6.1,6.0,6.9,8.4,12.3,12.8,13.1,14.9,18.2,22.5,29.8,31.3,34.0,34.9,33.9,35.1,35.5,35.5,36.2,34.4,34.3,33.7,33.9,31.5,25.9,23.4
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Portugal,28.3,32.7,37.2,43.9,52.7,58.7,63.4,67.3,71.3,75.6,79.7,82.7,85.6,87.7,90.9,89.7,89.3,88.6,83.9,79.3,74.5,70.2,67.1,64.1,61.8,67.1,64.9,59.6,54.4 e
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Romania,0.8 e,1.0 e,0.9 e,1.3,0.7,0.8,0.8,2.2,5.1,6.3,9.8,13.1,17.8,20.4,21.3,22.2,20.7,19.7,19.3,17.9,17.3,16.9,16.2,15.7,15.3,16.0,15.7,14.1,12.5 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Sweden,43.4,43.3,43.8,44.2,45.6,46.7,48.8,50.7,53.3,56.3,60.3,62.6,64.6,68.3,75.6,76.0,76.6,79.3,81.2,82.4,82.6,85.6,87.7,88.4,88.5,93.6,91.9,88.8,84.3
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Slovenia,:,:,:,:,:,:,15.2,15.3,15.6,16.2,18.7,21.5,24.4,25.5,28.5,30.2,29.8,30.7,29.6,28.3,27.6,27.3,27.2,27.0,26.8,27.8,26.3,25.8,23.8
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Households,Slovakia,3.3,2.9,3.4,3.9,3.4,4.1,5.7,5.6,7.0,8.1,12.2,13.8,17.8,20.6,23.3,24.0,25.6,27.4,29.0,31.5,33.3,37.2,39.8,41.3,42.6,45.2,45.4,46.1,43.2
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Austria,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.7,0.7,0.9,0.8,0.7,0.7,0.8,0.7,0.5,0.4
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.8,0.8,0.8,0.8,0.7,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.5,0.8,0.5,0.2,0.1,0.1,0.0,0.0
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Cyprus,0.6,0.6,0.7,0.8,1.2,1.3,1.3,1.4,1.4,1.0,1.2,1.2,1.2,1.2,1.2,1.2,1.4,1.7,1.9,1.9,1.5,0.9,0.7,0.4,0.3,0.5,0.4,0.3,0.3 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Czechia,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Germany,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5 p,0.5 p,0.4 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Denmark,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1.0,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.5,0.5
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Estonia,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.8,1.1,1.4,1.7,2.1,1.9,1.7,1.4,1.4,1.4,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.5,1.6
