Time frequency,Economical indicator for structural business statistics,Place of residence,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Total,Database activities,France,612.2,:
Annual,Turnover or gross premiums written - million euro,Total,Database activities,Luxembourg,:,7.6
Annual,Turnover or gross premiums written - million euro,Total,Database activities,Portugal,:,10.1
Annual,Turnover or gross premiums written - million euro,Total,Database activities,Sweden,152.7,:
Annual,Turnover or gross premiums written - million euro,Total,Database activities,United Kingdom,:,776.6
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Denmark,:,54.8
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Spain,:,664.6
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",France,1514.4,:
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Luxembourg,:,31.3
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Portugal,:,72.6
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",Sweden,334.0,:
Annual,Turnover or gross premiums written - million euro,Total,"Maintenance and repair of office, accounting and computing machinery",United Kingdom,:,2030.5
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,Denmark,:,261.9
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,Luxembourg,:,346.5
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,Portugal,:,127.1
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,Sweden,126.8,:
Annual,Turnover or gross premiums written - million euro,Total,Other computer related activities,United Kingdom,:,12530.0
