Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Country of residence,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Poland,60556834.0,61360006.0,64892893.0,69430648.0,77233118.0,81486259.0,86257083.0,90443582.0,50765199.0,62122115.0,87885864.0,90213131.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Portugal,43352964.0,45929227.0,50232219.0,54319503.0,60078274.0,64132641.0,65374764.0,67095015.0,28140705.0,40064451.0,67424643.0,72046159.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Romania,18462099.0,18623928.0,19315802.0,22223199.0,23988791.0,25485727.0,27026109.0,28417638.0,14227470.0,21985161.0,25581386.0,28090005.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Serbia,6178349.0,6120218.0,5693144.0,6288650.0,7148373.0,:,:,:,5977489.0,7588242.0,11233045.0,11444026.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Sweden,46594486.0,47619960.0,49767419.0,52598162.0,53897889.0,54865824.0,56572731.0,59269187.0,38480669.0,48681139.0,60327011.0,60676996.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Slovenia,8875593.0,8872429.0,8773927.0,9375623.0,10079157.0,11333697.0,:,14203068.0,9031172.0,10992878.0,14763043.0,14913064.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Slovakia,10341819.0,10916070.0,10398205.0,11637734.0,13325129.0,13999626.0,14518286.0,16515407.0,9325974.0,7810078.0,12013797.0,13919830.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,Türkiye,:,:,:,:,:,:,163619206.0,180950118.0,87212654.0,156438529.0,205842662.0,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Europe,United Kingdom,264489184.0,:,340289010.0,348068470.0,361452050.0,:,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Albania,:,:,:,:,:,:,2143467 e,:,805416 e,:,:,3906595 e
