Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2012.0,2017.0
Annual,Total,Hectare,Total,White table grape vines,Latvia,0.0,:
Annual,Total,Hectare,Total,White table grape vines,Sweden,0.0,:
Annual,Total,Hectare,Total,White table grape vines,United Kingdom,0.0,:
Annual,Total,Hectare,Total,Normal white table grape vines,France,1290.34,:
Annual,Total,Hectare,Total,Seedless white table grape vines,France,82.59,:
Annual,Total,Hectare,From 10 to 19 years,Table grape vines,Bulgaria,:,794.05
Annual,Total,Hectare,From 10 to 19 years,Table grape vines,Spain,5733.87,3247.54
Annual,Total,Hectare,From 10 to 19 years,Table grape vines,European Union - 27 countries (from 2020),:,25530.55
Annual,Total,Hectare,From 10 to 19 years,Table grape vines,European Union - 28 countries (2013-2020),24128.61,25530.55
Annual,Total,Hectare,From 10 to 19 years,Table grape vines,France,1387.0,:
Annual,Total,Hectare,From 10 to 19 years,Table grape vines,Italy,15829.31,20119.87
Annual,Total,Hectare,From 10 to 19 years,Table grape vines,Romania,1178.42,1369.09
Annual,Total,Hectare,From 10 to 19 years,Red table grape vines,France,1064.1,:
Annual,Total,Hectare,From 10 to 19 years,Normal red table grape vines,France,1062.96,:
Annual,Total,Hectare,From 10 to 19 years,Seedless red table grape vines,France,1.15,:
Annual,Total,Hectare,From 10 to 19 years,White table grape vines,France,322.9,:
Annual,Total,Hectare,From 10 to 19 years,Normal white table grape vines,France,318.44,:
Annual,Total,Hectare,From 10 to 19 years,Seedless white table grape vines,France,4.46,:
Annual,Total,Hectare,From 3 to 9 years,Table grape vines,Bulgaria,:,803.83
Annual,Total,Hectare,From 3 to 9 years,Table grape vines,Spain,2695.14,4210.65
Annual,Total,Hectare,From 3 to 9 years,Table grape vines,European Union - 27 countries (from 2020),:,13569.83
Annual,Total,Hectare,From 3 to 9 years,Table grape vines,European Union - 28 countries (2013-2020),15146.69,13569.83
Annual,Total,Hectare,From 3 to 9 years,Table grape vines,France,533.22,:
Annual,Total,Hectare,From 3 to 9 years,Table grape vines,Italy,11475.02,8230.51
Annual,Total,Hectare,From 3 to 9 years,Table grape vines,Romania,443.3,324.83
Annual,Total,Hectare,From 3 to 9 years,Red table grape vines,France,415.82,:
Annual,Total,Hectare,From 3 to 9 years,Normal red table grape vines,France,414.39,:
Annual,Total,Hectare,From 3 to 9 years,Seedless red table grape vines,France,1.43,:
Annual,Total,Hectare,From 3 to 9 years,White table grape vines,France,117.41,:
Annual,Total,Hectare,From 3 to 9 years,Normal white table grape vines,France,79.76,:
Annual,Total,Hectare,From 3 to 9 years,Seedless white table grape vines,France,37.65,:
Annual,Total,Hectare,20 years or over,Table grape vines,Bulgaria,:,952.81
