Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,From 45 to 54 years,Males,Number,Greece,84.0
Annual,From 45 to 54 years,Males,Number,Spain,80.0
Annual,From 45 to 54 years,Males,Number,European Union - 25 countries (2004-2006),50.0
Annual,From 45 to 54 years,Males,Number,Finland,38.0
Annual,From 45 to 54 years,Males,Number,France,48.0
Annual,From 45 to 54 years,Males,Number,Hungary,105.0
Annual,From 45 to 54 years,Males,Number,Ireland,33.0
Annual,From 45 to 54 years,Males,Number,Italy,53.0
Annual,From 45 to 54 years,Males,Number,Lithuania,54.4 u
Annual,From 45 to 54 years,Males,Number,Luxembourg,36.0
Annual,From 45 to 54 years,Males,Number,Malta,88.0
Annual,From 45 to 54 years,Males,Number,Netherlands,65.0
Annual,From 45 to 54 years,Males,Number,Norway,38.0
Annual,From 45 to 54 years,Males,Number,Poland,35.0
Annual,From 45 to 54 years,Males,Number,Portugal,62.0
Annual,From 45 to 54 years,Males,Number,Sweden,49.0
Annual,From 45 to 54 years,Males,Number,Slovenia,40.0
Annual,From 45 to 54 years,Males,Number,Slovakia,27.0
Annual,From 45 to 54 years,Males,Number,United Kingdom,29.0
Annual,From 45 to 54 years,Total,Number,Austria,77.0
Annual,From 45 to 54 years,Total,Number,Belgium,57.0
Annual,From 45 to 54 years,Total,Number,Bulgaria,68.0
Annual,From 45 to 54 years,Total,Number,Switzerland,47.0
Annual,From 45 to 54 years,Total,Number,Cyprus,43.0
Annual,From 45 to 54 years,Total,Number,Czechia,38.0
Annual,From 45 to 54 years,Total,Number,Germany,57.0
Annual,From 45 to 54 years,Total,Number,Denmark,58.0
Annual,From 45 to 54 years,Total,Number,Estonia,45.0
Annual,From 45 to 54 years,Total,Number,Greece,79.0
Annual,From 45 to 54 years,Total,Number,Spain,85.0
Annual,From 45 to 54 years,Total,Number,European Union - 25 countries (2004-2006),53.0
Annual,From 45 to 54 years,Total,Number,Finland,45.0
Annual,From 45 to 54 years,Total,Number,France,58.0
Annual,From 45 to 54 years,Total,Number,Hungary,100.0
Annual,From 45 to 54 years,Total,Number,Ireland,35.0
Annual,From 45 to 54 years,Total,Number,Italy,50.0
Annual,From 45 to 54 years,Total,Number,Lithuania,53.0
Annual,From 45 to 54 years,Total,Number,Luxembourg,38.0
Annual,From 45 to 54 years,Total,Number,Latvia,70.0
Annual,From 45 to 54 years,Total,Number,Malta,80.0
Annual,From 45 to 54 years,Total,Number,Netherlands,63.0
Annual,From 45 to 54 years,Total,Number,Norway,34.0
Annual,From 45 to 54 years,Total,Number,Poland,34.0
Annual,From 45 to 54 years,Total,Number,Portugal,76.0
Annual,From 45 to 54 years,Total,Number,Romania,60.5 u
Annual,From 45 to 54 years,Total,Number,Sweden,48.0
Annual,From 45 to 54 years,Total,Number,Slovenia,38.0
Annual,From 45 to 54 years,Total,Number,Slovakia,28.0
Annual,From 45 to 54 years,Total,Number,United Kingdom,31.0
Annual,From 55 to 64 years,Females,Number,Austria,62.0
Annual,From 55 to 64 years,Females,Number,Belgium,37.0
Annual,From 55 to 64 years,Females,Number,Switzerland,38.0
Annual,From 55 to 64 years,Females,Number,Cyprus,42.7 u
Annual,From 55 to 64 years,Females,Number,Czechia,37.0
Annual,From 55 to 64 years,Females,Number,Germany,46.0
Annual,From 55 to 64 years,Females,Number,Denmark,49.0
Annual,From 55 to 64 years,Females,Number,Spain,70.0
Annual,From 55 to 64 years,Females,Number,European Union - 25 countries (2004-2006),47.0
Annual,From 55 to 64 years,Females,Number,Finland,44.0
Annual,From 55 to 64 years,Females,Number,France,55.0
Annual,From 55 to 64 years,Females,Number,Hungary,73.0
Annual,From 55 to 64 years,Females,Number,Ireland,34.0
Annual,From 55 to 64 years,Females,Number,Italy,52.0
Annual,From 55 to 64 years,Females,Number,Lithuania,32.7 u
Annual,From 55 to 64 years,Females,Number,Latvia,58.7 u
Annual,From 55 to 64 years,Females,Number,Netherlands,39.7 u
Annual,From 55 to 64 years,Females,Number,Norway,29.0
Annual,From 55 to 64 years,Females,Number,Poland,38.2 u
Annual,From 55 to 64 years,Females,Number,Portugal,82.0
Annual,From 55 to 64 years,Females,Number,Sweden,41.0
Annual,From 55 to 64 years,Females,Number,Slovenia,32.8 u
Annual,From 55 to 64 years,Females,Number,Slovakia,45.5 u
Annual,From 55 to 64 years,Females,Number,United Kingdom,27.0
Annual,From 55 to 64 years,Males,Number,Austria,70.0
