Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Labour costs structure,Geopolitical entity (reporting)\Time,2008.0,2012.0,2016.0,2020.0,2021.0,2022.0,2023.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Croatia,15.4,14.9,15.3,11.7,11.7,11.7,11.7
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Hungary,29.5,24.7,25.4,17.7,16.4,14.2,13.9
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Ireland,14.1,13.6,15.6,12.1,11.4,18.5,20.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Iceland,18.2 d,20.7 d,20.3 d,21.2 d,20.4 p,20.6 p,20.6 p
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Italy,27.8,28.0,27.9,28.1,27.9,27.8,27.9
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Lithuania,27.9,28.0,28.6,3.7,5.5,5.4,5.4
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Luxembourg,14.0,13.7,12.6,12.7,12.4,12.3,12.4
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Latvia,21.1,20.7,20.9,21.3,20.5,21.1,20.9
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Montenegro,:,20.1,12.1,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),North Macedonia,:,5.2,1.5,:,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Malta,8.1,6.9,6.1,6.3,6.6,6.5,6.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Netherlands,23.1,23.8,23.4,21.3,22.2,24.5,24.3
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Norway,:,18.1,18.9,18.3,18.3,18.3,20.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Poland,17.7,18.3,18.4,18.0,18.0,18.0,18.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Portugal,19.0,19.7,20.2,18.6,19.0,19.2,19.4
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Romania,23.1,22.7,19.6,5.4,5.3,5.0,5.0
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Serbia,:,15.5,15.0,12.5,15.8,17.0,17.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Sweden,32.9,31.8,31.9,31.0,31.9,31.9,32.2
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Slovenia,16.8,15.7,15.7,13.5,14.2,14.3,14.1
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Slovakia,25.6,25.8,26.2,25.4,25.2,27.0,27.2
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),Türkiye,:,16.2,17.1,12.8,:,:,:
Annual,Euro,"Industry, construction and services (except public administration, defense, compulsory social security)",Share of non-wage costs (%),United Kingdom,15.2 d,16.4,17.2,:,:,:,:
