Time frequency,Work intensity,At risk of poverty - Yes/No,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Albania,:,:,:,:,:,:,:,18.6,:,:
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Austria,:,10.5,14.3,17.6,15.8,10.5,6.5,9.2,-0.2,20.5
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Belgium,:,4.9,9.9,11.0,15.4,7.9 b,4.7 b,2.0,6.0,-1.2
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Bulgaria,:,38.6,32.9 b,41.7,35.2,37.3,45.5,30.9,36.6,37.6
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Switzerland,:,-7.8,-11.1,0.1,0.7,4.5,-3.8,-2.0,-1.8,-1.3
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Cyprus,:,0.2,3.1,-0.2,6.3,-4.1,-1.9,-5.5,-4.0,4.3
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Czechia,:,12.2,15.8,9.9,12.6,7.0,2.9,4.0,17.0,14.3
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Germany,:,20.7,18.5,21.3,23.1,24.4,8.6 b,3.8,1.7,3.5
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Denmark,:,-7.2,-5.1,-1.6,1.2,3.8,-4.0 b,1.4,3.2,-4.1
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,13.5,15.1,15.4,16.7,18.5,15.0,12.6,:,:
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Euro area - 18 countries (2014),:,13.4,14.9,15.3,16.5,18.3,14.9 b,12.4,:,:
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Euro area - 19 countries  (2015-2022),:,13.5,15.1,15.4,16.7,18.5,15.0 b,12.6,:,:
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Euro area – 20 countries (from 2023),:,13.8,15.3,15.6,17.0,18.7,15.2,12.8,10.5,12.6
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Estonia,:,33.9,32.0,29.2,37.9,32.0,23.8,24.4,31.9,29.9
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Greece,:,10.8,10.5,9.5,11.0,9.1,12.6,21.1,18.4,20.6
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Spain,:,13.3,12.6,18.7,14.5,11.5,17.3,14.5,13.1,15.4
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,12.8,14.4,14.5,16.2,19.2,16.1,13.7,:,:
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,European Union - 27 countries (from 2020),:,14.6,16.2,16.1,17.7,19.2,16.1,13.7,11.8,13.5
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,European Union - 28 countries (2013-2020),:,12.8,14.4,14.5,16.2,19.2,:,:,:,:
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Finland,:,2.3,1.3,3.6,1.8,9.3,10.1,3.3,8.9 b,10.1
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,France,:,8.2,6.7,7.5,10.2,11.2,12.9 b,13.8,14.9 b,13.1
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Croatia,32.7,33.1,35.3,33.4,38.3,38.5,33.9,34.2,37.9,39.5 b
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Hungary,:,11.5,11.1,-1.1,16.3,6.4,32.2,22.8,20.2,1.5
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Ireland,:,3.3,9.1,10.8,8.8,0.1 b,-1.6 b,-2.5,-3.3,-7.6
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Iceland,:,-16.4,-16.3,-8.9,-8.9,-19.6,:,:,:,:
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Italy,:,15.4,23.6,14.7,19.3,32.3,27.2,20.2,13.4,21.1
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Lithuania,:,33.4,38.2,38.1,49.5,44.5,38.9,35.3,35.4,28.7
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Luxembourg,:,-5.0,-19.2 b,-2.1,-3.4,2.8,4.0 b,-11.6 b,-18.9 b,-0.8
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Latvia,:,42.9,42.6,43.6,46.6,44.2,42.6,45.7,44.6,43.6
