Time frequency,Vehicles,Unit of measure,Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Trains,Percentage,France,8.7,8.2,8.5 e,8.7 e,8.2,8.6,8.3,8.4,8.2,8.3,8.0,8.4,7.3,8.3,9.1
Annual,Trains,Percentage,Croatia,3.9 e,4.1 e,3.9 e,3.4 e,2.4 e,2.1 e,2.0 e,2.0 e,1.8 e,1.5 e,1.5 e,1.4 e,1.5 e,1.5 e,1.7 e
Annual,Trains,Percentage,Hungary,8.9 e,9.0 e,8.6 e,8.7,8.6 e,8.6 e,8.3 e,8.0 e,7.7 e,7.3 e,7.1 e,6.8 e,5.5 e,5.7 e,6.8 e
Annual,Trains,Percentage,Ireland,2.9 e,2.5 e,2.6 e,2.5 e,2.5 e,2.4 e,2.6 e,2.7 e,2.6 e,2.7 e,2.8 e,2.9 e,1.4 e,1.3 e,2.2 e
Annual,Trains,Percentage,Italy,5.6 e,5.2 e,5.2 be,5.3 e,5.9,5.8 e,5.8,5.8,5.6,5.4,5.8,5.8,3.9,3.8,5.7
Annual,Trains,Percentage,Lithuania,0.6,0.6,0.6,0.7,0.7,0.7,0.9,0.8,0.9,0.8,0.9,0.9 e,0.8 e,0.9 e,1.0 e
Annual,Trains,Percentage,Luxembourg,4.0 e,3.9 e,4.1 e,4.0 e,4.2 e,4.3 e,3.9 e,4.3 e,4.1 e,4.2 e,4.2 e,4.3 e,3.2 e,3.3 e,3.7 e
Annual,Trains,Percentage,Latvia,4.5,4.0,4.0,4.0,3.9,3.9,3.3,2.9,2.8,2.7,2.7,2.7,2.3,2.2,3.2
Annual,Trains,Percentage,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Trains,Percentage,Netherlands,9.0 e,9.2 e,9.5 e,9.7 e,9.8 e,10.4 e,10.8 e,9.9 e,10.0 e,10.3 e,10.1 e,10.1 e,7.5 e,8.0 e,10.6 e
Annual,Trains,Percentage,Norway,4.2,4.1,4.2,4.0,4.0,4.1,4.2,4.2 e,4.3 e,4.6 e,4.7 e,4.7 e,2.8 e,2.7 e,4.0 e
Annual,Trains,Percentage,Poland,5.8 be,4.9 e,6.5 e,6.3,6.5,6.0 e,5.6 e,6.0 e,6.3 e,6.5 e,6.5 e,6.6 e,4.7 e,5.7 e,7.6 e
Annual,Trains,Percentage,Portugal,3.9 e,3.9 e,3.9 e,4.0 e,3.7 e,3.5 e,3.6 e,3.6 e,3.6 e,3.7 e,3.6 e,3.9 e,2.6 e,2.7 e,3.5 e
Annual,Trains,Percentage,Romania,6.2 be,5.6 be,4.8 e,4.4 e,3.8 e,3.5 e,3.8 e,3.7 e,3.4 e,3.7 e,3.4 e,3.4 e,2.9 e,2.9 e,3.4 e
Annual,Trains,Percentage,Sweden,8.1,8.2,8.0,7.5 e,7.8 e,7.8 e,7.8 e,8.0 e,9.0 e,9.1 e,9.2 e,9.9 e,7.1 e,7.0 e,9.5 e
Annual,Trains,Percentage,Slovenia,2.4,2.4,2.2,2.1 e,2.0 e,2.0 e,1.8 e,1.8 e,1.8 e,1.6 e,1.5 e,1.5 e,1.3 e,1.9 e,2.0 e
Annual,Trains,Percentage,Slovakia,5.7 e,6.0 e,5.9 e,6.2 e,6.2 e,6.2 e,6.4 e,8.1 e,8.1,8.5,8.4,8.6,6.5,5.6,7.5
