Annual,Tertiary education (levels 5-8),Percentage,Cyprus,35.3,36.0,32.4,40.2,43.1,39.8,42.5,24.8,28.1,20.0,12.5,13.6,14.7,13.1
Annual,Tertiary education (levels 5-8),Percentage,Czechia,11.0,11.5,12.5,14.0,14.8,11.0,10.3,12.3,6.8,4.6,5.1,4.3,5.3,5.8
Annual,Tertiary education (levels 5-8),Percentage,Germany,4.8,4.9,4.7,4.3,4.0,3.4,3.1,2.7,2.6,2.5,2.5 b,2.8,3.3,4.3
Annual,Tertiary education (levels 5-8),Percentage,Denmark,5.8,6.8,6.8,8.1,7.5,7.4,6.9,7.2,7.2,7.1,5.3,6.0,7.8,8.6
Annual,Tertiary education (levels 5-8),Percentage,Euro area – 20 countries (from 2023),10.9,11.3,12.6,13.2,13.4,12.1,11.5,9.6,9.4,8.3,9.2,8.7,9.5,9.6
Annual,Tertiary education (levels 5-8),Percentage,Estonia,14.8,14.5,14.4,13.8,12.5 b,9.9,9.6,7.8,7.7,6.2,5.9,5.6,6.4,8.1
Annual,Tertiary education (levels 5-8),Percentage,Greece,35.9,46.5,55.2,59.3,59.2,61.6,60.6,62.5,58.1,52.3,51.1,51.1,48.1,46.7
Annual,Tertiary education (levels 5-8),Percentage,Spain,16.5,16.0,20.7,21.8,22.1,18.5,18.9,13.2,14.1,11.0,12.3,11.3,12.1,12.9
Annual,Tertiary education (levels 5-8),Percentage,European Union - 27 countries (from 2020),12.1,12.3,13.8,14.2,14.1,12.8,11.8,10.1,9.7,8.5,9.2,8.4,9.2,9.4
Annual,Tertiary education (levels 5-8),Percentage,Finland,3.6,3.7,3.8,3.5,3.9,3.4,3.7,3.7,2.7,3.4,3.1,2.8,2.8,4.6
Annual,Tertiary education (levels 5-8),Percentage,France,9.6,10.0,10.6,10.4,11.2,9.9,10.3,8.7,8.2,8.1,7.9 b,7.7,10.8 b,10.4
Annual,Tertiary education (levels 5-8),Percentage,Croatia,29.1,28.4,31.0,37.1,35.1,30.6,28.7,22.0,20.5,17.0,16.6,11.2,11.9,9.4 b
Annual,Tertiary education (levels 5-8),Percentage,Hungary,32.5,31.9,35.2,32.1,24.1,23.0,18.6,17.0,14.7,12.6,12.2,7.9,6.2,8.0
Annual,Tertiary education (levels 5-8),Percentage,Ireland,19.5,21.3,23.6,27.0,25.4,22.2,17.3,16.7,13.9,11.0 b,9.6 b,8.0,9.6,9.2
Annual,Tertiary education (levels 5-8),Percentage,Iceland,20.3,18.6,17.5,18.9,15.3,13.6,8.9,9.3,7.7,10.4,:,:,:,:
Annual,Tertiary education (levels 5-8),Percentage,Italy,18.0,16.8,18.8,20.4,20.9,19.4,15.5,11.8,13.4,10.1,10.1,10.7,9.8,7.4
Annual,Tertiary education (levels 5-8),Percentage,Lithuania,19.7,20.4,20.6,15.9,15.3,15.3,16.5,14.2,13.1,10.0,6.7,5.9,6.1,5.8
Annual,Tertiary education (levels 5-8),Percentage,Luxembourg,2.0,2.9,3.6,4.4,4.1,4.2,4.4 b,4.9,5.5,5.0,4.5 b,4.5 b,2.4 b,3.4
Annual,Tertiary education (levels 5-8),Percentage,Latvia,40.2,40.9,36.5,38.6,31.9,27.8,24.4,25.0,17.7,12.5,12.1,10.5,13.3,14.5
Annual,Tertiary education (levels 5-8),Percentage,Montenegro,:,:,:,41.7,52.2,52.0,49.7,46.4,48.1,39.8,41.9,40.0,28.3,:
Annual,Tertiary education (levels 5-8),Percentage,North Macedonia,37.5,43.3,46.0,40.9,43.6,38.9,40.9,35.4,35.1,27.0,28.0,:,:,:
Annual,Tertiary education (levels 5-8),Percentage,Malta,24.7,17.5,19.5,15.9,22.5,8.4,8.6,7.1,4.9,5.7,6.0,7.5,11.0,9.2
Annual,Tertiary education (levels 5-8),Percentage,Netherlands,6.0,6.3,7.4,8.7,7.8,6.1,5.9 b,6.0,4.7,4.9,4.4,3.3,3.7,4.4
Annual,Tertiary education (levels 5-8),Percentage,Norway,3.2,4.0,3.2,2.7,2.2,2.7,2.6,3.0,3.4,3.2,3.7,4.0,3.9,5.2
Annual,Tertiary education (levels 5-8),Percentage,Poland,14.0 b,12.6,15.2,14.5,13.4,13.4,10.1,9.5,8.3,6.6,7.2,6.0,7.3,7.7
Annual,Tertiary education (levels 5-8),Percentage,Portugal,19.8,14.3,16.5,21.6,20.7,19.1,16.8,14.8,11.7,11.3,9.1,8.9 b,11.2,10.9
Annual,Tertiary education (levels 5-8),Percentage,Romania,23.9,23.4,25.2,26.6,24.5,20.5,19.3,15.0,14.6,12.6,14.7,8.8,9.3,10.3
Annual,Tertiary education (levels 5-8),Percentage,Serbia,:,:,:,41.3,45.9,45.0,46.0,41.5,39.9,27.0,21.4,22.2,23.5,:
Annual,Tertiary education (levels 5-8),Percentage,Sweden,5.1,6.2,4.9,5.3,5.0,4.0,4.5,4.7,5.4,4.4,3.9,3.7,4.2,5.7
Annual,Tertiary education (levels 5-8),Percentage,Slovenia,10.7,11.8,12.1,17.0,15.6,13.7,11.1,9.8,7.7,6.7,6.8,4.4,5.8,5.9
Annual,Tertiary education (levels 5-8),Percentage,Slovakia,15.7,16.6,19.9,21.9,20.2,18.7,15.3,13.2,12.4,16.2,13.8,11.0,13.8,15.2
Annual,Tertiary education (levels 5-8),Percentage,Türkiye,30.4,27.5,28.7,31.5,19.7,23.9,15.8,7.2,6.1,7.9,11.5,18.3,21.6,22.2
Annual,Tertiary education (levels 5-8),Percentage,United Kingdom,9.0,9.0,10.7,11.7,10.6,8.4,9.9,7.3 b,7.0,:,:,:,:,:
Annual,Tertiary education (levels 5-8),Percentage,Kosovo*,:,:,:,:,:,:,:,:,29.5,32.2,:,:,:,:
Annual,All ISCED 2011 levels,Percentage,Albania,:,:,:,:,:,:,:,65.5,62.3,57.7,56.1,54.5,:,:
Annual,All ISCED 2011 levels,Percentage,Austria,13.7,13.7,13.1,13.0,13.6,12.7,12.0,11.1,10.6,10.4,8.8,9.1,11.3,13.0
Annual,All ISCED 2011 levels,Percentage,Belgium,19.8,19.5,20.5,19.9,19.0,19.3,20.3,19.5,17.7,18.2 b,16.3,14.8,16.3,15.1
Annual,All ISCED 2011 levels,Percentage,Bulgaria,64.5,61.6,65.3,63.9,62.4 b,63.0,60.7 b,57.7,55.4,49.7,43.3,37.3,40.2,32.9
Annual,All ISCED 2011 levels,Percentage,Switzerland,10.7,12.0,11.2,11.2,11.4 b,10.4,12.0,10.8,10.8,11.2,10.2,8.9,8.7,9.3
Annual,All ISCED 2011 levels,Percentage,Cyprus,51.2,52.1,48.3,57.6,59.1,57.0,58.4,42.4,44.8,35.5,25.2,25.1,28.0,23.1
Annual,All ISCED 2011 levels,Percentage,Czechia,26.3,26.9,29.9,30.9,29.5,25.4,22.3,21.4,15.7,12.5,11.5,10.5,11.5,12.3
Annual,All ISCED 2011 levels,Percentage,Germany,8.7,9.1,9.0,8.9,8.3,7.5,6.8,6.0,5.7,5.2,5.4 b,6.5,8.2,9.3
Annual,All ISCED 2011 levels,Percentage,Denmark,7.4,8.2,9.5,10.7,10.8,9.5,9.1,8.9,8.5,9.1,8.1,7.8,9.5,12.1
Annual,All ISCED 2011 levels,Percentage,Euro area – 20 countries (from 2023),23.7,23.3,24.7,26.5,26.3,24.6,23.1,20.0,20.1,17.3,18.8,17.7,18.6,18.4
Annual,All ISCED 2011 levels,Percentage,Estonia,24.8,24.0,24.2,23.4,19.8 b,16.3,15.8,14.5,14.0,11.3,9.3,8.3,10.2,11.9
Annual,All ISCED 2011 levels,Percentage,Greece,58.0,61.7,72.5,77.4,77.9,77.0,76.5,76.8,73.6,70.0,69.5,70.4,68.2,67.1
Annual,All ISCED 2011 levels,Percentage,Spain,31.2,27.2,32.8,36.5,37.9,34.3,34.6,24.6,26.5,21.1,22.0,20.7,21.2,21.5
Annual,All ISCED 2011 levels,Percentage,European Union - 27 countries (from 2020),26.7,26.1,27.6,28.8,28.2,26.4,24.7,21.7,21.1,18.2,19.4,17.9,18.5,18.5
Annual,All ISCED 2011 levels,Percentage,Finland,6.3,7.0,6.6,6.4,6.6,6.2,6.4,6.2,5.6,5.7,6.2,5.5,5.7,7.0
Annual,All ISCED 2011 levels,Percentage,France,18.3,17.5,17.5,18.9,19.1,18.1,17.5,16.6,16.5,15.9,17.5 b,15.2,20.1 b,20.3
