Annual,Thousand tonnes,Trailers,Own account,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.0,19.0,22.0,24.0,20.0,18.0,18.0,18.0,18.0
Annual,Thousand tonnes,Trailers,Own account,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,29 e
Annual,Thousand tonnes,Trailers,Total,Austria,:,51.0,:,63.0,61.0,62.0,73.0,:,:,:,:,:,:,:,:,:,:,:,124.0,140.0,146.0,82.0,99.0,137.0,130.0
Annual,Thousand tonnes,Trailers,Total,Bulgaria,:,:,:,:,:,:,:,1.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Total,Switzerland,:,:,:,:,12.0,9.0,14.0,19.0,15.0,16.0,:,:,:,:,:,:,23.0,24.0,25.0,25.0,26.0,23.0,24.0,28 e,29.0
Annual,Thousand tonnes,Trailers,Total,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,27.0,51.0,75.0,88.0,69.0,71.0,:,:
Annual,Thousand tonnes,Trailers,Total,Germany,:,:,:,:,373.0,291.0,288.0,312.0,268.0,281.0,319.0,359.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Total,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7745.0,:,:,1855.0,3352.0,4036.0,2714.0,568.0,966.0,2782.0,3804.0
Annual,Thousand tonnes,Trailers,Total,Greece,:,:,:,:,10.0,10.0,12.0,10.0,9.0,11.0,9.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Total,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,73133.0,66379.0,53857.0,21848.0,25000.0,26164.0,32498.0
Annual,Thousand tonnes,Trailers,Total,Finland,:,:,49.0,32.0,18.0,15.0,21.0,25.0,24.0,29.0,38.0,38.0,38.0,39.0,39.0,41.0,46.0,45.0,52.0,49.0,50.0,36.0,40.0,41.0,37.0
Annual,Thousand tonnes,Trailers,Total,France,47.0,50.0,48.0,41.0,31.0,26.0,29.0,37.0,39.0,32.0,35.0,37.0,42.0,39.0,40.0,37.0,35.0,40.0,40.0,41.0,47.0,31.0,:,:,:
Annual,Thousand tonnes,Trailers,Total,Croatia,:,:,:,:,:,:,:,1663.0,113.0,109.0,10.0,7.0,7.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,9.0,6.0,8.0,7.0
Annual,Thousand tonnes,Trailers,Total,Hungary,:,:,:,:,5.0,4.0,3.0,4.0,7.0,11.0,6.0,7.0,8.0,125.0,178.0,22.0,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Total,Iceland,:,:,:,:,:,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,:,1.0,:,1 e,2 e,:,:,:,:,:,:,:
Annual,Thousand tonnes,Trailers,Total,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,927.0,1899.0,1494.0,792.0,983.0,:,808.0,1138.0,1554.0,645.0,773.0,:,:
Annual,Thousand tonnes,Trailers,Total,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,97.0,121.0,17.0,177.0,222.0,2988.0,1949.0,65.0,171.0,272.0,:
Annual,Thousand tonnes,Trailers,Total,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2414.0,2269.0,3063.0,4337.0,2.0,3.0,3.0,:,:,:,:
Annual,Thousand tonnes,Trailers,Total,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,6.0,51.0,82.0,99.0,102.0,119.0,1271.0,1346.0,85.0,27.0,448.0,768.0,748.0
Annual,Thousand tonnes,Trailers,Total,Norway,:,29.0,28.0,24.0,24.0,27.0,:,21.0,21.0,:,:,:,:,:,:,:,47.0,54.0,63.0,71.0,63.0,45.0,47.0,51.0,58.0
Annual,Thousand tonnes,Trailers,Total,Poland,:,:,:,:,:,:,:,:,76.0,793.0,70.0,39.0,443.0,288.0,315.0,28 e,41 e,51.0,72.0,79.0,83.0,59.0,67.0,57.0,59.0
Annual,Thousand tonnes,Trailers,Total,Sweden,:,97.0,91.0,63.0,48.0,37.0,58.0,33.0,40.0,88.0,106.0,45.0,50.0,44.0,44.0,50.0,57.0,62.0,68.0,75.0,75.0,55.0,:,678.0,:
Annual,Thousand tonnes,Trailers,Total,Slovenia,:,:,:,:,:,:,:,:,:,24.0,35.0,52.0,42.0,4.0,4.0,:,:,4511.0,12095.0,18958.0,19130.0,7807.0,6285.0,7739.0,7089.0
