Time frequency,Age class,Health indicator,Unit of measure,Sex,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Liechtenstein,:,:,:,:,:,8.0,37.1,18.4,20.9,10.4,10.3,12.8
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Lithuania,1559.3,1539.5,1549.3,1495.4,1508.2,1520.6,1466.9,1415.2,1365.7,1292.8,1093.0,1071.6
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Luxembourg,1364.8,1306.3,1332.3,1279.4,1294.8,1220.0,1180.5,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Latvia,1342.5,1517.0,1553.9,1572.3,1519.2,1510.2,1580.6,1510.8,1361.1,1330.6,1223.8,1228.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Montenegro,:,:,:,:,:,369.2,327.0,325.8,297.1,259.2,186.1,183.5
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Malta,850.6,1191.1,1184.9,1174.6,1115.2,1468.9,1150.5,1156.0,1072.6,1065.3,977.6,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Netherlands,1062.9,1065.5,1039.6,779.8,779.8,743.8,749.7,725.8,708.1,693.4,664.1,710.0
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Norway,1527.6,601.3,588.9,566.8 b,541.6,470.4,588.1,436.3,204.4,195.0,174.4,182.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Poland,1523.1,1453.2,1461.2,1468.9,1469.7,1403.3,1509.5,1553.1,1444.2,1383.7,1206.5,1189.2
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Portugal,771.1,735.4,697.0,655.8,649.9,681.9,:,:,802.6,808.6,753.2,689.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Romania,1755.0,1552.3,1536.7,1464.5,1372.8,1370.8,1360.6,1377.8,1360.4,1341.9,1120.7,1104.1
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Serbia,:,:,:,:,1120.8,:,1099.4,1103.7,:,1176.0,1055.9,1119.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Sweden,1369.1,:,:,1318.4,1325.4,1312.5,1324.8,1260.1,1236.3,1201.1,1148.5,1162.4
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Slovenia,1373.1,1347.2,1336.7,1391.8,1387.3,1350.9,1368.9,1315.0,1281.0,1257.5,1149.8,1164.7
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Slovakia,1568.6,1548.1,1484.1,:,1449.2,1454.6,1480.3,1486.5,1468.6,1421.9,1329.7,1298.1
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",Türkiye,1602.6,1576.2,:,:,2059.9,2120.6,1990.1,:,:,:,:,:
Annual,Total,in-patients (total number),Per hundred thousand inhabitants,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",United Kingdom,1399.3,1382.6,1351.9,1297.5,1272.8,1281.5,1255.6,:,:,:,:,:
