Time frequency,Other gainful activity of the holder,Eurofarm indicators,Unit of measure,Other gainful activity of the spouse,Age class,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Greece,171.72,170.08,152.32,169.67
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Spain,254.63,244.15,239.77,223.79
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Finland,19.34,20.14,19.03,15.97
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,France,112.83,109.13,109.51,97.79
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Croatia,:,39.05,62.37,45.89
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Hungary,170.94,167.68,158.12,140.91
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Ireland,32.07,33.29,35.06,35.58
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Iceland,:,:,0.8,:
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Italy,410.46,390.38,385.15,229.39
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Lithuania,56.34,41.11,36.27,35.19
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Luxembourg,0.49,0.53,0.58,0.56
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Latvia,28.13,22.06,17.19,19.45
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Montenegro,:,:,12.2,:
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Malta,3.11,3.53,3.9,3.11
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Netherlands,20.16,19.08,18.15,17.22
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Norway,13.99,14.16,11.99,11.39
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Poland,425.27,458.12,297.52,344.41
