Time frequency,Sex,Age class,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,30.5,28.0,28.7,35.3 b,38.7,39.0,38.7,34.8 b,36.5 b,34.5,36.0,34.9,34.0,35.8,38.4 b,38.2,40.2 b,40.9 b,41.6,41.6,41.9,44.2 b,44.2,45.0
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Euro area – 20 countries (from 2023),:,:,23.8,25.1,26.3,27.1,27.1,28.0,28.4,29.0,30.1,30.4,30.9,31.9,32.6 b,32.9,32.9,33.5,34.9,35.9,37.1,38.0 b,38.5,39.7
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,21.2 b,21.1,22.7,22.2,21.3,26.5,26.7,24.4,29.0,29.6,32.2,30.6,28.3,31.8,32.8 b,31.5,35.9,37.5,35.2,31.7,30.4,33.5 b,36.7,33.7
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,23.9,23.6 b,22.2,21.9,23.6 b,23.6,25.5,25.4,23.7,24.3 b,26.2,26.8,28.1,30.8,32.9 b,35.3,36.2,37.0,37.5,36.7,39.2,39.4 b,38.0,38.5
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,27.9,29.4,31.7,32.6,33.4,35.4 b,34.4,35.8,36.5,35.3,36.7,37.2,36.0,37.1,36.8 b,34.8,33.5,34.8,36.1,38.5,38.7,40.7 b,42.5,45.1
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),:,:,21.4,22.9,24.2,25.0,25.1,26.0,26.7,27.5,28.9,29.4,30.2,31.2,32.1 b,32.5,32.7,33.2,34.2,35.2,36.1,36.7 b,37.4,38.5
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Finland,32.9 b,33.6,33.4,33.7,35.0,35.4,37.1,39.3,35.0,36.6,37.7,37.1,36.7,37.6,38.2 b,38.1,38.4,37.3,36.2,38.6,41.5,37.5 b,40.9,36.5
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),France,25.8,28.3,29.0,32.0 b,32.6,34.9,35.2,37.7,37.1,38.8,39.0,38.9,38.2,39.4 b,39.2 b,40.5,38.3,38.8,40.9,42.5,45.3,44.7 b,45.3,47.2
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Croatia,:,:,14.8 u,13.8 u,14.1 u,13.7 u,14.2 u,12.3,15.3,18.3,21.6 b,19.5,18.4 b,21.8,26.4 b,23.6,22.1,21.8,26.4,25.0,28.9,27.3 b,26.0,31.8
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Hungary,12.5,13.5 b,12.8,14.7,15.5,15.2,15.4,16.4,19.1,19.1,21.4,23.6,24.6,26.8,28.0 b,27.6,26.4,27.0,27.1 b,27.3,27.5,29.6 b,28.7,26.9
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Ireland,25.8,28.6,30.9,33.9,35.7,35.5,36.6,40.1 b,41.9,44.6,46.0,44.6,45.4,47.4,47.0 b,45.9,47.6,48.2 b,51.7,50.8,54.7,58.6 b,60.7,61.7
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Iceland,31.0,28.8,33.7,33.7 b,32.9,32.9,31.0 u,35.3,35.5,37.7,34.5,36.1,34.5,36.1,40.4 b,39.2,42.2,43.0,41.2,41.3,37.2 b,37.9 b,33.2,35.7
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Italy,10.8,11.4,12.0,12.3,12.8 b,14.1,14.2,15.0,14.9,15.0,15.6,15.9,17.3,17.7,18.8 b,20.0,19.9,19.8,21.9 b,21.7,21.2,20.4 b,21.0,22.4
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Lithuania,37.3,14.8,17.0 bu,19.7,26.4,34.0,35.2,30.3,31.3,32.8,36.4,38.2,40.3,41.9,44.0 b,47.2,48.1,47.6,47.5,46.9,48.8,49.7 b,52.0,49.0
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Luxembourg,24.7,26.0,25.6,18.3 b,33.2,36.7,32.0,32.4 b,36.9,48.4 b,44.8,49.1,50.4,49.2,49.8 b,46.8 b,52.7,49.8 u,52.5,54.5,58.7,57.3 b,60.3,59.3
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Latvia,13.6,: u,12.6 b,13.2,13.3,12.2,14.7,19.4,18.1,20.9,23.7,25.0,26.2,28.3,27.8 b,26.8,30.1,32.1,30.6,35.0,39.1,38.5 b,36.1,36.2
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Montenegro,:,:,:,:,:,:,:,:,:,:,:,20.2,22.8,22.5,25.3 b,29.9,31.8,30.0,29.3,35.4,35.1,:,:,:
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),North Macedonia,:,:,:,:,:,:,10.5,10.8,11.8,11.8,16.2,18.5,20.8,20.7,21.4 b,23.1,24.5,24.6,26.4,32.1,34.3,:,:,:
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Malta,: du,: du,10.3 d,14.9 d,19.3 d,17.9 b,19.3,19.1,21.0,20.3,20.6,22.6 b,25.0,25.0,24.1 b,24.2,29.0,32.2,32.8,33.0,34.8,40.2 b,39.9,39.6
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Netherlands,27.3,27.4,27.8,31.1,33.2,32.9 b,33.4,33.5,36.4,36.0,38.6,37.5 b,39.9,40.1 b,41.6 b,43.0,41.7,44.0,46.2,47.6 b,49.2,49.1 b,52.0,49.8
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Norway,32.9,37.9,40.2,37.7,34.6,34.6,36.2 b,37.9,38.0,37.9,39.7,41.5,39.9,39.1,42.6 b,41.5,42.4,42.5,44.8,41.7,43.9,47.3 b,48.1,48.5
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Poland,10.4 b,10.7,12.2,14.9 b,17.8,19.1,20.4,22.7,24.4,27.3,29.5 b,30.0,31.9,32.9,34.2 b,35.1,35.6,36.3,36.3,37.8,37.7,36.3 b,37.0,39.4
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Portugal,8.9,8.2,9.0,11.1,12.4 b,13.5,13.1,14.7,16.9,17.6,17.9,21.8 b,24.1,24.0,23.6 b,23.4,27.2,26.3,24.5,30.1,32.0,35.4 b,34.4,31.9
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Romania,9.0,8.7,9.1,9.4 b,9.9,10.8,11.7,13.6,14.9,15.2,17.5 b,20.1,20.5,21.6,22.9 b,24.2,23.9,23.9,21.4,22.2,22.9,21.9 b,23.0,18.6
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Serbia,:,:,:,:,:,:,:,:,:,:,15.1,16.5,20.3,20.3,21.4 b,24.2,24.7,25.4,26.4,26.9,27.1,27.8 b,30.7,29.8
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Sweden,30.5,23.4 b,25.5,27.1,28.6,33.3 b,34.3 b,35.2,36.6,38.1,39.8,40.5,42.4,41.8,42.4 b,43.2,43.4,44.6,45.0 b,45.5,43.3,42.6 b,47.8,51.8
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Slovenia,13.8,11.9,12.9,17.0,18.1,19.4,21.0,21.7,24.3,24.6,26.4,29.4,29.5,31.1,30.0 b,32.0,33.6,34.7,31.6,34.5,36.8,37.7 b,38.1,28.8 b
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Slovakia,11.2,10.8,9.7,11.6,12.6,14.0,13.6,13.4,14.0,15.5,18.2,19.4 b,19.4,22.3,22.5 b,22.8,24.0,26.7,31.1,32.2,30.0,28.8 b,27.8,30.9
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Türkiye,:,:,:,:,:,:,14.2,14.4,14.8,16.5,17.3,18.3,19.8,21.1,23.4 b,25.1,28.3,28.6,30.2,32.7,33.9,36.0 b,37.4,39.2
Annual,Males,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),United Kingdom,30.7,31.4,32.4,32.2,33.9 b,34.2,35.9,36.6 b,38.1 b,40.5,41.0 b,42.6 b,43.8,44.4,44.2 b,44.5,45.9,45.7,45.5,46.6,:,:,:,:
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Austria,: u,: u,: u,: u,20.9 b,20.7,21.1 b,20.9,21.9,23.4,23.4,23.6,26.1,27.1,40.0 b,38.7,40.1,40.8,40.7,42.4,41.6,43.0 b,44.0,44.0
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,28.8,28.6,28.2
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Belgium,35.2,35.2,35.2,37.7,39.9,39.1,41.4,41.5,42.9 b,42.0,44.4,42.6,43.9,42.7,43.8 b,42.7,45.6,45.9 b,47.6,47.5,47.8,49.9 b,53.1,50.2
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,19.5,23.6 b,23.2,23.6,25.2,24.9,25.3 b,26.0,27.1,27.9,28.0 b,27.3 b,26.9,29.4,30.9 b,32.1,33.8,32.8,33.7,32.5 b,33.4,32.8 b,33.5,35.0
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,27.3,27.3,30.0,32.4,32.8,33.4,35.0,36.5,41.3,43.4,41.9 b,41.8,42.3,44.8,47.2 b,49.3,51.2,52.8,55.0,56.1,56.4,55.1 b,53.5,55.1
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,31.1,32.7,36.0,39.9,41.0,40.8,46.1,46.2,47.1,45.0 b,45.3,46.2,49.9,47.8,52.5 b,54.5,53.4,55.9,57.1,58.2,60.5,62.1 b,62.6,65.3
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,13.7,13.3,12.6,12.6 b,12.7,13.0,13.1,13.3,15.4,17.5,20.4,23.7 b,25.6,26.7,28.2 b,30.1,32.8,34.2,33.7,35.1,35.0,36.5 b,36.5,34.9
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,25.7,25.5,24.2,25.1,26.8,26.1 b,25.8,26.5,27.7,29.4,29.7 b,30.6,31.8,32.9,31.4 b,32.3,33.2,34.0,34.9,35.5,36.6 b,38.9 b,38.9,41.0
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,32.1,32.9,34.2,38.2 b,41.4,43.1,43.0,38.1 b,38.9 b,40.4,41.1,41.3,43.2,43.4,43.6 b,45.7,46.7 b,48.4 b,48.7,49.4,49.8,52.5 b,52.3,52.7
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Euro area – 20 countries (from 2023),:,:,24.7,26.3,28.0,29.1,29.8,30.9,31.6,32.4,33.6,34.1,34.9,36.0,36.5 b,37.2,37.5,38.3,39.5,40.5,41.4,42.4 b,43.1,44.5
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Estonia,30.4 b,28.5,27.7,28.0,28.3,31.7,32.5,33.5,34.4,36.3,40.2,40.2,39.5,42.5,43.2 b,42.7,43.3,45.6,44.6,44.0,41.5,43.1 b,45.7,47.3
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Greece,25.4,25.0 b,23.5,23.0,25.1 b,25.5,26.9,26.3,25.7,26.6 b,28.6,29.1,31.2,34.9,37.2 b,40.4,42.7,43.7,44.3,43.1,43.9,44.3 b,44.8,45.1
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Spain,29.2,31.3,34.4,35.1,36.9,39.9 b,39.4,40.9,41.3,40.7,42.0,41.9,41.5,42.3,42.3 b,40.9,40.1,41.2,42.4,44.7,44.8,46.2 b,48.7,50.6
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),:,:,22.5,24.2,26.0,27.2,28.0,29.0,30.1,31.1,32.6,33.4,34.5,35.7,36.5 b,37.3,37.8,38.6,39.5,40.4,41.2,41.9 b,42.8,43.9
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Finland,40.3 b,41.6,41.2,41.7,43.4,43.7,46.2,47.3,45.7,45.9,45.7,46.0,45.8,45.1,45.3 b,45.5,46.1,44.6,44.2,47.3,49.6,44.9 b,46.8,43.1
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),France,27.4,29.5,31.5,34.8 b,35.6,37.7,39.7,41.4,41.0,43.0,43.2,43.1,43.3,44.0 b,43.7 b,45.1,43.7,44.4,46.2,47.5,48.8,49.5 b,49.2,51.5
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Croatia,:,:,16.2,16.9,16.8,17.4,16.7,16.8,18.5,21.3,24.5 b,23.9,23.4 b,26.3,32.9 b,31.0,29.4,28.4,33.9,32.6,34.8,34.2 b,34.7,39.1
