Time frequency,Unit of measure,Rail network segment (2005),Train category\Time,2005.0
Annual,Number,Alia?A - Menemen,Other trains,23.0
Annual,Number,Alia?A - Menemen,Passenger trains,702.0
Annual,Number,Ci?Li - Halkapynar,Goods trains,1163.0
Annual,Number,Ci?Li - Halkapynar,Other trains,59.0
Annual,Number,Ci?Li - Halkapynar,Passenger trains,3419.0
Annual,Number,?Yrinyer - Alsancak,Goods trains,511.0
Annual,Number,?Yrinyer - Alsancak,Other trains,78.0
Annual,Number,?Yrinyer - Alsancak,Passenger trains,1509.0
Annual,Number,Buca - ?Irinyer,Goods trains,0.0
Annual,Number,Buca - ?Irinyer,Other trains,0.0
Annual,Number,Buca - ?Irinyer,Passenger trains,833.0
Annual,Number,A.Menderes - ?Yrinyer,Goods trains,531.0
Annual,Number,A.Menderes - ?Yrinyer,Other trains,84.0
Annual,Number,A.Menderes - ?Yrinyer,Passenger trains,3832.0
Annual,Number,Halkapynar - Alsancak,Goods trains,1087.0
Annual,Number,Halkapynar - Alsancak,Other trains,66.0
Annual,Number,Halkapynar - Alsancak,Passenger trains,851.0
Annual,Number,?Irinyer - Basmane,Goods trains,398.0
Annual,Number,?Irinyer - Basmane,Other trains,68.0
Annual,Number,?Irinyer - Basmane,Passenger trains,49453.0
Annual,Number,Goncaly - Adnan Menderes,Goods trains,401.0
Annual,Number,Goncaly - Adnan Menderes,Other trains,16.0
Annual,Number,Goncaly - Adnan Menderes,Passenger trains,2597.0
Annual,Number,Ala?Ehir - D.Pynar,Goods trains,451.0
Annual,Number,Ala?Ehir - D.Pynar,Other trains,26.0
Annual,Number,Ala?Ehir - D.Pynar,Passenger trains,531.0
Annual,Number,Manisa - Ala?Ehir,Goods trains,416.0
Annual,Number,Manisa - Ala?Ehir,Other trains,18.0
Annual,Number,Manisa - Ala?Ehir,Passenger trains,1021.0
Annual,Number,Soma - Manisa,Goods trains,620.0
Annual,Number,Soma - Manisa,Other trains,67.0
Annual,Number,Soma - Manisa,Passenger trains,1459.0
Annual,Number,Balykesir - Soma,Goods trains,623.0
