Time frequency,Currency,Balance of payments item,Stock or flow,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million euro,Capital account,Balance,Moldova,-3.1 d,-18.1 d,-5.8 d,-9.9 d,9.1 bd,3.9 d,23.0 d,16.5 d,80.6 d,110.9 d,49.4 d,-16.1 d,-18.9 d,-30.4 d,-49.1 d,-57.6 d,-43.1 d,19.2 d
Annual,Million euro,Capital account,Balance,Ukraine,-34.5,17.5,18.2,19.1,429.4,141.6,72.6,31.1,-45.2,302.5 d,414.1 d,82.4 d,-2.9 d,31.8 d,34.0 d,-1.7 d,12.5 d,172.0 d
Annual,Million euro,Services,Balance,Armenia,-118.7,-70.5,-138.9,-211.5,-197.8,-196.4,-47.3,-79.4,-93.0,-84.0,-85.7,64.2,143.1,9.0,-77.6,103.4,335.2,1617.7
Annual,Million euro,Services,Balance,Azerbaijan,-1577.9 d,-1532.0 d,-1555.6 d,-1590.7 d,-1155.5 d,-1308.5 d,-2152.1 d,-2273.2 d,-3153.2 d,-4579.7 d,-3813.1 d,-2850.8 d,-2994.5 d,-1744.6 d,-2335.8 d,-2489.0 d,-1793.3 d,-1289.3 d
Annual,Million euro,Services,Balance,Belarus,964.4,760.8,1063.5,1303.6,1061.0,1350.1,1586.7,1784.4,1738.2,1700.7,2074.0,2273.7,2726.4,2916.4,3391.1,3455.7,:,:
Annual,Million euro,Services,Balance,Georgia,82.0,143.7,127.2,16.6,249.3,415.1,540.9,864.7,1068.8,980.1,1264.0,1416.2,1779.7,1905.4,1945.4,120.4,615.9,2593.5
Annual,Million euro,Services,Balance,Moldova,-16.6 d,-16.4 d,-15.9 d,4.6 d,41.9 bd,54.0 d,114.3 d,84.0 d,114.5 d,95.8 d,119.1 d,199.3 d,270.1 d,301.4 d,326.5 d,349.2 d,399.3 d,863.0 d
Annual,Million euro,Services,Balance,Ukraine,2299.4,2371.6,2521.4,2107.4,2427.4,4230.4,5664.8,5835.4,4891.2,1907.5 d,980.0 d,449.7 d,804.6 d,1143.0 d,1567.6 d,3845.7 d,3368.9 d,-10736.5 d
Annual,Million euro,Services,Credit,Armenia,345.2,473.9,558.8,569.0,562.6,763.2,941.2,1090.5,1145.5,1222.1,1363.5,1511.0,1790.8,1863.7,2173.4,962.9,1465.5,4084.6
Annual,Million euro,Services,Credit,Azerbaijan,547.0 d,748.7 d,910.7 d,1050.4 d,1272.7 d,1559.2 d,1953.7 d,3328.3 d,3109.4 d,3231.7 d,4007.0 d,3947.8 d,4154.5 d,3968.4 d,3359.0 d,2296.2 d,3206.0 d,6073.6 d
Annual,Million euro,Services,Credit,Belarus,1880.5,2113.6,2587.8,3257.7,2636.2,3611.2,3936.0,4942.1,5739.8,6171.7,6099.1,6254.6,7000.0,7510.5,8627.8,7790.6,:,:
Annual,Million euro,Services,Credit,Georgia,595.3,726.7,806.3,865.0,950.1,1239.8,1448.9,1998.2,2245.8,2293.1,2779.5,2989.3,3512.9,3813.6,4113.0,1398.6,2163.2,5492.5
Annual,Million euro,Services,Credit,Moldova,320.2 d,371.9 d,459.5 d,573.4 d,557.9 bd,594.2 d,717.1 d,794.0 d,860.2 d,860.6 d,883.7 d,962.6 d,1112.6 d,1251.0 d,1379.2 d,1121.0 d,1381.5 d,2165.4 d
Annual,Million euro,Services,Credit,Ukraine,8374.6,9707.3,11128.0,13183.1,10714.8,13807.8,15278.2,17186.4,17032.0,11257.5 d,11208.0 d,11250.8 d,12599.4 d,13438.4 d,15611.8 d,13633.3 d,15590.1 d,15737.2 d
Annual,Million euro,Services,Debit,Armenia,463.9,544.4,697.7,780.5,760.4,959.7,988.4,1170.0,1238.4,1306.0,1449.2,1446.8,1647.7,1854.7,2251.0,859.5,1130.3,2466.9
Annual,Million euro,Services,Debit,Azerbaijan,2124.9 d,2280.7 d,2466.3 d,2641.2 d,2428.2 d,2867.7 d,4105.7 d,5601.6 d,6262.6 d,7811.4 d,7820.0 d,6798.6 d,7149.0 d,5713.0 d,5694.8 d,4785.1 d,4999.3 d,7362.9 d
Annual,Million euro,Services,Debit,Belarus,916.1,1352.7,1524.3,1954.1,1575.2,2261.1,2349.4,3157.7,4001.7,4471.1,4025.1,3980.9,4273.6,4594.1,5236.7,4334.9,:,:
Annual,Million euro,Services,Debit,Georgia,513.3,583.1,679.1,848.4,700.8,824.8,908.0,1133.5,1177.0,1313.0,1515.5,1573.1,1733.2,1908.3,2167.6,1278.2,1547.4,2899.0
Annual,Million euro,Services,Debit,Moldova,336.9 d,388.3 d,475.3 d,568.7 d,516.0 bd,540.2 d,602.8 d,710.0 d,745.7 d,764.8 d,764.6 d,763.3 d,842.5 d,949.6 d,1052.8 d,771.8 d,982.2 d,1302.4 d
Annual,Million euro,Services,Debit,Ukraine,6075.2,7335.7,8606.6,11075.7,8287.4,9577.4,9613.4,11351.0,12140.7,9350.0 d,10228.0 d,10801.1 d,11794.8 d,12295.4 d,14044.2 d,9787.6 d,12221.1 d,26473.7 d
