Time frequency,Unit of measure,Geopolitical entity (reporting),Purchases\Time,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,National currency,Netherlands,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,41041938535.0,52374434998.0,63680428140.0,62765286781.0,67322361570.0,78775649557.0,87430904791.0,82762124617.0,75907595686.0
Annual,National currency,Netherlands,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6982608007.0,7980214315.0,9942706042.0,10171616817.0,9487693527.0,13409302444.0,15692663759.0,12485976519.0,8378007916 p
Annual,National currency,Netherlands,Total,:,:,:,:,:,:,: @C,60401754778.0,63756381420.0,64425715410.0,56839773294.0,36859259669.0,38728383750.0,33823380199.0,29691623172.0,26305405614.0,42182677843.0,48024546542.0,60354649313.0,73623134182.0,72936903598.0,76810055097.0,92184952001.0,103123568550.0,95248101136.0,84285603602 p
Annual,National currency,Norway,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,328171793918.0,253295984781.0,277659549513.0,306618058403.0,433267574183 p,430718529233 p,424247835631 p
Annual,National currency,Norway,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,73881706384.0,79402366983.0,79733581869.0,74385765791.0,95647958325 p,94786319496 p,89787384952 p
Annual,National currency,Norway,Total,:,:,:,:,:,:,:,:,:,172714990027.0,167250584878.0,173576906685.0,206778076510.0,237907570211.0,267809700237.0,330372194243.0,341224914453.0,364131937678 e,362545876610 e,402053500302.0,332698351764.0,357393131382.0,381003824194.0,528915532508 p,525504848729 p,514035220583 p
Annual,National currency,Portugal,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,4232375353 e,4845251884 e,3525046985 e,2868370540 e,3113957517 e,3971647666 e,5951784789 e,7735913559 e,10590939902 e,13267829055 e,14519926762.0,13543522785.0,18323892597.0,20477293201.0,16681740644.0
Annual,National currency,Portugal,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,5950098468 e,6235704568 e,3885585892 e,2622533287 e,2851525391 e,2911115384 e,3123402220 e,3040860905 e,3491328671 e,4238421908 e,4249768246.0,4702429345.0,5754064094.0,6786364824.0,6829056050.0
Annual,National currency,Portugal,Total,:,:,:,:,:,:,:,:,:,:,:,10182473821 e,11080956452 e,7410632877 e,5490903827 e,5965482908 e,6882763050 e,9075187009 e,10776774464 e,14082268573 e,17506250963 e,18769695008.0,18245952130.0,24077956691.0,27263658025.0,23510796694.0
Annual,National currency,Slovenia,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,706940062.0,820707203.0,1026302101.0,1149344843.0,1153903393.0,1251561119.0,1138049673.0,1517027378.0,1576056343.0,1298456070.0
Annual,National currency,Slovenia,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,92951119.0,147027405.0,134840846.0,213668305.0,233728458.0,129332612.0,65976799.0,166343483.0,135439069.0,273841956.0
Annual,National currency,Slovenia,Total,:,:,:,:,:,:,:,:,1113539263.0,1403434229.0,999003825.0,758634506.0,1069136307.0,878119444.0,758130635.0,580651270.0,799891181.0,967734609.0,1161142947.0,1363013150.0,1387631851.0,1380893731.0,1204026472.0,1683370861.0,1711495412.0,1572298026.0
Annual,Annual average rate of change,Austria,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-4.4,11.3,7.4,11.0,9.9,19.0,-6.6 p,-21.8 ep
Annual,Annual average rate of change,Austria,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.0,8.3,8.7,32.1,20.4,17.4,-19.7 p,-51.6 ep
Annual,Annual average rate of change,Austria,Total,:,:,:,:,:,:,:,:,:,:,:,:,:,7.2,5.6,-1.0,29.2,-1.0,-1.3,10.5,7.8,17.1,13.4,18.4,-11.1 p,-31.0 ep
Annual,Annual average rate of change,Belgium,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,13.7,-0.9,-0.4,13.1,-20.3,23.6,9.9,8.5,20.9,-13.3,28.0,7.8,-14.6
Annual,Annual average rate of change,Belgium,Total,:,:,:,:,:,:,:,:,9.9 e,9.0 e,0.0 e,-7.3 e,-20.2 de,13.7 d,-0.9 d,-0.4 d,13.1 d,-20.3 d,23.6 d,9.9 d,8.5 d,20.9 d,-13.3 d,28.0 d,7.8 d,-14.6 d
Annual,Annual average rate of change,Bulgaria,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.8,11.3,-11.6,62.2,13.5,7.9
Annual,Annual average rate of change,Bulgaria,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.3,19.3,4.7,36.6,22.0,-3.0
Annual,Annual average rate of change,Bulgaria,Total,:,:,:,:,:,:,:,:,:,-15.4,35.1,-14.4,-40.1,30.1,-18.2,-0.8,33.2,1.5 e,12.6 be,9.8 e,8.9,14.2,-5.5,51.6,16.7,3.6
Annual,Annual average rate of change,Cyprus,Total,:,:,:,:,:,:,:,:,59.0,44.2,-20.6,-56.8,44.0,-25.7,-3.1,-38.3,9.5,22.8,38.3,28.1,11.2,9.0,-28.3,1.3,35.1,36.7
Annual,Annual average rate of change,Czechia,Total,:,:,:,:,:,:,:,:,:,:,:,:,:,14.5,12.0,-5.2,5.7,28.1,13.1,-2.5,5.9,2.4,0.4,26.8,-13.9,0.7
Annual,Annual average rate of change,Denmark,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,17.4,21.8,8.2,17.4,0.8,5.9,26.4,15.8 d,-38.0 d,22.7
Annual,Annual average rate of change,Denmark,Total,:,:,:,:,:,:,:,:,-1.9,-0.9,-21.7,-16.5,19.7,-18.7,3.8,-14.4 d,17.4 d,21.8 d,8.2 d,17.4 d,0.8 d,5.9 d,26.4 d,15.8 d,-38.0 d,22.7
Annual,Annual average rate of change,Spain,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,-6.7,43.3,-35.2,-4.4,-12.6,37.2,14.4,18.7,23.7,13.9,0.8,-13.3,49.0,11.3,-12.8
Annual,Annual average rate of change,Spain,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,-33.3,-12.9,-49.2,-25.0,-51.4,18.5,-1.4,9.4,24.7,25.6,10.6,17.7,20.7,-3.1,-10.7
Annual,Annual average rate of change,Spain,Total,:,:,:,:,:,:,:,:,:,:,-38.1,-22.5,14.6,-40.7,-11.2,-23.5,33.9,11.9,17.4,23.8,15.4,2.2,-8.5,43.4,8.9,-12.5
Annual,Annual average rate of change,Finland,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.3,4.1,-3.7,7.1,11.8 b,19.8,-19.0,-31.1
Annual,Annual average rate of change,Finland,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.8,16.8,8.5,26.3,12.7 b,-4.3,-9.3,-21.5
Annual,Annual average rate of change,Finland,Total,:,:,:,:,:,:,:,:,:,:,:,:,-0.5,5.0,11.7,-12.6,-5.9,-10.3,4.1,5.9,-1.8,10.5,11.9 b,14.9,-17.4,-29.3
Annual,Annual average rate of change,France,Purchases of existing dwellings,:,:,:,:,:,:,:,:,10.3,5.2,-16.3,-18.0,39.6,14.1,-16.8,-0.8,-4.9,16.1,6.6,16.9,3.1,14.5,-1.0,23.5,-4.0,-20.7
Annual,Annual average rate of change,France,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,3.9,-33.7,28.9,9.2,-7.2,-10.3,-0.8,-2.7,17.8,26.5,8.8,1.2,6.5,-17.6,18.9,-7.8,-34.9
Annual,Annual average rate of change,France,Total,:,:,:,:,:,:,:,:,13.8 e,4.9,-19.1,-11.8,33.6,10.7,-15.9,-0.8,-4.6,16.3,9.5,15.5,2.8,13.2,-3.4,23.0,-4.5,-22.4
Annual,Annual average rate of change,Hungary,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,-30.1,-44.6,10.4,-6.0,-2.4,0.7,35.1,34.8,17.4,15.0,19.3,9.3,-11.3,44.6,7.4,-24.8
Annual,Annual average rate of change,Hungary,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,126.6,-41.5,-43.9,-22.6,-31.8,-10.7,50.5,12.9,52.2,44.6,83.8,41.0,-5.3,66.2,5.1,-33.7
Annual,Annual average rate of change,Hungary,Total,:,:,:,:,:,:,:,:,:,:,-22.7,-44.2,2.5,-7.3,-4.3,0.2,35.7,33.8,18.7,16.5,23.4,12.3,-10.6,47.3,7.1,-26.0
Annual,Annual average rate of change,Ireland,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,-15.6,27.7,21.7,47.4,15.8,6.4,13.5,4.5,4.1,-15.4,42.0,15.4,3.7
Annual,Annual average rate of change,Ireland,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,-57.0,3.5,9.3,67.9,29.7,41.2,45.9,27.3,2.2,-16.6,9.5,26.8,11.9
Annual,Annual average rate of change,Ireland,Total,:,:,:,:,:,:,:,:,:,:,:,:,-30.5,-26.0,24.1,20.2,49.7,17.5,11.1,19.1,9.4,3.6,-15.7,34.2,17.7,5.5
Annual,Annual average rate of change,Italy,Total,:,:,:,:,:,:,:,:,:,:,:,:,5.7,0.5,-26.8,-12.8,0.9,2.7,20.4,3.5,5.0,4.1,-5.8,37.6,8.3,-11.8
Annual,Annual average rate of change,Lithuania,Total,:,:,:,:,:,:,:,:,:,42.8,-17.1,-62.9,14.5,19.9,4.9,28.5,24.1,0.2,22.2,8.9,10.3,14.8,8.3,37.3,-0.4,-8.1
Annual,Annual average rate of change,Luxembourg,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-0.6,19.5,16.9,13.2,-5.0,10.9,18.3,-6.6,-42.9
Annual,Annual average rate of change,Luxembourg,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-0.3,0.4,23.3,7.0,10.7,4.3,-7.0,-21.4,-57.5
Annual,Annual average rate of change,Luxembourg,Total,:,:,:,:,:,:,:,:,:,:,-17.7 d,3.5 d,13.8 d,12.2 d,1.0 d,2.0 d,23.0 d,-0.5,12.7,18.9,11.2,0.0,8.6,9.9,-10.8,-46.6
Annual,Annual average rate of change,Latvia,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,39.0,1.6,-6.0
Annual,Annual average rate of change,Latvia,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.8,10.3,-9.8
Annual,Annual average rate of change,Latvia,Total,:,:,:,:,:,:,:,:,:,-4.5 d,-38.3 d,-43.4 d,-11.9 d,23.4 d,36.0,29.2,7.9,-22.0,24.8,3.3,3.1,11.0,1.7,31.7,3.4,-6.8
Annual,Annual average rate of change,Malta,Total,:,:,:,:,:,:,:,:,6.1,3.5,-15.2,-8.6,-2.3,11.5,2.6,-5.6,33.7,8.7,45.8,7.4,21.2,2.4,-16.1,44.8,4.1,-6.4 p
Annual,Annual average rate of change,Netherlands,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,27.6,21.6,-1.4,7.3,17.0,11.0,-5.3,-8.3
Annual,Annual average rate of change,Netherlands,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.3,24.6,2.3,-6.7,41.3,17.0,-20.4,-32.9 p
Annual,Annual average rate of change,Netherlands,Total,:,:,:,:,:,:,:,:,5.6,1.0,-11.8,-35.2,5.1,-12.7,-12.2,-11.4,60.4,13.8,25.7,22.0,-0.9,5.3,20.0,11.9,-7.6,-11.5 p
Annual,Annual average rate of change,Norway,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-22.8,9.6,10.4,41.3 p,-0.6 p,-1.5 p
Annual,Annual average rate of change,Norway,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.5,0.4,-6.7,28.6 p,-0.9 p,-5.3 p
Annual,Annual average rate of change,Norway,Total,:,:,:,:,:,:,:,:,:,:,-3.2,3.8,19.1,15.1,12.6,23.4,3.3,6.7 e,-0.4 e,10.9 e,-17.3,7.4,6.6,38.8 p,-0.6 p,-2.2 p
Annual,Annual average rate of change,Poland,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.1,17.0,17.4,14.6,-2.9,39.8,-5.3,14.5 p
Annual,Annual average rate of change,Poland,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.7,8.2,22.8,2.9,14.8,33.5,13.6,8.1 p
Annual,Annual average rate of change,Poland,Total,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.5,12.8,19.8,9.1,4.8,36.8,3.6,11.2 p
Annual,Annual average rate of change,Portugal,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,14.5 e,-27.2 e,-18.6 e,8.6 e,27.5 e,49.9 e,30.0 e,36.9 e,25.3 e,9.4 e,-6.7,35.3,11.8,-18.5
Annual,Annual average rate of change,Portugal,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,4.8 e,-37.7 e,-32.5 e,8.7 e,2.1 e,7.3 e,-2.6 e,14.8 e,21.4 e,0.3 e,10.7,22.4,17.9,0.6
Annual,Annual average rate of change,Portugal,Total,:,:,:,:,:,:,:,:,:,:,:,:,8.8 e,-33.1 e,-25.9 e,8.6 e,15.4 e,31.9 e,18.7 e,30.7 e,24.3 e,7.2 e,-2.8,32.0,13.2,-13.8
Annual,Annual average rate of change,Sweden,Total,:,:,:,:,:,:,:,:,15.4,25.3,-9.2,2.6,6.5,-2.3,4.0,11.4,13.6,20.3,5.6,13.4,-5.5,4.6,9.8,18.4,-9.1,-18.2 p
Annual,Annual average rate of change,Slovenia,Purchases of existing dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.1,25.1,12.0,0.4,8.5,-9.1,33.3,3.9,-17.6
Annual,Annual average rate of change,Slovenia,Purchases of newly built dwellings,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,58.2,-8.3,58.5,9.4,-44.7,-49.0,152.1,-18.6,102.2
Annual,Annual average rate of change,Slovenia,Total,:,:,:,:,:,:,:,:,:,26.0,-28.8,-24.1,40.9,-17.9,-13.7,-23.4,37.8,21.0,20.0,17.4,1.8,-0.5,-12.8,39.8,1.7,-8.1
Annual,Annual average rate of change,United Kingdom,Total,:,:,:,:,:,:,:,:,131146.3,6.5,-44.8,-7.1,11.8,-0.3,4.0,18.3,19.4,8.3,7.4,3.1,0.1,-0.9,:,:,:,:
