Time frequency,Type of perpetrator,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Non-partner - male,Percentage,Finland,41.4
Annual,Non-partner - male,Percentage,France,24.3
Annual,Non-partner - male,Percentage,Croatia,16.5
Annual,Non-partner - male,Percentage,Hungary,16.8
Annual,Non-partner - male,Percentage,Ireland,24.4
Annual,Non-partner - male,Percentage,Lithuania,11.9
Annual,Non-partner - male,Percentage,Luxembourg,31.5
Annual,Non-partner - male,Percentage,Latvia,12.0
Annual,Non-partner - male,Percentage,Montenegro,4.3
Annual,Non-partner - male,Percentage,Malta,12.6
Annual,Non-partner - male,Percentage,Netherlands,31.1
Annual,Non-partner - male,Percentage,Poland,7.1
Annual,Non-partner - male,Percentage,Portugal,9.9
Annual,Non-partner - male,Percentage,Romania,10.6
Annual,Non-partner - male,Percentage,Serbia,6.7
Annual,Non-partner - male,Percentage,Sweden,40.3
Annual,Non-partner - male,Percentage,Slovenia,14.6
Annual,Non-partner - male,Percentage,Slovakia,15.3
Annual,Non-partner - male,Percentage,Kosovo*,4.1
Annual,Stranger - male or female,Percentage,Austria,12.6
Annual,Stranger - male or female,Percentage,Belgium,7.5
Annual,Stranger - male or female,Percentage,Bulgaria,1.7
Annual,Stranger - male or female,Percentage,Cyprus,3.4 u
Annual,Stranger - male or female,Percentage,Czechia,2.1 u
Annual,Stranger - male or female,Percentage,Germany,4.5
Annual,Stranger - male or female,Percentage,Denmark,19.5
Annual,Stranger - male or female,Percentage,Estonia,10.1
Annual,Stranger - male or female,Percentage,Greece,10.6
Annual,Stranger - male or female,Percentage,Spain,10.7
Annual,Stranger - male or female,Percentage,European Union (aggregate changing according to the context),8.4 e
Annual,Stranger - male or female,Percentage,Finland,19.5
Annual,Stranger - male or female,Percentage,France,12.6
Annual,Stranger - male or female,Percentage,Croatia,6.5
Annual,Stranger - male or female,Percentage,Hungary,4.4
Annual,Stranger - male or female,Percentage,Ireland,12.7
Annual,Stranger - male or female,Percentage,Lithuania,5.3
Annual,Stranger - male or female,Percentage,Luxembourg,14.0
Annual,Stranger - male or female,Percentage,Latvia,7.9
Annual,Stranger - male or female,Percentage,Montenegro,1.4 u
Annual,Stranger - male or female,Percentage,Malta,5.5
Annual,Stranger - male or female,Percentage,Netherlands,18.1
Annual,Stranger - male or female,Percentage,Poland,3.1
Annual,Stranger - male or female,Percentage,Portugal,4.5
Annual,Stranger - male or female,Percentage,Romania,2.1 u
Annual,Stranger - male or female,Percentage,Serbia,2.8
Annual,Stranger - male or female,Percentage,Sweden,24.5
Annual,Stranger - male or female,Percentage,Slovenia,4.1
Annual,Stranger - male or female,Percentage,Slovakia,2.8
Annual,Stranger - male or female,Percentage,Kosovo*,1.4 u
Annual,Stranger - male,Percentage,Austria,12.2
Annual,Stranger - male,Percentage,Belgium,7.4
Annual,Stranger - male,Percentage,Bulgaria,1.5
Annual,Stranger - male,Percentage,Cyprus,3.4 u
Annual,Stranger - male,Percentage,Czechia,2.0 u
Annual,Stranger - male,Percentage,Germany,4.4
Annual,Stranger - male,Percentage,Denmark,18.8
Annual,Stranger - male,Percentage,Estonia,9.6
Annual,Stranger - male,Percentage,Greece,10.4
Annual,Stranger - male,Percentage,Spain,10.2
Annual,Stranger - male,Percentage,European Union (aggregate changing according to the context),8.0 e
Annual,Stranger - male,Percentage,Finland,18.4
Annual,Stranger - male,Percentage,France,12.2
Annual,Stranger - male,Percentage,Croatia,6.2
Annual,Stranger - male,Percentage,Hungary,4.1
Annual,Stranger - male,Percentage,Ireland,12.5
Annual,Stranger - male,Percentage,Lithuania,5.2
Annual,Stranger - male,Percentage,Luxembourg,13.9
Annual,Stranger - male,Percentage,Latvia,7.3
Annual,Stranger - male,Percentage,Montenegro,: u
Annual,Stranger - male,Percentage,Malta,5.1
Annual,Stranger - male,Percentage,Netherlands,17.5
Annual,Stranger - male,Percentage,Poland,3.0
Annual,Stranger - male,Percentage,Portugal,3.9
Annual,Stranger - male,Percentage,Romania,1.8 u
Annual,Stranger - male,Percentage,Serbia,2.5
Annual,Stranger - male,Percentage,Sweden,23.9
Annual,Stranger - male,Percentage,Slovenia,3.9
Annual,Stranger - male,Percentage,Slovakia,2.6
Annual,Stranger - male,Percentage,Kosovo*,1.3 u
