Annual,From 10 to 14 years,Poland,22.0,29.0,30.0,28.0,23.0,21.0,22.0,22.0,14.0,11.0,9.0,10.0,9.0,12.0,14.0,17.0,20.0,31.0,29.0,48.0,34.0,33.0,38.0,37.0
Annual,From 10 to 14 years,Portugal,24.0,27.0,28.0,25.0,22.0,23.0,12.0,17.0,28.0,44.0,56.0,58.0,57.0,45.0,34.0,31.0,41.0,51.0,71.0,65.0,55.0,48.0,46.0,37.0
Annual,From 10 to 14 years,Romania,3.0,2.0,8.0,10.0,12.0,9.0,16.0,21.0,21.0,18.0,16.0,12.0,9.0,8.0,5.0,6.0,7.0,8.0,7.0,11.0,14.0,15.0,8.0,13.0
Annual,From 10 to 14 years,Serbia,3.0,3.0,4.0,4.0,5.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,7.0,8.0,12.0,14.0,11.0,9.0,12.0,12.0,14.0
Annual,From 10 to 14 years,Sweden,111.0,110.0,110.0,81.0,63.0,46.0,31.0,31.0,35.0,63.0,72.0,82.0,94.0,91.0,72.0,54.0,49.0,40.0,44.0,49.0,22.0,45.0,37.0,37.0
Annual,From 10 to 14 years,Slovenia,4.0,5.0,5.0,6.0,5.0,2.0,2.0,4.0,4.0,4.0,6.0,8.0,9.0,6.0,6.0,5.0,3.0,5.0,10.0,6.0,4.0,2.0,1.0,0.0
Annual,From 10 to 14 years,Slovakia,3.0,3.0,2.0,6.0,11.0,10.0,4.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,6.0,7.0,9.0,8.0,6.0,6.0,7.0,6.0,7.0
Annual,From 10 to 14 years,Türkiye,16.0,15.0,31.0,42.0,46.0,58.0,52.0,38.0,42.0,67.0,86.0,89.0,78.0,71.0,51.0,67.0,87.0,99.0,124.0,122.0,97.0,131.0,151.0,176.0
Annual,From 10 to 14 years,United Kingdom,:,239.0,266.0,237.0,217.0,196.0,171.0,182.0,182.0,183.0,220.0,259.0,255.0,232.0,223.0,229.0,232.0,226.0,265.0,275 d,:,:,:,:
Annual,From 15 to 19 years,Austria,10.0,12.0,16.0,14.0,8.0,7.0,12.0,22.0,29.0,28.0,41.0,37.0,41.0,36.0,45.0,48.0,57.0,57.0,59.0,60.0,36.0,38.0,45.0,75.0
Annual,From 15 to 19 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0
Annual,From 15 to 19 years,Belgium,19.0,17.0,18.0,21.0,33.0,46.0,50.0,49.0,36.0,25.0,21.0,27.0,20.0,30.0,36.0,39.0,37.0,32.0,28.0,34.0,18.0,37.0,39.0,54.0
Annual,From 15 to 19 years,Bulgaria,6.0,7.0,13.0,16.0,23.0,23.0,20.0,20.0,17.0,14.0,11.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,6.0,3.0,12.0,9.0
Annual,From 15 to 19 years,Switzerland,14.0,10.0,7.0,7.0,12.0,15.0,19.0,21.0,27.0,31.0,46.0,65.0,75.0,74.0,75.0,62.0,37.0,18.0,31.0,20.0,22.0,26.0,26.0,21.0
Annual,From 15 to 19 years,Cyprus,6.0,5.0,4.0,2.0,5.0,4.0,5.0,8.0,6.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,3.0,0.0,1.0,3.0,4.0,2.0
Annual,From 15 to 19 years,Czechia,2.0,4.0,1.0,2.0,4.0,10.0,13.0,22.0,28.0,20.0,17.0,7.0,2.0,1.0,3.0,5.0,12.0,16.0,17.0,22.0,20.0,19.0,14.0,20.0
Annual,From 15 to 19 years,Germany,48.0,45.0,51.0,60.0,84.0,123.0,203.0,190.0,169.0,168.0,157.0,103.0,122.0,138.0,163.0,202.0,206.0,198.0,169.0,147.0,83.0,102.0,138.0,174.0
Annual,From 15 to 19 years,Denmark,18.0,16.0,18.0,20.0,14.0,14.0,11.0,13.0,12.0,12.0,18.0,24.0,16.0,18.0,21.0,26.0,31.0,31.0,35.0,28.0,8.0,13.0,16.0,14.0
Annual,From 15 to 19 years,Estonia,4.0,7.0,7.0,6.0,11.0,13.0,13.0,12.0,5.0,4.0,5.0,1.0,1.0,4.0,3.0,6.0,5.0,9.0,8.0,6.0,1.0,6.0,7.0,6.0
Annual,From 15 to 19 years,Greece,12.0,12.0,10.0,8.0,15.0,15.0,36.0,43.0,49.0,15.0,17.0,11.0,8.0,6.0,9.0,9.0,9.0,10.0,14.0,12.0,10.0,10.0,15.0,23.0
Annual,From 15 to 19 years,Spain,26.0,25.0,34.0,52.0,65.0,100.0,134.0,138.0,70.0,35.0,35.0,31.0,23.0,22.0,41.0,57.0,62.0,74.0,85.0,89.0,48.0,68.0,88.0,98.0
Annual,From 15 to 19 years,Finland,15.0,4.0,3.0,7.0,4.0,6.0,4.0,3.0,4.0,4.0,4.0,6.0,9.0,8.0,9.0,14.0,18.0,19.0,24.0,21.0,2.0,8.0,18.0,20.0
Annual,From 15 to 19 years,France,42.0,33.0,40.0,56.0,73.0,97.0,133.0,129.0,115.0,97.0,77.0,64.0,65.0,88.0,104.0,112.0,119.0,129.0,131.0,121.0,78.0,84.0,86.0,102.0
Annual,From 15 to 19 years,Croatia,3.0,3.0,5.0,3.0,5.0,7.0,2.0,7.0,6.0,5.0,3.0,3.0,2.0,3.0,5.0,8.0,9.0,7.0,7.0,6.0,4.0,5.0,8.0,8.0
Annual,From 15 to 19 years,Hungary,7.0,2.0,5.0,4.0,4.0,7.0,7.0,7.0,8.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0
Annual,From 15 to 19 years,Ireland,22.0,22.0,14.0,17.0,25.0,23.0,22.0,23.0,20.0,21.0,18.0,8.0,8.0,12.0,21.0,31.0,32.0,34.0,37.0,49.0,56.0,67.0,93.0,114.0
Annual,From 15 to 19 years,Iceland,3.0,2.0,5.0,12.0,11.0,18.0,18.0,21.0,19.0,19.0,16.0,8.0,7.0,5.0,4.0,10.0,16.0,16.0,17.0,11.0,1.0,3.0,0.0,0.0
Annual,From 15 to 19 years,Italy,57.0,51.0,61.0,63.0,53.0,66.0,94.0,114.0,86.0,68.0,63.0,54.0,48.0,45.0,48.0,56.0,61.0,76.0,80.0,77.0,43.0,40.0,35.0,34.0
Annual,From 15 to 19 years,Lithuania,8.0,7.0,4.0,7.0,7.0,7.0,6.0,9.0,11.0,4.0,3.0,5.0,1.0,1.0,6.0,6.0,9.0,8.0,8.0,8.0,3.0,5.0,5.0,6.0
Annual,From 15 to 19 years,Luxembourg,3.0,4.0,3.0,2.0,8.0,7.0,6.0,7.0,15.0,10.0,8.0,9.0,5.0,0.0,4.0,5.0,3.0,6.0,12.0,15.0,11.0,14.0,19.0,25.0
Annual,From 15 to 19 years,Latvia,6.0,3.0,4.0,4.0,10.0,13.0,17.0,23.0,23.0,19.0,12.0,8.0,3.0,6.0,11.0,12.0,12.0,15.0,7.0,5.0,3.0,2.0,5.0,6.0
Annual,From 15 to 19 years,Montenegro,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Annual,From 15 to 19 years,North Macedonia,:,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,:,:,:,:,:,:,:,0.0,:,:,:,:,:
Annual,From 15 to 19 years,Malta,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,3.0,4.0,2.0,2.0,2.0,7.0,8.0,11.0,16.0,18.0,18.0,22.0,17.0,44.0,53.0,75.0
Annual,From 15 to 19 years,Netherlands,11.0,13.0,15.0,23.0,48.0,55.0,70.0,73.0,79.0,51.0,59.0,50.0,45.0,39.0,38.0,36.0,32.0,36.0,50.0,50.0,29.0,33.0,33.0,51.0
Annual,From 15 to 19 years,Norway,5.0,6.0,6.0,12.0,16.0,35.0,51.0,51.0,48.0,31.0,28.0,19.0,25.0,24.0,14.0,8.0,5.0,9.0,10.0,10.0,7.0,5.0,3.0,3.0
Annual,From 15 to 19 years,Poland,3.0,6.0,0.0,3.0,8.0,15.0,21.0,28.0,25.0,24.0,22.0,22.0,16.0,10.0,10.0,15.0,18.0,22.0,22.0,27.0,27.0,29.0,35.0,39.0
Annual,From 15 to 19 years,Portugal,9.0,10.0,10.0,12.0,18.0,27.0,31.0,32.0,25.0,22.0,16.0,11.0,21.0,36.0,46.0,57.0,48.0,45.0,40.0,34.0,20.0,25.0,32.0,49.0
Annual,From 15 to 19 years,Romania,0.0,0.0,0.0,1.0,4.0,7.0,5.0,5.0,9.0,13.0,16.0,19.0,17.0,10.0,9.0,10.0,17.0,15.0,12.0,8.0,4.0,6.0,9.0,8.0
Annual,From 15 to 19 years,Serbia,6.0,6.0,7.0,8.0,11.0,11.0,9.0,9.0,6.0,3.0,0.0,1.0,3.0,6.0,8.0,8.0,7.0,6.0,4.0,8.0,10.0,10.0,12.0,23.0
Annual,From 15 to 19 years,Sweden,25.0,29.0,38.0,65.0,86.0,87.0,95.0,97.0,83.0,69.0,65.0,41.0,29.0,35.0,52.0,67.0,69.0,72.0,64.0,56.0,23.0,25.0,30.0,34.0
Annual,From 15 to 19 years,Slovenia,1.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,8.0,11.0,13.0,9.0,5.0,1.0,1.0,0.0,1.0
Annual,From 15 to 19 years,Slovakia,1.0,3.0,6.0,5.0,6.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,6.0,7.0,3.0,4.0,7.0
Annual,From 15 to 19 years,Türkiye,10.0,11.0,4.0,11.0,21.0,20.0,19.0,21.0,31.0,33.0,26.0,31.0,35.0,46.0,68.0,81.0,80.0,76.0,57.0,35.0,24.0,42.0,61.0,113.0
Annual,From 15 to 19 years,United Kingdom,:,76.0,90.0,113.0,140.0,168.0,169.0,183.0,179.0,165.0,149.0,132.0,119.0,125.0,153.0,185.0,241.0,248.0,244.0,204 d,:,:,:,:
Annual,From 5 to 9 years,Austria,37.0,42.0,57.0,70.0,99.0,101.0,98.0,92.0,98.0,95.0,85.0,78.0,89.0,117.0,123.0,130.0,123.0,117.0,154.0,111.0,71.0,103.0,107.0,98.0
Annual,From 5 to 9 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0
Annual,From 5 to 9 years,Belgium,36.0,17.0,26.0,34.0,39.0,35.0,28.0,30.0,30.0,25.0,28.0,24.0,39.0,39.0,43.0,43.0,48.0,35.0,31.0,27.0,27.0,27.0,24.0,21.0
Annual,From 5 to 9 years,Bulgaria,4.0,3.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,4.0,7.0,10.0,15.0,17.0,18.0,14.0,12.0,12.0,8.0,4.0,6.0,8.0,4.0,4.0
Annual,From 5 to 9 years,Switzerland,78.0,86.0,89.0,79.0,81.0,93.0,101.0,88.0,93.0,90.0,85.0,75.0,86.0,82.0,85.0,97.0,104.0,99.0,99.0,73.0,41.0,52.0,61.0,84.0
Annual,From 5 to 9 years,Cyprus,4.0,4.0,2.0,0.0,3.0,6.0,8.0,11.0,14.0,12.0,8.0,12.0,13.0,10.0,5.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0
Annual,From 5 to 9 years,Czechia,14.0,17.0,13.0,16.0,25.0,20.0,21.0,15.0,11.0,15.0,20.0,20.0,24.0,28.0,28.0,28.0,32.0,28.0,25.0,17.0,11.0,14.0,8.0,16.0
Annual,From 5 to 9 years,Germany,235.0,168.0,192.0,229.0,264.0,324.0,348.0,351.0,325.0,269.0,210.0,201.0,219.0,236.0,285.0,325.0,317.0,294.0,286.0,263.0,158.0,218.0,208.0,197.0
Annual,From 5 to 9 years,Denmark,28.0,26.0,28.0,28.0,34.0,46.0,45.0,43.0,33.0,33.0,26.0,24.0,24.0,24.0,23.0,22.0,22.0,23.0,22.0,25.0,21.0,21.0,27.0,25.0
Annual,From 5 to 9 years,Estonia,5.0,3.0,2.0,2.0,4.0,4.0,3.0,6.0,2.0,3.0,3.0,5.0,8.0,8.0,10.0,4.0,5.0,9.0,9.0,3.0,5.0,3.0,1.0,4.0
Annual,From 5 to 9 years,Greece,34.0,20.0,14.0,10.0,19.0,21.0,20.0,17.0,14.0,13.0,10.0,15.0,18.0,30.0,48.0,52.0,47.0,40.0,22.0,8.0,7.0,9.0,12.0,13.0
Annual,From 5 to 9 years,Spain,101.0,43.0,26.0,32.0,71.0,112.0,146.0,187.0,181.0,173.0,153.0,142.0,150.0,149.0,140.0,131.0,110.0,88.0,100.0,98.0,65.0,122.0,142.0,160.0
Annual,From 5 to 9 years,Finland,12.0,9.0,8.0,13.0,16.0,28.0,33.0,40.0,41.0,40.0,35.0,33.0,33.0,36.0,40.0,36.0,33.0,24.0,23.0,15.0,10.0,14.0,23.0,26.0
Annual,From 5 to 9 years,France,186.0,143.0,133.0,130.0,154.0,161.0,168.0,184.0,185.0,165.0,141.0,141.0,128.0,132.0,151.0,152.0,150.0,131.0,121.0,86.0,74.0,73.0,83.0,87.0
