Time frequency,Unit of measure,Sector of performance,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage based on head count (HC),All sectors,North Macedonia,52.62,:,:,49.05,50.82,52.27,53.41,53.31,53.74,:,54.43,:
Annual,Percentage based on head count (HC),All sectors,Malta,29.42,30.37,30.39,28.54,28.71,30.92,32.19,33.35,33.03,34.37,35.72,:
Annual,Percentage based on head count (HC),All sectors,Netherlands,23.95 b,24.56 b,24.93,25.2,26.05,26.14,27.04,27.85,28.59,30.25,30.17 b,:
Annual,Percentage based on head count (HC),All sectors,Norway,36.2,36.95,37.43,37.38,37.58,38.06,38.76,38.59,38.66,38.55,38.73,:
Annual,Percentage based on head count (HC),All sectors,Poland,38.29,37.79,37.23,37.02,36.44,38.11,37.9,37.6,36.58,36.24,35.75,:
Annual,Percentage based on head count (HC),All sectors,Portugal,45.02,45.42 b,44.29,44.14,43.48,43.66,43.25,42.82,42.48,42.56,42.13,:
Annual,Percentage based on head count (HC),All sectors,Romania,45.14,45.69,46.01,46.23,45.78,46.74,46.25,46.91,47.26,46.62,46.11,:
Annual,Percentage based on head count (HC),All sectors,Serbia,49.64,50.46,49.15,49.23,48.41,50.04,51.37,51.94,52.87,52.32,52.47,53.48
Annual,Percentage based on head count (HC),All sectors,Russia,41.25 e,40.88 e,40.52 e,40.31,:,39.55,39.22,39.08,:,:,:,:
Annual,Percentage based on head count (HC),All sectors,Sweden,:,33.27 be,:,33.72 e,:,32.63,:,33.27,:,33.52 b,:,:
Annual,Percentage based on head count (HC),All sectors,Slovenia,35.8,35.99,36.09,36.49,34.51,32.31,32.54,33.3,33.64,34.42,35.03,:
Annual,Percentage based on head count (HC),All sectors,Slovakia,42.26,42.7,42.49,42.19,41.42,41.92,41.19,41.03,41.15,40.74,39.97,:
Annual,Percentage based on head count (HC),All sectors,Türkiye,36.15,36.23,36.89,37.46,37.94,37.91,37.2,37.45,37.53,37.18,37.33,:
Annual,Percentage based on head count (HC),All sectors,United Kingdom,37.83 e,38.1,37.41 e,38.59,38.67 e,38.75 e,38.6 e,:,:,:,:,:
