Time frequency,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Fifth quintile,Percentage of disposable income,Slovakia,58 i,64.1 i,55 i
Annual,Fifth quintile,Percentage of disposable income,United Kingdom,59.7 e,68.1 i,:
Annual,Total,Percentage of disposable income,Austria,89.1 i,80.1 i,76.9 i
Annual,Total,Percentage of disposable income,Belgium,89.3 i,81.8 i,67 i
Annual,Total,Percentage of disposable income,Bulgaria,54.9 e,72.6 i,59.2 i
Annual,Total,Percentage of disposable income,Cyprus,93 i,88.1 i,76.9 i
Annual,Total,Percentage of disposable income,Czechia,: u,66.9 i,70.1 i
Annual,Total,Percentage of disposable income,Germany,82.9 i,81.2 i,77.7 i
Annual,Total,Percentage of disposable income,Denmark,95.1 i,70.5 i,63.9 i
Annual,Total,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,78.4 i,73.2 i
Annual,Total,Percentage of disposable income,Euro area – 20 countries (from 2023),:,78.6 i,73.3 i
Annual,Total,Percentage of disposable income,Estonia,67.2 i,66.6 i,58 i
Annual,Total,Percentage of disposable income,Greece,116.5 i,110.2 i,90.7 i
Annual,Total,Percentage of disposable income,Spain,84.4 i,80.4 i,67.2 i
Annual,Total,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,79.2 i,71.6 i
Annual,Total,Percentage of disposable income,European Union - 27 countries (from 2020),:,78 i,71.6 i
Annual,Total,Percentage of disposable income,Finland,79.3 i,81.3 i,:
Annual,Total,Percentage of disposable income,France,71.1 i,67.5 i,70.2 i
Annual,Total,Percentage of disposable income,Croatia,91.9 i,93.9 i,79.2 i
Annual,Total,Percentage of disposable income,Hungary,82 i,84.6 i,77.5 i
Annual,Total,Percentage of disposable income,Ireland,82.5 i,74.5 i,:
Annual,Total,Percentage of disposable income,Italy,77.4 i,:,:
Annual,Total,Percentage of disposable income,Lithuania,75.3 i,62.6 i,53.7 i
Annual,Total,Percentage of disposable income,Luxembourg,70.5 i,73.3 i,68.6 i
Annual,Total,Percentage of disposable income,Latvia,87.8 i,72.4 i,69.3 i
Annual,Total,Percentage of disposable income,Malta,92.9 i,85.3 i,72.9 i
Annual,Total,Percentage of disposable income,Netherlands,:,79.4 i,73 i
Annual,Total,Percentage of disposable income,Poland,73.5 i,68.5 i,49.8 i
Annual,Total,Percentage of disposable income,Portugal,91.8 i,84.1 i,:
Annual,Total,Percentage of disposable income,Romania,98.5 i,95 i,88.5 i
Annual,Total,Percentage of disposable income,Sweden,82.5 i,74.9 i,:
Annual,Total,Percentage of disposable income,Slovenia,82.7 i,80.4 i,78.5 i
Annual,Total,Percentage of disposable income,Slovakia,70.8 i,81.3 i,71.7 i
Annual,Total,Percentage of disposable income,United Kingdom,: u,86.1 i,:
