Time frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2010.0
Annual,Total,Euro,Makroregion południowy,5.08
Annual,Total,Euro,Region Wschodni (NUTS 2013),4.67
Annual,Total,Euro,Makroregion północno-zachodni,4.77
Annual,Total,Euro,Makroregion południowo-zachodni,5.04
Annual,Total,Euro,Makroregion północny,4.82
Annual,Total,Euro,Continente,7.76
Annual,Total,Euro,Região Autónoma dos Açores,6.08
Annual,Total,Euro,Região Autónoma da Madeira,6.87
Annual,Total,Euro,Macroregiunea Unu,2.31
Annual,Total,Euro,Macroregiunea Doi,2.14
Annual,Total,Euro,Macroregiunea Trei,3.25
Annual,Total,Euro,Macroregiunea Patru,2.27
Annual,Total,Euro,Östra Sverige,18.62
Annual,Total,Euro,Södra Sverige,17.17
Annual,Total,Euro,Norra Sverige,16.48
Annual,Total,Euro,Slovenia,9.1
Annual,Total,Euro,Slovakia,4.74
Annual,Total,Euro,Türkiye,4.46
Annual,Total,Euro,North East (UK) (NUTS 2021),15.19
Annual,Total,Euro,North West (UK) (NUTS 2021),15.38
Annual,Total,Euro,Yorkshire and The Humber (NUTS 2021),15.11
Annual,Total,Euro,East Midlands (UK) (NUTS 2021),15.12
Annual,Total,Euro,West Midlands (UK) (NUTS 2021),15.49
Annual,Total,Euro,East of England (NUTS 2021),15.95
Annual,Total,Euro,London (NUTS 2021),24.14
Annual,Total,Euro,South East (UK) (NUTS 2021),17.65
Annual,Total,Euro,South West (UK) (NUTS 2021),15.39
Annual,Total,Euro,Wales (NUTS 2021),14.63
Annual,Total,Euro,Scotland (NUTS 2021),15.98
Annual,Total,Euro,Northern Ireland (UK) (NUTS 2021),14.8
Annual,Total,Purchasing power standard (PPS),Ostösterreich,14.01
Annual,Total,Purchasing power standard (PPS),Südösterreich,12.63
Annual,Total,Purchasing power standard (PPS),Westösterreich,13.11
Annual,Total,Purchasing power standard (PPS),Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,19.85
Annual,Total,Purchasing power standard (PPS),Vlaams Gewest,16.37
Annual,Total,Purchasing power standard (PPS),Région wallonne,16.85
Annual,Total,Purchasing power standard (PPS),Severna i Yugoiztochna Bulgaria,4.07
Annual,Total,Purchasing power standard (PPS),Yugozapadna i Yuzhna tsentralna Bulgaria,4.97
Annual,Total,Purchasing power standard (PPS),Schweiz/Suisse/Svizzera,19.2
Annual,Total,Purchasing power standard (PPS),Kýpros,13.59
Annual,Total,Purchasing power standard (PPS),Czechia,7.5
Annual,Total,Purchasing power standard (PPS),Baden-Württemberg,17.29
Annual,Total,Purchasing power standard (PPS),Bayern,17.09
Annual,Total,Purchasing power standard (PPS),Berlin,15.74
Annual,Total,Purchasing power standard (PPS),Brandenburg,13.11
Annual,Total,Purchasing power standard (PPS),Bremen,17.46
Annual,Total,Purchasing power standard (PPS),Hamburg,19.05
Annual,Total,Purchasing power standard (PPS),Hessen,18.03
Annual,Total,Purchasing power standard (PPS),Mecklenburg-Vorpommern,12.14
Annual,Total,Purchasing power standard (PPS),Niedersachsen,15.25
Annual,Total,Purchasing power standard (PPS),Nordrhein-Westfalen,16.66
Annual,Total,Purchasing power standard (PPS),Rheinland-Pfalz,16.08
Annual,Total,Purchasing power standard (PPS),Saarland,15.66
Annual,Total,Purchasing power standard (PPS),Sachsen,12.71
Annual,Total,Purchasing power standard (PPS),Sachsen-Anhalt,12.72
Annual,Total,Purchasing power standard (PPS),Schleswig-Holstein,14.81
Annual,Total,Purchasing power standard (PPS),Thüringen,12.42
Annual,Total,Purchasing power standard (PPS),Denmark,28.35
Annual,Total,Purchasing power standard (PPS),Eesti,7.05
Annual,Total,Purchasing power standard (PPS),Voreia Ellada (NUTS 2010),11.03
Annual,Total,Purchasing power standard (PPS),Kentriki Ellada (NUTS 2010),11.93
Annual,Total,Purchasing power standard (PPS),Attiki,12.39
Annual,Total,Purchasing power standard (PPS),"Nisia Aigaiou, Kriti",10.6
Annual,Total,Purchasing power standard (PPS),Noroeste,11.39
Annual,Total,Purchasing power standard (PPS),Noreste,13.33
Annual,Total,Purchasing power standard (PPS),Comunidad de Madrid,13.02
Annual,Total,Purchasing power standard (PPS),Centro (ES),11.35
Annual,Total,Purchasing power standard (PPS),Este,12.5
Annual,Total,Purchasing power standard (PPS),Sur,11.26
Annual,Total,Purchasing power standard (PPS),Canarias,10.56
Annual,Total,Purchasing power standard (PPS),Manner-Suomi,15.18
Annual,Total,Purchasing power standard (PPS),Åland,14.59
Annual,Total,Purchasing power standard (PPS),Ile de France,17.74
Annual,Total,Purchasing power standard (PPS),Bassin Parisien (NUTS 2013),13.18
Annual,Total,Purchasing power standard (PPS),Nord-Pas-de-Calais (NUTS 2013),13.31
Annual,Total,Purchasing power standard (PPS),Est (FR) (NUTS 2013),13.31
Annual,Total,Purchasing power standard (PPS),Ouest (FR) (NUTS 2013),12.84
Annual,Total,Purchasing power standard (PPS),Sud-Ouest (FR) (NUTS 2013),13.54
Annual,Total,Purchasing power standard (PPS),Centre-Est (FR) (NUTS 2013),13.8
Annual,Total,Purchasing power standard (PPS),Méditerranée (NUTS 2013),13.88
Annual,Total,Purchasing power standard (PPS),Hrvatska,8.34
Annual,Total,Purchasing power standard (PPS),Közép-Magyarország,9.18
Annual,Total,Purchasing power standard (PPS),Dunántúl,6.71
Annual,Total,Purchasing power standard (PPS),Alföld és Észak,6.11
Annual,Total,Purchasing power standard (PPS),Ireland,20.11
Annual,Total,Purchasing power standard (PPS),Ísland,11.61
Annual,Total,Purchasing power standard (PPS),Nord-Ovest,14.4
Annual,Total,Purchasing power standard (PPS),Sud,14.07
Annual,Total,Purchasing power standard (PPS),Isole,14.71
Annual,Total,Purchasing power standard (PPS),Nord-Est,13.59
Annual,Total,Purchasing power standard (PPS),Centro (IT),14.27
Annual,Total,Purchasing power standard (PPS),Lithuania,5.81
Annual,Total,Purchasing power standard (PPS),Luxembourg,18.15
Annual,Total,Purchasing power standard (PPS),Latvia,4.15
Annual,Total,Purchasing power standard (PPS),Severna Makedonija,7.32
Annual,Total,Purchasing power standard (PPS),Malta,11.57
Annual,Total,Purchasing power standard (PPS),Noord-Nederland,14.66
Annual,Total,Purchasing power standard (PPS),Oost-Nederland,14.91
Annual,Total,Purchasing power standard (PPS),West-Nederland,16.04
Annual,Total,Purchasing power standard (PPS),Zuid-Nederland,14.81
Annual,Total,Purchasing power standard (PPS),Norway,18.94
Annual,Total,Purchasing power standard (PPS),Region Centralny (NUTS 2013),10.37
Annual,Total,Purchasing power standard (PPS),Makroregion południowy,8.5
Annual,Total,Purchasing power standard (PPS),Region Wschodni (NUTS 2013),7.81
Annual,Total,Purchasing power standard (PPS),Makroregion północno-zachodni,7.97
Annual,Total,Purchasing power standard (PPS),Makroregion południowo-zachodni,8.43
Annual,Total,Purchasing power standard (PPS),Makroregion północny,8.06
Annual,Total,Purchasing power standard (PPS),Continente,9.36
Annual,Total,Purchasing power standard (PPS),Região Autónoma dos Açores,7.34
Annual,Total,Purchasing power standard (PPS),Região Autónoma da Madeira,8.29
Annual,Total,Purchasing power standard (PPS),Macroregiunea Unu,4.65
Annual,Total,Purchasing power standard (PPS),Macroregiunea Doi,4.32
Annual,Total,Purchasing power standard (PPS),Macroregiunea Trei,6.57
Annual,Total,Purchasing power standard (PPS),Macroregiunea Patru,4.59
Annual,Total,Purchasing power standard (PPS),Östra Sverige,15.05
Annual,Total,Purchasing power standard (PPS),Södra Sverige,13.88
Annual,Total,Purchasing power standard (PPS),Norra Sverige,13.32
Annual,Total,Purchasing power standard (PPS),Slovenia,10.82
Annual,Total,Purchasing power standard (PPS),Slovakia,7.08
Annual,Total,Purchasing power standard (PPS),Türkiye,7.19
Annual,Total,Purchasing power standard (PPS),North East (UK) (NUTS 2021),14.37
Annual,Total,Purchasing power standard (PPS),North West (UK) (NUTS 2021),14.56
Annual,Total,Purchasing power standard (PPS),Yorkshire and The Humber (NUTS 2021),14.3
Annual,Total,Purchasing power standard (PPS),East Midlands (UK) (NUTS 2021),14.31
Annual,Total,Purchasing power standard (PPS),West Midlands (UK) (NUTS 2021),14.66
Annual,Total,Purchasing power standard (PPS),East of England (NUTS 2021),15.09
Annual,Total,Purchasing power standard (PPS),London (NUTS 2021),22.85
Annual,Total,Purchasing power standard (PPS),South East (UK) (NUTS 2021),16.7
Annual,Total,Purchasing power standard (PPS),South West (UK) (NUTS 2021),14.56
Annual,Total,Purchasing power standard (PPS),Wales (NUTS 2021),13.85
Annual,Total,Purchasing power standard (PPS),Scotland (NUTS 2021),15.12
Annual,Total,Purchasing power standard (PPS),Northern Ireland (UK) (NUTS 2021),14.01
