Time frequency,Vehicles,Unit of measure,Motor energy,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Motorcycles,Number,Zero emission,Montenegro,:,:,:,:,3.0,8.0,9.0,10.0,7.0,11.0,20.0,:
Annual,Motorcycles,Number,Zero emission,Malta,:,23.0,26.0,2.0,20.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0
Annual,Motorcycles,Number,Zero emission,Netherlands,:,26.0,81.0,80.0,79.0,129.0,185.0,156.0,223.0,208.0,345.0,405.0
Annual,Motorcycles,Number,Zero emission,Norway,:,:,:,:,124.0,304.0,200.0,286.0,167.0,465.0,457.0,273.0
Annual,Motorcycles,Number,Zero emission,Poland,:,0.0,0.0,0.0,0.0,0.0,:,:,:,:,612 i,:
Annual,Motorcycles,Number,Zero emission,Portugal,:,:,:,:,:,30.0,41.0,466.0,240.0,444.0,1055.0,837.0
Annual,Motorcycles,Number,Zero emission,Romania,:,:,:,:,:,:,:,67.0,76.0,126.0,226.0,337.0
Annual,Motorcycles,Number,Zero emission,Serbia,:,:,:,:,:,:,:,13.0,40.0,45.0,20.0,34.0
Annual,Motorcycles,Number,Zero emission,Sweden,:,:,118.0,321.0,472.0,284.0,496.0,370.0,405.0,461.0,353.0,308 b
Annual,Motorcycles,Number,Zero emission,Slovenia,:,:,:,:,:,:,:,:,:,:,:,80.0
Annual,Motorcycles,Number,Zero emission,Türkiye,:,139.0,619.0,513.0,888.0,732.0,39.0,19.0,50.0,251.0,1914.0,3294.0
Annual,Motorcycles,Number,Zero emission,Ukraine,:,:,:,:,:,:,:,17.0,14.0,16.0,31.0,17.0
Annual,Motorcycles,Number,Zero emission,United Kingdom,:,:,:,234.0,255.0,291.0,381.0,:,:,3435.0,3952.0,2568.0
Annual,Motorcycles,Number,Zero emission,Kosovo*,:,:,:,:,:,4.0,9.0,9.0,:,6.0,:,:
