Time frequency,Size classes in number of persons employed,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,250 persons employed or more,Females,Percentage,Norway,40.1,46.5,59.8,71.9 u
Annual,250 persons employed or more,Females,Percentage,Poland,37.1,53.7,61.4,50.8
Annual,250 persons employed or more,Females,Percentage,Portugal,45.9,53.8,64.8,60.7 u
Annual,250 persons employed or more,Females,Percentage,Romania,33.1,44.3,44.5,48.1
Annual,250 persons employed or more,Females,Percentage,Serbia,:,:,:,37.9
Annual,250 persons employed or more,Females,Percentage,Sweden,49.5,58.1,53.2 b,59.0 b
Annual,250 persons employed or more,Females,Percentage,Slovenia,69.2,67.0,73.4,65.0
Annual,250 persons employed or more,Females,Percentage,Slovakia,48.8,50.6,66.2,67.1
Annual,250 persons employed or more,Females,Percentage,United Kingdom,41.3,42.0,26.1,:
Annual,250 persons employed or more,Males,Percentage,Austria,45.3,39.7,55.9,47.3
Annual,250 persons employed or more,Males,Percentage,Belgium,58.4,66.4,62.8,61.2
Annual,250 persons employed or more,Males,Percentage,Bulgaria,33.4,55.3,51.1,44.9
Annual,250 persons employed or more,Males,Percentage,Cyprus,46.2,62.5,61.8,44.2
Annual,250 persons employed or more,Males,Percentage,Czechia,71.4,76.2,88.5 b,88.8
Annual,250 persons employed or more,Males,Percentage,Germany,40.2,49.4,42.8,59.6
Annual,250 persons employed or more,Males,Percentage,Denmark,34.5,39.4,48.3,36.3
Annual,250 persons employed or more,Males,Percentage,Estonia,31.1,51.1,46.8,43.8
Annual,250 persons employed or more,Males,Percentage,Greece,29.3,35.9,51.4,26.3
Annual,250 persons employed or more,Males,Percentage,Spain,56.1,64.5,74.7,87.8
Annual,250 persons employed or more,Males,Percentage,European Union - 27 countries (from 2020),48.7,54.3,55.7,59.9
Annual,250 persons employed or more,Males,Percentage,European Union - 28 countries (2013-2020),46.1,50.0,51.8,:
Annual,250 persons employed or more,Males,Percentage,Finland,51.6,52.0,51.3,45.4
Annual,250 persons employed or more,Males,Percentage,France,60.8,59.7,65.0,62.4
Annual,250 persons employed or more,Males,Percentage,Croatia,:,27.4,40.2,41.2
Annual,250 persons employed or more,Males,Percentage,Hungary,28.9,30.0,31.9,36.6
Annual,250 persons employed or more,Males,Percentage,Ireland,60.8,:,73.3,60.5 u
Annual,250 persons employed or more,Males,Percentage,Italy,55.4,58.7,68.9,60.7
Annual,250 persons employed or more,Males,Percentage,Lithuania,32.9,36.0,42.6,42.4
Annual,250 persons employed or more,Males,Percentage,Luxembourg,75.3,71.5,78.5,74.6
Annual,250 persons employed or more,Males,Percentage,Latvia,31.8,49.1,51.2,54.6
Annual,250 persons employed or more,Males,Percentage,North Macedonia,:,:,37.3,28.5
Annual,250 persons employed or more,Males,Percentage,Malta,53.1,62.8,64.6,52.0
Annual,250 persons employed or more,Males,Percentage,Netherlands,48.8,48.8,48.8,50.5
Annual,250 persons employed or more,Males,Percentage,Norway,51.1,54.8,63.8,69.0 u
Annual,250 persons employed or more,Males,Percentage,Poland,36.1,59.6,66.7,53.9
Annual,250 persons employed or more,Males,Percentage,Portugal,51.5,56.9,61.3,57.3
Annual,250 persons employed or more,Males,Percentage,Romania,30.1,41.3,42.2,43.3
Annual,250 persons employed or more,Males,Percentage,Serbia,:,:,:,33.9
Annual,250 persons employed or more,Males,Percentage,Sweden,51.9,63.2,58.3 b,55.7 b
Annual,250 persons employed or more,Males,Percentage,Slovenia,64.6,66.7,72.0,64.4
Annual,250 persons employed or more,Males,Percentage,Slovakia,67.5,63.1,75.1,70.4
Annual,250 persons employed or more,Males,Percentage,United Kingdom,35.4,29.2,31.6,:
Annual,250 persons employed or more,Total,Percentage,Austria,42.3,38.6,55.3,42.7
Annual,250 persons employed or more,Total,Percentage,Belgium,57.2,61.7,59.5,55.4
Annual,250 persons employed or more,Total,Percentage,Bulgaria,33.0,55.7,49.0,45.5
Annual,250 persons employed or more,Total,Percentage,Cyprus,48.4,60.8,60.2,42.6
Annual,250 persons employed or more,Total,Percentage,Czechia,65.6,71.1,85.2 b,86.8
Annual,250 persons employed or more,Total,Percentage,Germany,37.2,46.7,43.2,57.4
Annual,250 persons employed or more,Total,Percentage,Denmark,36.3,37.1,44.3,34.4
Annual,250 persons employed or more,Total,Percentage,Estonia,31.6,42.1,48.2,45.8
Annual,250 persons employed or more,Total,Percentage,Greece,30.1,35.4,46.6,28.7
Annual,250 persons employed or more,Total,Percentage,Spain,54.3,61.7,69.6,86.6
Annual,250 persons employed or more,Total,Percentage,European Union - 27 countries (from 2020),46.5,51.8,54.8,58.7
Annual,250 persons employed or more,Total,Percentage,European Union - 28 countries (2013-2020),44.8,49.0,50.2,:
Annual,250 persons employed or more,Total,Percentage,Finland,51.1,51.1,49.8,42.8
Annual,250 persons employed or more,Total,Percentage,France,57.9,56.0,62.4,61.1
Annual,250 persons employed or more,Total,Percentage,Croatia,:,30.1,44.2,44.0
Annual,250 persons employed or more,Total,Percentage,Hungary,27.0,29.4,30.6,34.8
Annual,250 persons employed or more,Total,Percentage,Ireland,67.0,:,68.0,61.6
Annual,250 persons employed or more,Total,Percentage,Italy,53.8,57.1,66.0,60.4
Annual,250 persons employed or more,Total,Percentage,Lithuania,29.3,32.0,40.9,44.0
Annual,250 persons employed or more,Total,Percentage,Luxembourg,70.7,69.1,78.1,73.3
Annual,250 persons employed or more,Total,Percentage,Latvia,29.6,46.3,49.9,56.8
Annual,250 persons employed or more,Total,Percentage,North Macedonia,:,:,40.9,28.3
Annual,250 persons employed or more,Total,Percentage,Malta,58.6,65.9,62.9,51.5
Annual,250 persons employed or more,Total,Percentage,Netherlands,45.7,46.1,45.1,48.9
Annual,250 persons employed or more,Total,Percentage,Norway,48.3,47.8,54.7,62.4
Annual,250 persons employed or more,Total,Percentage,Poland,36.5,57.2,64.5,52.7
Annual,250 persons employed or more,Total,Percentage,Portugal,49.2,55.4,62.8,58.7
Annual,250 persons employed or more,Total,Percentage,Romania,31.2,41.7,43.2,45.4
Annual,250 persons employed or more,Total,Percentage,Serbia,:,:,:,35.7
Annual,250 persons employed or more,Total,Percentage,Sweden,51.1,53.1,56.4 b,57.2 b
Annual,250 persons employed or more,Total,Percentage,Slovenia,66.6,66.8,72.6,64.7
Annual,250 persons employed or more,Total,Percentage,Slovakia,59.7,59.0,70.9,68.9
Annual,250 persons employed or more,Total,Percentage,United Kingdom,37.4,35.9,31.9,:
Annual,Total,Females,Percentage,Austria,34.4,35.4,47.2,37.1
Annual,Total,Females,Percentage,Belgium,49.3,54.1,55.0,51.6
Annual,Total,Females,Percentage,Bulgaria,31.5,49.7,47.2,45.2
Annual,Total,Females,Percentage,Cyprus,42.8,53.4,46.9,43.7
Annual,Total,Females,Percentage,Czechia,60.1,65.7,83.1 b,84.5
Annual,Total,Females,Percentage,Germany,35.3,43.2,44.9,49.6
Annual,Total,Females,Percentage,Denmark,40.8,39.4,41.7,36.5
Annual,Total,Females,Percentage,Estonia,33.5,38.9,41.0,43.5
Annual,Total,Females,Percentage,Greece,29.8,33.4,40.8,35.6
