Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 30 to 64 years,Percentage of total employment,Malta,0.44 u,0.60 u,0.58 u,0.56 u,0.56 u,0.35 u,0.79,0.77,0.83,0.47 u,0.27 bu,0.55 u,: u
Annual,From 30 to 64 years,Percentage of total employment,Netherlands,0.55,0.54,0.54 b,0.59,0.63,0.62,0.61,0.59,0.64,0.65,0.73 b,0.64,0.66
Annual,From 30 to 64 years,Percentage of total employment,Norway,0.43,0.46,0.58,0.58,0.61,0.6,0.6,0.72,0.75,0.77,0.57 b,0.48 u,0.6
Annual,From 30 to 64 years,Percentage of total employment,Poland,0.25,0.28,0.31,0.31,0.28,0.31,0.35,0.37,0.32 b,0.33,0.36 b,0.37,0.38
Annual,From 30 to 64 years,Percentage of total employment,Portugal,0.44,0.42,0.5,0.56,0.67,0.7,0.72,0.63,0.62,0.66,0.62 b,0.66,0.71
Annual,From 30 to 64 years,Percentage of total employment,Romania,0.13 u,0.2,0.13 u,0.11 u,0.11 u,0.12 u,0.13 u,: u,0.14 u,0.2,0.17 bu,0.2,0.23
Annual,From 30 to 64 years,Percentage of total employment,Serbia,0.29 u,0.30 u,0.36 u,0.48 b,0.57 b,0.37,0.46,0.46,0.48,0.4,0.48 b,0.42,0.51 b
Annual,From 30 to 64 years,Percentage of total employment,Sweden,0.91,1.0,1.1,1.08,1.1,1.08,1.12,1.07 b,0.99,1.09,1.00 b,1.02,0.86
Annual,From 30 to 64 years,Percentage of total employment,Slovenia,0.44 u,0.37 u,0.36 u,0.33 u,0.46 u,0.47 u,0.44 u,0.47 u,0.35 u,0.37 u,0.67 b,0.74,0.61
Annual,From 30 to 64 years,Percentage of total employment,Slovakia,0.3,0.34,0.45,0.47,0.43,0.38,0.37,0.35,0.33,0.33,0.32 bu,0.41,0.33 u
Annual,From 30 to 64 years,Percentage of total employment,Türkiye,0.15,0.19,0.2,0.19 b,0.23,0.2,0.22,0.26,0.26,0.19,0.17 b,0.23,0.31
Annual,From 30 to 64 years,Percentage of total employment,United Kingdom,0.88,0.95,0.89,0.93,0.95,0.92,0.97,0.9,0.93,:,:,:,:
Annual,From 30 to 64 years,Thousand persons,Austria,16.8,17.0,18.0,18.0,23.9,17.2,16.6,16.4,21.6,19.8,17.9 b,20.7,20.4
Annual,From 30 to 64 years,Thousand persons,Belgium,15.7,14.9 b,14.7,13.2,13.3,15.9,16.1 b,16.6 b,15.7,17.7,15.5 b,16.8,17.3
Annual,From 30 to 64 years,Thousand persons,Bulgaria,6.6 u,6.3 u,6.2 u,6.4 u,7.0 u,7.2,9.1,8.5,9.1 b,8.8,7.6 b,6.7 b,8.0
Annual,From 30 to 64 years,Thousand persons,Switzerland,27.3,27.6,27.8,30.4,34.0,34.3,36.5,39.3,37.8,37.8,32.3 b,27.1,28.0
Annual,From 30 to 64 years,Thousand persons,Cyprus,1.5 u,0.9 u,0.9 u,1.1 u,1.0 bu,1.5,1.9,1.8,1.3 u,2.5,2.6 b,2.0,2.0
Annual,From 30 to 64 years,Thousand persons,Czechia,19.8,16.6,17.2,18.5,21.1,22.8,24.8,24.9,24.1,20.9,22.9 b,23.9,22.6
Annual,From 30 to 64 years,Thousand persons,Germany,116.2,138.8 b,148.4,145.0,142.1,153.5,158.3,161.9,164.2,144.2 b,132.9 b,138.2,129.9
Annual,From 30 to 64 years,Thousand persons,Denmark,9.9,9.8,8.6,10.3,11.7,12.4 b,11.1 b,11.3,12.2,10.8,12.3 b,16.7,16.6 b
Annual,From 30 to 64 years,Thousand persons,Estonia,2.2 u,2.3 u,2.8,2.7,3.5,3.2,3.4,3.8,4.3,3.0,3.5 b,4.9,4.4
Annual,From 30 to 64 years,Thousand persons,Greece,8.5,6.2,7.0,9.5,11.5,12.7,13.2,14.9,15.1,17.8,17.1 b,22.3,16.1
Annual,From 30 to 64 years,Thousand persons,Spain,96.4,103.8,99.4,120.3,119.7,122.1,122.1,132.4,135.8,131.4,146.3 bd,143.2 d,134.7 d
Annual,From 30 to 64 years,Thousand persons,European Union - 27 countries (from 2020),713.8,743.4,741.2,752.8,768.9,791.0,807.2,828.0,858.1,845.8,893.6 b,944.4,913.7
Annual,From 30 to 64 years,Thousand persons,Finland,12.4,13.0,13.7,15.2,16.1,15.7,17.0,17.4,15.0,17.9,17.5 b,15.8,15.3
Annual,From 30 to 64 years,Thousand persons,France,177.2,173.8,147.9 b,115.6 b,119.4,124.1,113.6,123.1,130.3,132.5,195.1 bd,206.0 d,178.2 d
Annual,From 30 to 64 years,Thousand persons,Croatia,3.3 u,3.7 u,4.3 u,5.3 u,3.8 u,3.8 u,4.5 u,6.9 u,7.4 u,3.9 u,5.8 bu,6.3 u,6.2 bu
Annual,From 30 to 64 years,Thousand persons,Hungary,8.5,8.5,7.8,9.2,12.7,10.8,9.8,13.2,12.9,15.5,18.8 b,17.2,16.3
Annual,From 30 to 64 years,Thousand persons,Ireland,11.1,11.1,12.4,12.6,11.3,13.1,14.5 b,15.0,14.2,13.0,12.6 b,13.3,16.1
Annual,From 30 to 64 years,Thousand persons,Iceland,1.6,1.7,1.6,1.5,1.6,1.9,2.0,2.1,2.2,2.2 b,3.0 b,2.9,3.2
Annual,From 30 to 64 years,Thousand persons,Italy,69.5,68.7,75.8,90.2,83.9,82.5,87.1 b,77.8 b,94.4,96.3,70.5 b,88.8,111.0
Annual,From 30 to 64 years,Thousand persons,Lithuania,: u,: u,3.7 u,3.7 u,5.6,6.3,5.2,5.7,4.0,4.4,5.5 b,5.7,4.4
Annual,From 30 to 64 years,Thousand persons,Luxembourg,0.8 u,0.8 u,1.0 u,0.7 u,1.1 b,1.3,1.1,1.2,1.2,1.3,1.0 b,1.2,: u
Annual,From 30 to 64 years,Thousand persons,Latvia,3.5,4.3,2.8,3.1,2.6,3.4,4.0,5.5,6.9,5.1,4.2 b,3.8,3.6
Annual,From 30 to 64 years,Thousand persons,Montenegro,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,From 30 to 64 years,Thousand persons,North Macedonia,: u,0.5 u,0.7 u,1.2,1.2,0.8 u,1.4,1.3,1.3,1.3,:,:,:
Annual,From 30 to 64 years,Thousand persons,Malta,0.5 u,0.7 u,0.7 u,0.8 u,0.8 u,0.5 u,1.3,1.3,1.5,0.9 u,0.5 bu,1.2 u,: u
Annual,From 30 to 64 years,Thousand persons,Netherlands,33.7,32.6,32.6 b,35.2,37.9,37.6,37.8,37.1,40.5,41.4,47.6 b,42.7,44.7
Annual,From 30 to 64 years,Thousand persons,Norway,8.1,8.8,11.0,11.1,11.7,11.7,11.6,14.1,15.0,15.3,11.6 b,9.9 u,12.5
Annual,From 30 to 64 years,Thousand persons,Poland,29.9,33.5,38.4,38.5,35.5,39.2,46.0,48.6,43.5 b,45.1,49.8 b,52.3,53.4
Annual,From 30 to 64 years,Thousand persons,Portugal,16.1,14.8,17.6,20.2,24.3,25.8,27.2,24.3,24.3,25.6,24.4 b,26.3,28.3
Annual,From 30 to 64 years,Thousand persons,Romania,8.7 u,13.2,8.9 u,7.3 u,7.5 u,7.7 u,8.7 u,: u,10.2 u,14.2,11.1 bu,13.0,15.2
Annual,From 30 to 64 years,Thousand persons,Serbia,5.4 u,5.5 u,6.8 u,10.1 b,12.0 b,8.1,10.4,10.4,11.2,9.2,10.9 b,9.9,11.8 b
Annual,From 30 to 64 years,Thousand persons,Sweden,32.2,35.5,39.2,38.8,39.8,39.4,42.0,40.7 b,38.2,42.1,38.4 b,40.3,34.5
Annual,From 30 to 64 years,Thousand persons,Slovenia,3.2 u,2.7 u,2.6 u,2.5 u,3.4 u,3.6 u,3.5 u,3.8 u,2.9 u,3.0 u,5.5 b,6.1,5.0
Annual,From 30 to 64 years,Thousand persons,Slovakia,5.6,6.3,8.5,8.9,8.3,7.6,7.7,7.4,7.0,6.8,6.9 bu,9.1,7.2 u
Annual,From 30 to 64 years,Thousand persons,Türkiye,24.9,32.0,34.2,33.9 b,41.9,37.0,43.8,53.1,50.9,36.5,35.7 b,50.9,69.2
Annual,From 30 to 64 years,Thousand persons,United Kingdom,189.1,205.9,194.6,209.0,214.5,212.4,225.3,212.8,221.6,:,:,:,:
Annual,65 years or over,Percentage of total employment,Austria,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Belgium,: u,: bu,: u,: u,: u,: u,: bu,: bu,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Bulgaria,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: bu,: bu,: u
Annual,65 years or over,Percentage of total employment,Switzerland,1.39 u,1.15 u,1.12 u,1.75 u,1.81 u,2.21 u,1.91 u,1.72 u,2.04 u,1.89 u,1.45 bu,1.47 u,1.29 u
Annual,65 years or over,Percentage of total employment,Cyprus,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Czechia,1.08 u,1.00 u,0.72 u,0.90 u,0.90 u,1.28 u,1.31 u,1.31 u,1.33 u,0.89 u,0.79 bu,0.84 u,0.42 u
Annual,65 years or over,Percentage of total employment,Germany,0.77,0.88 b,1.02,0.82,1.1,1.04,1.17,0.99,1.04,: bu,0.98 bu,0.94 u,1.21 u
Annual,65 years or over,Percentage of total employment,Denmark,: u,: u,: u,: u,: u,: bu,: bu,: u,: u,: u,: bu,: u,: bu
Annual,65 years or over,Percentage of total employment,Estonia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Greece,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Spain,: u,: u,0.78 u,: u,: u,0.65 u,1.29 u,0.57 u,0.67 u,: u,0.35 bu,0.66 du,0.98 du
Annual,65 years or over,Percentage of total employment,European Union - 27 countries (from 2020),0.56,0.53,0.74,0.73,0.89,0.86,0.79,0.84,0.76,0.69,0.73 b,0.81,0.89
Annual,65 years or over,Percentage of total employment,Finland,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,France,: u,: u,1.55 bu,1.12 bu,2.84 u,2.43 u,1.21 u,2.11 u,: u,: u,1.18 bu,1.28 du,1.41 du
Annual,65 years or over,Percentage of total employment,Croatia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: bu
Annual,65 years or over,Percentage of total employment,Hungary,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Ireland,: u,: u,: u,: u,: u,: u,: bu,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Iceland,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Italy,: u,: u,: u,: u,: u,0.36 u,0.58 b,0.41 b,: u,0.33 u,0.33 bu,0.42 u,0.43 u
Annual,65 years or over,Percentage of total employment,Lithuania,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Luxembourg,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Latvia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Montenegro,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,65 years or over,Percentage of total employment,North Macedonia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,65 years or over,Percentage of total employment,Malta,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Netherlands,2.33,0.96 u,2.03 b,2.35,1.83,1.04 u,0.73 u,1.23,1.63,1.25,1.63 b,2.28,1.41
Annual,65 years or over,Percentage of total employment,Norway,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Poland,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Portugal,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Romania,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Serbia,: u,: u,: u,: bu,: bu,: u,: u,: u,: u,: u,: bu,: u,: bu
Annual,65 years or over,Percentage of total employment,Sweden,0.79 u,0.88 u,2.09,1.97,1.91,1.83,1.27,1.43 bu,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Slovenia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Slovakia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Percentage of total employment,Türkiye,: u,: u,: u,0.19 bu,0.16 u,0.13 u,: u,0.11 u,0.07 u,: u,0.10 bu,0.13 u,0.10 u
Annual,65 years or over,Percentage of total employment,United Kingdom,1.34,1.74,1.98,1.45,1.34,1.46,1.49,1.85,1.1,:,:,:,:
Annual,65 years or over,Thousand persons,Austria,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Belgium,: u,: bu,: u,: u,: u,: u,: bu,: bu,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Bulgaria,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: bu,: bu,: u
Annual,65 years or over,Thousand persons,Switzerland,1.8 u,1.6 u,1.6 u,2.8 u,3.0 u,4.0 u,3.5 u,3.2 u,3.6 u,3.4 u,2.6 bu,2.5 u,2.6 u
Annual,65 years or over,Thousand persons,Cyprus,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Czechia,0.8 u,0.8 u,0.7 u,0.8 u,1.0 u,1.6 u,1.7 u,1.9 u,2.0 u,1.3 u,1.2 bu,1.3 u,0.7 u
Annual,65 years or over,Thousand persons,Germany,5.7,7.1 b,9.1,7.8,11.4,11.4,13.8,12.6,13.9,: bu,13.4 bu,14.5 u,20.2 u
Annual,65 years or over,Thousand persons,Denmark,: u,: u,: u,: u,: u,: bu,: bu,: u,: u,: u,: bu,: u,: bu
Annual,65 years or over,Thousand persons,Estonia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Greece,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Spain,: u,: u,1.1 u,: u,: u,1.0 u,2.3 u,1.1 u,1.4 u,: u,1.0 bu,2.1 du,3.3 du
Annual,65 years or over,Thousand persons,European Union - 27 countries (from 2020),18.7,18.8,26.6,27.6,35.3,35.4,35.6,40.3,38.4,35.4,38.3 b,46.1,54.3
Annual,65 years or over,Thousand persons,Finland,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,France,: u,: u,3.7 bu,3.0 bu,8.7 u,8.3 u,4.5 u,7.9 u,: u,: u,5.4 bu,6.7 du,8.1 du
Annual,65 years or over,Thousand persons,Croatia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: bu
Annual,65 years or over,Thousand persons,Hungary,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Ireland,: u,: u,: u,: u,: u,: u,: bu,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Iceland,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: bu,: u,: u
Annual,65 years or over,Thousand persons,Italy,: u,: u,: u,: u,: u,1.9 u,3.3 b,2.6 b,: u,2.2 u,2.4 bu,2.9 u,3.2 u
Annual,65 years or over,Thousand persons,Lithuania,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Luxembourg,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Latvia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Montenegro,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,65 years or over,Thousand persons,North Macedonia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,65 years or over,Thousand persons,Malta,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Netherlands,3.2,1.6 u,3.7 b,4.9,3.7,2.1 u,1.7 u,3.1,4.8,3.7,5.0 b,8.1,5.5
Annual,65 years or over,Thousand persons,Norway,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Poland,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Portugal,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Romania,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Serbia,: u,: u,: u,: bu,: bu,: u,: u,: u,: u,: u,: bu,: u,: bu
Annual,65 years or over,Thousand persons,Sweden,1.0 u,1.3 u,3.1,3.4,3.4,3.2,2.4,2.7 bu,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Slovenia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Slovakia,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,65 years or over,Thousand persons,Türkiye,: u,: u,: u,1.3 bu,1.1 u,0.9 u,: u,0.9 u,0.6 u,: u,0.9 bu,1.2 u,1.0 u
Annual,65 years or over,Thousand persons,United Kingdom,11.8,16.4,20.5,16.1,15.7,17.6,17.6,22.9,14.4,:,:,:,:
