Time frequency,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1997.0,1998.0,1999.0,2000.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Turnover of non-autonomous pension funds - million euro,Mining and quarrying,Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Mining and quarrying,Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Mining and quarrying,Italy,:,:,:,:,:,:,:,0.27,:
Annual,Turnover of non-autonomous pension funds - million euro,Mining and quarrying,Lithuania,:,:,:,:,:,0.0,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Mining and quarrying,Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Mining and quarrying,Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Mining and quarrying,Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Turnover of non-autonomous pension funds - million euro,Mining and quarrying,Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Manufacturing,Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Turnover of non-autonomous pension funds - million euro,Manufacturing,Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Turnover of non-autonomous pension funds - million euro,Manufacturing,Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Manufacturing,Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Manufacturing,Italy,:,:,:,:,:,:,:,0.27,:
Annual,Turnover of non-autonomous pension funds - million euro,Manufacturing,Lithuania,:,:,:,:,:,0.0,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Manufacturing,Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Manufacturing,Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Manufacturing,Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Turnover of non-autonomous pension funds - million euro,Manufacturing,Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Electricity, gas and water supply",Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Turnover of non-autonomous pension funds - million euro,"Electricity, gas and water supply",Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Turnover of non-autonomous pension funds - million euro,"Electricity, gas and water supply",Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Electricity, gas and water supply",Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Electricity, gas and water supply",Italy,:,:,:,:,:,:,:,0.27,:
Annual,Turnover of non-autonomous pension funds - million euro,"Electricity, gas and water supply",Lithuania,:,:,:,:,:,0.0,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,"Electricity, gas and water supply",Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,"Electricity, gas and water supply",Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Electricity, gas and water supply",Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Turnover of non-autonomous pension funds - million euro,"Electricity, gas and water supply",Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Construction,Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Turnover of non-autonomous pension funds - million euro,Construction,Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Turnover of non-autonomous pension funds - million euro,Construction,Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Construction,Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Construction,Italy,:,:,:,:,:,:,:,0.27,:
Annual,Turnover of non-autonomous pension funds - million euro,Construction,Lithuania,:,:,:,:,:,0.0,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Construction,Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Construction,Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Construction,Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Turnover of non-autonomous pension funds - million euro,Construction,Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Turnover of non-autonomous pension funds - million euro,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Turnover of non-autonomous pension funds - million euro,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Italy,:,:,:,:,:,:,:,0.27,:
Annual,Turnover of non-autonomous pension funds - million euro,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Lithuania,:,:,:,:,:,0.0,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Turnover of non-autonomous pension funds - million euro,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Hotels and restaurants,Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Turnover of non-autonomous pension funds - million euro,Hotels and restaurants,Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Turnover of non-autonomous pension funds - million euro,Hotels and restaurants,Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Hotels and restaurants,Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Hotels and restaurants,Italy,:,:,:,:,:,:,:,0.27,:
Annual,Turnover of non-autonomous pension funds - million euro,Hotels and restaurants,Lithuania,:,:,:,:,:,0.0,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Hotels and restaurants,Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Hotels and restaurants,Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Hotels and restaurants,Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Turnover of non-autonomous pension funds - million euro,Hotels and restaurants,Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Transport, storage and communication",Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Turnover of non-autonomous pension funds - million euro,"Transport, storage and communication",Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Turnover of non-autonomous pension funds - million euro,"Transport, storage and communication",Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Transport, storage and communication",Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Transport, storage and communication",Italy,:,:,:,:,:,:,:,0.27,:
Annual,Turnover of non-autonomous pension funds - million euro,"Transport, storage and communication",Lithuania,:,:,:,:,:,0.0,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,"Transport, storage and communication",Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,"Transport, storage and communication",Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Transport, storage and communication",Slovenia,:,:,:,:,:,:,:,0.0,:
