Time frequency,Type of transport,Type of operation and loading status,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Loaded - total transport,Thousand tonnes,Montenegro,:,:,:,:,839.0,836.0,808.0,885.0,800.0,793.0,:,:
Annual,Total,Loaded - total transport,Thousand tonnes,North Macedonia,:,:,:,:,:,:,:,:,4991.0,4932.0,:,:
Annual,Total,Loaded - total transport,Thousand tonnes,Netherlands,631891.0,642146.0,639777.0,641538.0,656428.0,666069.0,680065.0,688837.0,684348.0,699504.0,690903.0,642262.0
Annual,Total,Loaded - total transport,Thousand tonnes,Norway,251512.0,271349.0,293231.0,283172.0,268120.0,255470.0,254346.0,244312.0,243236.0,266275.0,266855.0,265908.0
Annual,Total,Loaded - total transport,Thousand tonnes,Poland,1245053.0,1300608.0,1300382.0,1264960.0,1313657.0,1501811.0,1390184.0,1506450.0,1500104.0,1580517.0,1599513.0,1584171.0
Annual,Total,Loaded - total transport,Thousand tonnes,Portugal,154484.0,148177.0,149829.0,150358.0,147792.0,157924.0,156650.0,155866.0,131115.0,147065.0,143483.0,128580.0
Annual,Total,Loaded - total transport,Thousand tonnes,Romania,188611.0,191554.0,190938.0,198824.0,216107.0,226345.0,237157.0,256641.0,266547.0,306805.0,324554.0,321378.0
Annual,Total,Loaded - total transport,Thousand tonnes,Sweden,294939.0,281177.0,381263.0,422891.0,433065.0,455480.0,481319.0,449362.0,475232.0,492496.0,476784.0,446538.0
Annual,Total,Loaded - total transport,Thousand tonnes,Slovenia,62759.0,65340.0,74143.0,70509.0,75033.0,86212.0,85406.0,91775.0,90870.0,98910.0,103842.0,105127.0
Annual,Total,Loaded - total transport,Thousand tonnes,Slovakia,132270.0,129032.0,142608.0,147225.0,156179.0,176750.0,177131.0,187184.0,168653.0,154828.0,160802.0,158257.0
Annual,Total,Loaded - total transport,Thousand tonnes,United Kingdom,1464456.0,1348987.0,1348887.0,1468144.0,1450280.0,1417482.0,1425190.0,1470486.0,:,:,:,:
