Time frequency,Country of citizenship,Sex,Unit of measure,Age class,Applicant type,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Latvia,15.0,25.0,15.0,20.0,10.0,5.0,5.0,30.0,35.0,65.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Montenegro,:,:,:,:,45.0,30.0,5.0,10.0,5.0,5.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Malta,110.0,85.0,60.0,65.0,65.0,110.0,15.0,15.0,50.0,20.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Netherlands,1580.0,4730.0,2075.0,1360.0,1595.0,1355.0,1005.0,2455.0,4450.0,5805.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Norway,1080.0,5580.0,320.0,215.0,170.0,160.0,125.0,210.0,655.0,465.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Poland,255.0,455.0,425.0,150.0,125.0,130.0,65.0,320.0,325.0,335.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Portugal,20.0,50.0,55.0,50.0,75.0,90.0,35.0,80.0,120.0,130.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Romania,145.0,100.0,135.0,410.0,160.0,240.0,1225.0,2045.0,780.0,415.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Sweden,7920.0,35280.0,2225.0,1590.0,1155.0,1300.0,735.0,695.0,895.0,505.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Slovenia,70.0,45.0,235.0,395.0,585.0,665.0,550.0,935.0,355.0,65.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Slovakia,10.0,25.0,5.0,20.0,20.0,30.0,10.0,20.0,25.0,30.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,United Kingdom,2500.0,3645.0,3970.0,3000.0,3975.0,4695.0,:,:,:,:
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Austria,5495.0,19580.0,12715.0,9835.0,5930.0,5015.0,4210.0,6050.0,9070.0,13660.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Belgium,5150.0,8670.0,3790.0,3895.0,4705.0,5310.0,2915.0,4275.0,5845.0,5905.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Bulgaria,1925.0,3280.0,3565.0,695.0,330.0,195.0,305.0,740.0,1850.0,1980.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Switzerland,5095.0,7615.0,6615.0,5815.0,5425.0,5355.0,4015.0,4835.0,5545.0,7000.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Cyprus,275.0,380.0,440.0,475.0,820.0,750.0,340.0,540.0,1075.0,1185.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Czechia,200.0,230.0,220.0,225.0,230.0,235.0,115.0,175.0,190.0,135.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Germany,51630.0,113595.0,201560.0,79065.0,72785.0,68220.0,52555.0,69405.0,72340.0,83355.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Denmark,1940.0,3835.0,1085.0,655.0,770.0,725.0,250.0,530.0,990.0,490.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Estonia,15.0,55.0,60.0,75.0,15.0,30.0,5.0,15.0,150.0,130.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Greece,695.0,1715.0,14805.0,14345.0,16300.0,18415.0,7630.0,4670.0,4705.0,9490.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Spain,945.0,3090.0,3205.0,7130.0,9370.0,18315.0,12865.0,7780.0,16495.0,24475.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,European Union - 27 countries (from 2020),113840.0,252185.0,286665.0,158270.0,155155.0,170355.0,114020.0,139925.0,171090.0,200130.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Finland,590.0,4235.0,1405.0,1100.0,935.0,1040.0,605.0,435.0,1245.0,675.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,France,12165.0,12070.0,13155.0,18105.0,22130.0,29780.0,18920.0,24855.0,32670.0,36510.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Croatia,5.0,15.0,255.0,115.0,185.0,440.0,565.0,930.0,795.0,365.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Hungary,8310.0,31070.0,5290.0,1195.0,265.0,215.0,45.0,20.0,10.0,10.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Ireland,205.0,295.0,475.0,695.0,735.0,900.0,290.0,540.0,1930.0,2275.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Iceland,25.0,65.0,225.0,135.0,150.0,175.0,135.0,210.0,840.0,705.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Italy,1810.0,3045.0,4925.0,5650.0,5645.0,5240.0,3060.0,4845.0,5995.0,7655.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Liechtenstein,15.0,30.0,15.0,40.0,20.0,10.0,5.0,20.0,5.0,0.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Lithuania,90.0,55.0,140.0,165.0,100.0,280.0,105.0,600.0,185.0,80.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Luxembourg,290.0,595.0,510.0,530.0,510.0,665.0,425.0,435.0,675.0,690.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Latvia,40.0,60.0,110.0,110.0,30.0,35.0,35.0,145.0,140.0,220.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Montenegro,:,:,:,:,230.0,170.0,25.0,50.0,30.0,25.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Malta,205.0,310.0,390.0,400.0,395.0,395.0,170.0,160.0,160.0,60.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Netherlands,3455.0,5775.0,4070.0,2790.0,3760.0,4225.0,2110.0,3750.0,4625.0,4480.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Norway,1300.0,4780.0,925.0,860.0,625.0,445.0,235.0,245.0,510.0,690.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Poland,2980.0,5015.0,5355.0,2075.0,1625.0,1580.0,895.0,2130.0,2190.0,1900.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Portugal,60.0,95.0,280.0,460.0,230.0,230.0,100.0,270.0,240.0,245.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Romania,230.0,195.0,395.0,1180.0,390.0,295.0,355.0,615.0,1785.0,525.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Sweden,15035.0,34810.0,8250.0,7175.0,6730.0,7655.0,4920.0,5015.0,4900.0,3500.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Slovenia,45.0,40.0,195.0,120.0,210.0,165.0,225.0,975.0,710.0,90.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,Slovakia,55.0,75.0,30.0,15.0,25.0,10.0,5.0,15.0,120.0,55.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,Asylum applicant,United Kingdom,4460.0,4600.0,5490.0,4945.0,5450.0,5870.0,:,:,:,:
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Austria,5160.0,19160.0,12300.0,9495.0,5630.0,4790.0,4075.0,5820.0,8820.0,13290.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Belgium,2950.0,7390.0,3195.0,3275.0,4095.0,4795.0,2475.0,3660.0,5185.0,5180.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Bulgaria,1895.0,3265.0,3535.0,640.0,315.0,175.0,290.0,710.0,1810.0,1950.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Switzerland,4870.0,7375.0,6345.0,5475.0,4985.0,4950.0,3690.0,4460.0,5240.0,6020.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Cyprus,265.0,365.0,440.0,470.0,815.0,720.0,325.0,535.0,1055.0,1175.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Czechia,180.0,210.0,195.0,200.0,205.0,215.0,90.0,150.0,165.0,125.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Germany,44285.0,104895.0,195860.0,73005.0,67210.0,62670.0,48595.0,63275.0,66475.0,78475.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Denmark,1910.0,3820.0,1070.0,645.0,760.0,720.0,240.0,525.0,985.0,480.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Estonia,15.0,55.0,55.0,70.0,15.0,30.0,5.0,15.0,150.0,130.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Greece,675.0,1660.0,14735.0,14255.0,16155.0,18245.0,7235.0,3440.0,3390.0,8790.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Spain,940.0,3090.0,3185.0,6520.0,9180.0,17935.0,12580.0,7470.0,16255.0,24205.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,European Union - 27 countries (from 2020),101255.0,238745.0,277175.0,148205.0,141630.0,156215.0,102990.0,124930.0,155365.0,186285.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Finland,575.0,4200.0,1375.0,1075.0,755.0,740.0,320.0,310.0,1125.0,590.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,France,12160.0,11675.0,13100.0,18075.0,20330.0,27875.0,17080.0,22365.0,29100.0,32525.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Croatia,5.0,15.0,255.0,105.0,180.0,420.0,555.0,905.0,780.0,355.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Hungary,8200.0,30680.0,5230.0,1195.0,255.0,205.0,40.0,20.0,10.0,10.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Ireland,205.0,295.0,475.0,695.0,735.0,895.0,285.0,535.0,1930.0,2265.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Iceland,:,:,220.0,135.0,140.0,165.0,130.0,210.0,840.0,700.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Italy,1745.0,2995.0,4840.0,5635.0,4155.0,3160.0,1850.0,4210.0,5225.0,7125.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Liechtenstein,:,:,15.0,40.0,20.0,5.0,0.0,15.0,5.0,0.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Lithuania,80.0,50.0,135.0,160.0,95.0,275.0,85.0,585.0,170.0,75.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Luxembourg,260.0,550.0,715.0,515.0,480.0,660.0,420.0,425.0,660.0,680.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Latvia,40.0,60.0,110.0,110.0,30.0,35.0,25.0,145.0,130.0,220.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Montenegro,:,:,:,:,230.0,170.0,25.0,50.0,30.0,25.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Malta,195.0,290.0,360.0,380.0,380.0,390.0,155.0,145.0,140.0,40.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Netherlands,3095.0,5475.0,3800.0,2490.0,3250.0,3830.0,1930.0,3530.0,4395.0,4320.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Norway,1260.0,4715.0,905.0,840.0,620.0,430.0,230.0,240.0,495.0,670.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Poland,1885.0,4325.0,4385.0,1230.0,930.0,1075.0,395.0,1630.0,1625.0,1410.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Portugal,60.0,95.0,85.0,200.0,225.0,225.0,95.0,255.0,235.0,245.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Romania,230.0,195.0,395.0,1165.0,360.0,275.0,340.0,610.0,1775.0,520.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Sweden,14155.0,33850.0,7160.0,6470.0,4850.0,5700.0,3275.0,2675.0,2955.0,1970.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Slovenia,45.0,40.0,185.0,120.0,210.0,150.0,220.0,975.0,700.0,90.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,Slovakia,40.0,60.0,25.0,15.0,25.0,10.0,5.0,15.0,115.0,50.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 14 years,First time applicant,United Kingdom,4355.0,4470.0,5350.0,4750.0,5280.0,5600.0,:,:,:,:
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Austria,8480.0,32225.0,17865.0,12020.0,6735.0,6170.0,5730.0,11955.0,23190.0,19955.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Belgium,6660.0,13630.0,5690.0,5535.0,6605.0,7800.0,5075.0,7995.0,10480.0,9340.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Bulgaria,3345.0,5495.0,6575.0,1200.0,845.0,730.0,1125.0,3735.0,5125.0,5710.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Switzerland,6690.0,11425.0,9245.0,6990.0,6230.0,6335.0,4985.0,6485.0,10020.0,12430.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Cyprus,360.0,530.0,685.0,690.0,1090.0,1205.0,600.0,1090.0,2180.0,2155.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Czechia,230.0,270.0,275.0,265.0,270.0,285.0,130.0,200.0,230.0,170.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Germany,64005.0,148175.0,268200.0,96590.0,84955.0,78015.0,59945.0,80720.0,88420.0,109445.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Denmark,3030.0,6320.0,2410.0,1175.0,1110.0,1015.0,430.0,735.0,1465.0,720.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Estonia,15.0,70.0,65.0,80.0,20.0,35.0,10.0,20.0,180.0,150.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Greece,1350.0,2500.0,19720.0,19785.0,21770.0,25360.0,11250.0,8460.0,9670.0,14640.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Spain,1145.0,3720.0,3740.0,8460.0,11270.0,22170.0,15825.0,9565.0,20880.0,31045.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,European Union - 27 countries (from 2020),153115.0,376670.0,388755.0,206005.0,192745.0,207425.0,141550.0,184790.0,237385.0,271685.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Finland,825.0,7625.0,1740.0,1350.0,1115.0,1215.0,785.0,615.0,1655.0,1135.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,France,13945.0,14020.0,15285.0,20995.0,26525.0,34590.0,21645.0,28555.0,38025.0,42945.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Croatia,15.0,20.0,465.0,180.0,225.0,530.0,760.0,1195.0,1015.0,450.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Hungary,11835.0,45895.0,8550.0,1595.0,360.0,250.0,55.0,25.0,20.0,15.0
